통행료,삼척시,강릉시,원주시,동해시,정선군,태백시,영월군,철원군,화천군,양구군,인제군,고성군,속초시,양양군,춘천시,홍천군,횡성군,평창시
삼척시,-,3100,8300,1040,0,0,0,11700,9600,9200,9200,5900,5900,5000,9600,8300,7300,5500
강릉시,3100,-,6100,2300,2600,3100,0,9500,7400,7000,7000,3700,3700,2400,7400,6100,5100,3300
원주시,8300,6100,-,8000,2300,2300,2300,6300,4100,4100,3100,8300,8300,7500,4100,3100,0,2000
동해시,1040,2700,8000,-,0,1040,0,11300,9200,8800,8800,5500,5500,4700,9200,7900,6900,5100
정선군,0,0,4500,0,-,0,0,9400,7300,8400,8400,5100,5100,4300,7300,6200,3400,0
태백시,0,3100,2300,0,0,-,0,7700,5500,8800,8800,5900,5900,5000,5500,4500,0,0
영월군,0,3300,2300,0,0,0,-,7700,5500,5500,5700,9700,9700,5000,5500,4500,3300,0
철원군,11700,9500,6300,11300,12900,11100,11140,-,0,8700,4200,8400,8400,7600,0,4100,5300,8700
화천군,9600,7400,4100,9200,7300,5500,5500,0,-,0,0,0,3300,5400,0,1600,3100,6500
양구군,9200,7000,4100,8800,8400,9200,5500,0,0,-,0,0,3300,0,0,0,3100,3100
인제군,9200,7000,3100,8800,8400,9200,4500,4300,0,0,-,0,3300,0,0,0,3100,3100
고성군,5900,3700,8300,5500,5100,5900,9700,8400,0,0,0,-,0,0,2200,0,7300,5900
속초시,5900,3700,8300,5500,5100,5900,9700,8400,6200,3300,3300,0,-,0,6200,5000,7300,5900
양양군,5000,2900,7500,4700,4300,5000,5000,7600,5400,4660,0,0,0,-,5400,4100,6500,5000
춘천시,9600,7400,4100,9200,7300,5500,5500,0,0,0,2200,2200,6200,5400,-,1600,3100,3100
홍천군,8300,6100,3100,7900,6200,4500,4500,4100,1600,0,0,5000,8000,4100,1600,-,2000,2000
횡성군,7300,5100,0,6900,3400,3300,3300,5300,3100,3100,3300,7300,7300,6500,3100,2000,-,0
평창시,5500,3300,2000,5100,0,0,0,8700,6500,1000,0,5900,5900,5000,3100,2000,0,-
