기름 값,삼척시,강릉시,원주시,동해시,정선군,태백시,영월군,철원군,화천군,양구군,인제군,고성군,속초시,양양군,춘천시,홍천군,횡성군,평창시
삼척시,-,8865,37533,2586,11882,7012,16078,43551,35293,26488,23730,21878,18617,15241,31107,27362,23734,20731
강릉시,8897,-,18943,6959,12409,14769,16512,36204,27947,19152,16383,14531,11270,7404,23760,20015,16387,13384
원주시,26176,18932,-,24833,16529,20315,10844,25387,16759,18227,16848,30192,26930,23533,12573,8851,3006,11089
동해시,2573,7381,24806,-,11649,8444,17088,42067,33809,25015,8800,20394,17133,13758,29623,25878,22250,5100
정선군,11878,10360,18739,11624,-,8075,7928,41315,32687,29322,26564,24715,21450,18075,28500,24779,16183,4709
태백시,7011,14741,20339,8015,7941,-,9573,44575,35947,32194,29425,27755,24493,21118,31761,28039,14135,14153
영월군,16922,17908,11008,17368,7247,10278,-,35244,26616,28134,28504,40049,36757,23454,22429,18708,14366,4363
철원군,43767,36393,25452,42294,41051,44799,34966,0,9025,37507,24770,36315,33053,29657,11535,18531,21917,37507
화천군,35337,28093,16867,33993,32808,36143,26672,9034,-,6464,10592,18209,16856,21356,4518,9947,13332,28922
양구군,26467,19224,18324,25124,29245,32339,28128,17745,6373,-,4709,11255,9991,11067,6520,9520,14788,23145
인제군,23667,16423,16403,22324,26445,29539,26207,24579,10558,4809,-,11255,9991,11067,6520,9520,14788,23145
고성군,21885,14642,30090,20542,24663,27757,39894,36102,18777,11201,8526,-,3736,6411,20377,16317,26554,25639
속초시,18752,11508,26956,17409,21530,24623,36761,32969,24711,10050,7376,3745,-,2524,20525,16780,23421,22505
양양군,15383,8139,23554,14040,18161,21254,24552,29566,21309,12493,8245,6421,2635,-,17123,13377,20018,19136
춘천시,30987,23743,12518,29644,28459,31793,22322,11536,4454,6565,12120,20458,20403,17006,-,5597,8982,17289
홍천군,27352,20108,8690,26009,24631,27966,18494,18396,9768,9835,79992,20030,16768,13371,5664,-,4875,13461
횡성군,23776,16532,2997,22432,16049,23710,14239,21647,13018,14537,14907,26451,23190,19793,8915,5189,-,8383
평창시,20580,13336,11000,19237,4900,14289,4380,37309,28680,35986,20243,25549,22287,18912,17109,13305,8257,-
