번호	회원번호	쿠폰번호	날짜	유효기간	쿠폰 혜택	사용 유무
1	3	E211004T1051-0	2021-10-04	2021-11-04	[청소년할인율] = 0.1	O
2	6	E211004T1051-1	2021-10-04	2021-11-04	[청소년할인율] = 0.1	O
3	1	E211004T1051-2	2021-10-04	2021-11-04	[청소년할인율] = 0.1	X
4	2	E211004T1051-3	2021-10-04	2021-11-04	[청소년할인율] = 0.1	O
5	12	E211004T1051-4	2021-10-04	2021-11-04	[청소년할인율] = 0.1	X
6	6	E211004T1051-5	2021-10-04	2021-11-04	[청소년할인율] = 0.1	X
7	3	E211004T1051-6	2021-10-04	2021-11-04	[청소년할인율] = 0.1	X
8	2	E211004T1051-7	2021-10-04	2021-11-04	[청소년할인율] = 0.1	X
9	5	E211004T1051-8	2021-10-04	2021-11-04	[청소년할인율] = 0.1	X
10	1	E211004T1051-9	2021-10-04	2021-11-04	[청소년할인율] = 0.1	X
