번호	시군구	관광지명	입장료	주소	소개
1	양구군	양구자연생태공원	0	강원도 양구군 동면 숨골로 310번길 169	자연생태의 모든 것을 오감으로 느끼고 체험할 수 있는 곳
2	인제군	오토테마파크	15000	강원도 인제군 기린면 상하답로 130	우리나라 최초의 자동차테마파크이며, 국제규격의 자동차경주와 4성급 호텔과 콘도미니엄이 설치되어 있음
3	인제군	용대관광지	0	강원도 인제군 북면 십이선녀탕길 16	설악산국립공원의 내설악지역에 위치하고 있으며 십이선녀탕, 만해마을, 백담사, 황태덕장, 하천 등이 관광지 주변이 있음
4	인제군	방동관광지	0	강원도 인제군 기린면 방동약수로 89-59	기린면 방동지역에 위치하고 있음
5	고성군	송지호 관망타워	8000	강원도 고성군 죽왕면 동해대로 6021	5층 규모의 독특한 관망타워 형태로 송지호에 떼지어 이리저리 날아드는 철새들의 군무가 한눈에 내려다보이는 곳
6	고성군	화진포 생태박물관	8000	강원도 고성군 거진읍 화진포길 256	지상 3층 규모로 층별 3개 전시관에서 화진포호와 관련한 생태계를 관찰, 학습할 수 있는 곳
7	고성군	화진포 해양박물관	8000	강원도 고성군 현내면 화진포길 412	세계적으로 희귀한 각종 조개류, 갑각류, 박제 등 1,500여 종 40,000여 점을 전시한 패류박물관과 수중생물 125종 3,000여 마리를 보여주는 어류전시관으로 구성
8	고성군	화진포 역사안보전시관	9500	강원도 고성군 거진읍 화진포길 300-1	화진포의 성, 이승만대통령 화진포 기념관, 이기붕부통령별장으로 이루어진 곳
9	양양군	오색관광지	0	강원도 양양군 서면 가라피리 165	설악산과오색령에 아름다운 자연경관을 볼수 있음
10	춘천시	삼악산(호반)	0	강원도 춘천시 서면 경춘로 1401-25	춘천시도기념물로 지정된 삼악산은 주봉인 용화봉과 청운봉, 등선봉 3개가 있어 '삼악'이라 불리게 되었다. 절벽사이로 크고 작은 폭포들이 이어지고, 그중에 등선폭포가 유명하다. 인근에는 금선사, 신흥사, 흥국사, 상원사 등 많은 문화재들이 있다.
11	춘천시	청평사	0	강원도 춘천시 북산면 오봉산길 580	강원도에서 손에 꼽히는 고즈넉한 절, 청평사가 있으며, 오봉산에서 흘러오는 청평사 계곡이 있다. 계곡의 가운데 쯤에는 아름다운 구송폭포가 자리하고 있다.
12	춘천시	구곡폭포	2000	강원도 춘천시 남산면 강촌구곡길 254	봉화산 근처 아홉구비를 돌아 떨어지는 구곡폭포와 탄성을 자아내는 하늘벽 바위 등 자연경관이 출중한 곳이며, 깔닥재를 넘으면 자연부락인 문배마을까지 볼 수 있다.
13	원주시	간현관광지	0	강원도 원주시 지정면 소금산길 26	섬강과 삼산천 강물이 합수되는 지점에 위치하고 있어 빼어난 자연경관과 소금산 등반 등을 할 수 있음
14	강릉시	옥계해변관광지	0	강원도 강릉시 옥계면 금진리 799-16일원	옥계해변관광지
15	강릉시	주문진해변관광지	0	강원도 강릉시 주문진읍 향호리 8-22일원	주문진해변관광지
16	강릉시	연곡해변관광지	0	강원도 강릉시 연곡면 동덕리 99-13일원	연곡해변관광지
