번호	회원번호	종목	일정번호	회차	접수일자	시험일자	발표일자	점수	합격여부
1	1	2	6	1	2021-05-10	2021-05-17	2021-05-17	20	불합격
2	2	2	6	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
3	4	2	6	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
4	6	2	7	1	2021-05-10	2021-05-17	2021-05-17	20	불합격
5	2	2	7	1	2021-05-10	2021-05-17	2021-05-17	40	불합격
6	8	2	7	1	2021-05-10	2021-05-17	2021-05-17	20	불합격
7	9	2	9	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
8	4	2	9	1	2021-05-10	2021-05-17	2021-05-17	10	불합격
9	6	2	9	1	2021-05-10	2021-05-17	2021-05-17	30	불합격
10	15	2	9	1	2021-05-10	2021-05-17	2021-05-17	10	불합격
11	15	3	10	1	2021-05-10	2021-05-17	2021-05-17	0	불합격
12	2	3	10	1	2021-05-10	2021-05-17	2021-05-17	0	불합격
13	8	3	10	1	2021-05-10	2021-05-17	2021-05-17	10	불합격
14	16	3	10	1	2021-05-10	2021-05-17	2021-05-17	0	불합격
15	4	3	10	1	2021-05-10	2021-05-17	2021-05-17	0	불합격
16	18	3	11	1	2021-05-10	2021-05-17	2021-05-17	20	불합격
17	20	3	11	1	2021-05-10	2021-05-17	2021-05-17	40	불합격
18	1	3	11	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
19	29	3	11	1	2021-05-10	2021-05-17	2021-05-17	10	불합격
20	10	3	11	1	2021-05-10	2021-05-17	2021-05-17	0	불합격
21	4	4	11	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
22	15	4	11	1	2021-05-10	2021-05-17	2021-05-18	40	불합격
23	16	4	11	1	2021-05-10	2021-05-17	2021-05-18	10	불합격
24	19	4	12	1	2021-05-10	2021-05-17	2021-05-18	30	불합격
25	2	4	12	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
26	17	4	12	1	2021-05-10	2021-05-17	2021-05-18	10	불합격
27	23	4	12	1	2021-05-10	2021-05-17	2021-05-18	50	불합격
28	15	4	12	1	2021-05-10	2021-05-17	2021-05-18	20	불합격
29	6	4	12	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
30	3	4	12	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
31	16	5	12	1	2021-05-10	2021-05-17	2021-05-18	50	불합격
32	12	5	14	1	2021-05-10	2021-05-17	2021-05-18	20	불합격
33	22	5	14	1	2021-05-10	2021-05-17	2021-05-18	10	불합격
34	19	5	14	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
35	11	5	14	1	2021-05-10	2021-05-17	2021-05-18	10	불합격
36	25	5	14	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
37	10	5	14	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
38	6	5	14	1	2021-05-10	2021-05-17	2021-05-18	40	불합격
39	30	6	15	1	2021-05-10	2021-05-17	2021-05-18	10	불합격
40	27	6	15	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
41	15	6	15	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
42	16	6	16	1	2021-05-10	2021-05-17	2021-05-18	10	불합격
43	2	6	16	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
44	4	6	16	1	2021-05-10	2021-05-17	2021-05-18	20	불합격
45	28	6	16	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
46	30	6	16	1	2021-05-10	2021-05-17	2021-05-18	50	불합격
47	9	6	16	1	2021-05-10	2021-05-17	2021-05-18	40	불합격
48	4	1	43	1	2021-05-10	2021-05-17	2021-05-18	20	불합격
49	18	1	43	1	2021-05-10	2021-05-17	2021-05-18	0	불합격
50	23	1	43	1	2021-05-10	2021-05-17	2021-05-18	40	불합격
51	1	1	150	38	2021-07-12	2021-07-19	2021-07-20	100	합격
52	22	1	43	16	2021-06-21	2021-06-28	2021-06-29	30	불합격
53	19	1	43	16	2021-06-21	2021-06-28	2021-06-29	20	불합격
54	1	3	1	1	2021-05-10	2021-05-17	2021-05-17	30	불합격
55	2	3	1	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
56	3	3	1	1	2021-05-10	2021-05-17	2021-05-17	60	불합격
57	4	3	1	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
58	10	6	58	1	2021-05-10	2021-05-17	2021-05-18	60	불합격
59	12	6	58	1	2021-05-10	2021-05-17	2021-05-18	40	불합격
60	1	6	58	1	2021-05-10	2021-05-17	2021-05-18	50	불합격
61	2	6	58	1	2021-05-10	2021-05-17	2021-05-18	60	불합격
62	3	6	58	1	2021-05-10	2021-05-17	2021-05-18	40	불합격
63	4	6	58	1	2021-05-10	2021-05-17	2021-05-18	10	불합격
64	5	6	58	1	2021-05-10	2021-05-17	2021-05-18	20	불합격
65	6	6	58	1	2021-05-10	2021-05-17	2021-05-18	80	합격
66	30	1	14	8	2021-06-16	2021-06-23	2021-06-24	0	불합격
67	27	1	14	8	2021-06-16	2021-06-23	2021-06-24	30	불합격
68	18	1	15	9	2021-06-18	2021-06-25	2021-06-26	10	불합격
69	11	1	15	9	2021-06-18	2021-06-25	2021-06-26	0	불합격
70	25	1	15	9	2021-06-18	2021-06-25	2021-06-26	20	불합격
71	6	1	15	9	2021-06-18	2021-06-25	2021-06-26	50	불합격
72	8	1	15	9	2021-06-18	2021-06-25	2021-06-26	0	불합격
73	15	1	17	11	2021-06-18	2021-06-25	2021-06-26	40	불합격
74	25	1	17	11	2021-06-18	2021-06-25	2021-06-26	30	불합격
75	2	1	51	19	2021-06-25	2021-07-02	2021-07-03	40	불합격
76	8	1	17	11	2021-06-18	2021-06-25	2021-06-26	50	불합격
77	30	1	17	11	2021-06-18	2021-06-25	2021-06-26	20	불합격
78	2	1	122	36	2021-07-11	2021-07-18	2021-07-19	80	합격
79	16	1	17	11	2021-06-18	2021-06-25	2021-06-26	40	불합격
80	2	1	19	12	2021-06-18	2021-06-25	2021-06-26	0	불합격
81	18	1	19	12	2021-06-18	2021-06-25	2021-06-26	0	불합격
82	17	1	19	12	2021-06-18	2021-06-25	2021-06-26	10	불합격
83	6	1	19	12	2021-06-18	2021-06-25	2021-06-26	20	불합격
84	4	1	19	12	2021-06-18	2021-06-25	2021-06-26	30	불합격
85	29	1	19	12	2021-06-18	2021-06-25	2021-06-26	10	불합격
86	3	1	20	13	2021-06-19	2021-06-26	2021-06-27	0	불합격
87	6	1	20	13	2021-06-19	2021-06-26	2021-06-27	40	불합격
88	4	1	20	13	2021-06-19	2021-06-26	2021-06-27	10	불합격
89	9	1	20	13	2021-06-19	2021-06-26	2021-06-27	10	불합격
90	10	1	20	13	2021-06-19	2021-06-26	2021-06-27	50	불합격
91	28	1	20	13	2021-06-19	2021-06-26	2021-06-27	40	불합격
92	11	1	20	13	2021-06-19	2021-06-26	2021-06-27	20	불합격
93	15	1	27	14	2021-06-21	2021-06-28	2021-06-29	30	불합격
94	22	1	27	14	2021-06-21	2021-06-28	2021-06-29	20	불합격
95	5	1	27	14	2021-06-21	2021-06-28	2021-06-29	30	불합격
96	17	1	27	14	2021-06-21	2021-06-28	2021-06-29	0	불합격
97	4	1	27	14	2021-06-21	2021-06-28	2021-06-29	0	불합격
98	19	1	27	14	2021-06-21	2021-06-28	2021-06-29	0	불합격
99	27	1	27	14	2021-06-21	2021-06-28	2021-06-29	50	불합격
100	28	1	27	14	2021-06-21	2021-06-28	2021-06-29	20	불합격
101	1	1	30	15	2021-06-21	2021-06-28	2021-06-29	20	불합격
102	4	1	30	15	2021-06-21	2021-06-28	2021-06-29	50	불합격
103	6	1	30	15	2021-06-21	2021-06-28	2021-06-29	40	불합격
104	19	1	30	15	2021-06-21	2021-06-28	2021-06-29	0	불합격
105	9	1	30	15	2021-06-21	2021-06-28	2021-06-29	30	불합격
106	13	1	30	15	2021-06-21	2021-06-28	2021-06-29	50	불합격
107	16	1	30	15	2021-06-21	2021-06-28	2021-06-29	20	불합격
108	2	1	43	16	2021-06-21	2021-06-28	2021-06-29	10	불합격
109	9	1	43	16	2021-06-21	2021-06-28	2021-06-29	10	불합격
110	5	3	13	2	2021-05-17	2021-05-24	2021-05-24	40	불합격
111	6	3	13	2	2021-05-17	2021-05-24	2021-05-24	30	불합격
112	7	3	13	2	2021-05-17	2021-05-24	2021-05-24	30	불합격
113	8	3	13	2	2021-05-17	2021-05-24	2021-05-24	60	불합격
483	7	1	65	20	2021-06-25	2021-07-02	2021-07-03	20	불합격
115	8	6	72	2	2021-05-17	2021-05-24	2021-05-25	70	불합격
116	9	6	72	2	2021-05-17	2021-05-24	2021-05-25	50	불합격
117	10	6	72	2	2021-05-17	2021-05-24	2021-05-25	40	불합격
118	1	6	72	2	2021-05-17	2021-05-24	2021-05-25	30	불합격
119	18	1	17	11	2021-06-18	2021-06-25	2021-06-26	40	불합격
120	26	1	43	16	2021-06-21	2021-06-28	2021-06-29	0	불합격
121	1	1	46	17	2021-06-21	2021-06-28	2021-06-29	10	불합격
122	3	1	151	39	2021-07-12	2021-07-19	2021-07-20	80	합격
123	5	1	46	17	2021-06-21	2021-06-28	2021-06-29	0	불합격
124	4	1	46	17	2021-06-21	2021-06-28	2021-06-29	0	불합격
125	17	1	46	17	2021-06-21	2021-06-28	2021-06-29	0	불합격
126	29	1	46	17	2021-06-21	2021-06-28	2021-06-29	30	불합격
127	9	3	18	3	2021-05-24	2021-05-31	2021-05-31	40	불합격
128	10	3	18	3	2021-05-24	2021-05-31	2021-05-31	60	불합격
129	11	3	18	3	2021-05-24	2021-05-31	2021-05-31	50	불합격
130	12	3	18	3	2021-05-24	2021-05-31	2021-05-31	40	불합격
131	30	6	82	3	2021-05-24	2021-05-31	2021-06-01	60	불합격
132	29	6	82	3	2021-05-24	2021-05-31	2021-06-01	50	불합격
133	28	6	82	3	2021-05-24	2021-05-31	2021-06-01	20	불합격
134	27	6	82	3	2021-05-24	2021-05-31	2021-06-01	10	불합격
135	25	6	82	3	2021-05-24	2021-05-31	2021-06-01	60	불합격
136	24	6	82	3	2021-05-24	2021-05-31	2021-06-01	50	불합격
137	27	3	23	4	2021-05-26	2021-06-02	2021-06-02	50	불합격
138	28	3	23	4	2021-05-26	2021-06-02	2021-06-02	40	불합격
139	1	3	23	4	2021-05-26	2021-06-02	2021-06-02	50	불합격
140	3	3	23	4	2021-05-26	2021-06-02	2021-06-02	0	불합격
141	16	2	52	4	2021-05-26	2021-06-02	2021-06-02	10	불합격
142	19	2	52	4	2021-05-26	2021-06-02	2021-06-02	50	불합격
143	9	2	52	4	2021-05-26	2021-06-02	2021-06-02	30	불합격
144	23	6	85	4	2021-05-26	2021-06-02	2021-06-03	40	불합격
145	20	6	85	4	2021-05-26	2021-06-02	2021-06-03	60	불합격
146	19	6	85	4	2021-05-26	2021-06-02	2021-06-03	50	불합격
147	18	6	85	4	2021-05-26	2021-06-02	2021-06-03	40	불합격
148	17	6	85	4	2021-05-26	2021-06-02	2021-06-03	30	불합격
149	15	6	85	4	2021-05-26	2021-06-02	2021-06-03	20	불합격
150	5	1	49	18	2021-06-24	2021-07-01	2021-07-02	10	불합격
151	4	1	49	18	2021-06-24	2021-07-01	2021-07-02	30	불합격
152	4	1	151	39	2021-07-12	2021-07-19	2021-07-20	20	불합격
333	5	1	78	24	2021-07-02	2021-07-09	2021-07-10	0	불합격
154	21	1	49	18	2021-06-24	2021-07-01	2021-07-02	0	불합격
