문제번호	보기1	보기2	보기3	보기4
1	영문균등(Justification): 단어와 단어 사이의 간격을 균등 배분하여 문장의 왼쪽 끝만 맞추어 균형을 유지 하는 기능 	색인(Index): 문서의 중요한 내용들을 빠르게 찾기 위하여 문서의 맨 뒤에 용어와 기록된 쪽 번호를 오름차순으로 기록하여 정리한 목록 	옵션(Option): 명령이나 기능을 수행할 때 선택할 수있는 항목들을 모두 보여주는 것 	마진(Margin): 문서 작성 시 문서의 균형을 위해 남겨두는 상, 하, 좌, 우의 여백 
2	일련의 작업 순서를 키보드의 특정 키에 기록해 두었다가 필요할 때 한 번에 재실행해 내는 기능이다.	동일한 내용의 반복 입력이나 도형, 문단 형식, 서식 등을 여러 곳에 반복 적용할 때 효과적이다.	작성한 매크로는 별도의 파일로 저장할 수 있으며 편집이 가능하다.	마우스 동작을 포함한 사용자의 모든 동작을 기억하는 것을 '키 매크로'라고 한다.
3	용도: 국제 표준 코드, 정보처리/정보교환용 	장점: 현대 한글의 대부분을 표현할 수 있음 	표현 글자 수: 완성형 한글 11,172자, 한글 자모 240자 	표현 바이트 수: 모든 문자 2바이트(16비트) 
4	교정 부호나 메모의 내용을 지정하여 검색할 수 있다. 	와일드카드 문자(*, ?)를 사용하여 검색할 수 있다. 	블록을 지정하여 특정 영역에 대해서만 검색할 수 있다. 	글자 모양이나 문단 모양, 스타일 등을 지정하여 검색할 수 있다. 
5	저장할 때 암호를 지정하여 다른 사람의 열람을 제한할 수 있다. 	저장하기 대화상자에서 폴더를 새로 만들거나 삭제 할 수 있다. 	기존 문서를 다른 이름으로 저장하면 기존 파일은 삭제된다. 	문서 파일의 저장위치나 파일 이름 및 형식을 변경하여 저장할 수 있다. 
6	한 페이지의 맨 위와 아래에 내용이 쪽마다 고정적으로 반복되는 것을 말한다. 	머리말과 꼬리말에는 책의 제목, 그 장의 제목, 쪽 번호 등을 넣는다. 	머리말과 꼬리말의 내용을 짝수쪽, 홀수쪽에 다르게 입력할 수 있다. 	머리말에 숫자, 문자, 그림은 입력할 수 있으나 표는 입력할 수 없다. 
7	문서의 내용을 종이에 출력하지 않고 파일로 디스크에 저장할 수 있다. 	프린터의 해상도를 높게 설정하면 출력시간은 길어지지만 대신 선명하게 인쇄할 수 있다. 	문서의 1-3페이지를 여러 장 인쇄할 때 한 부씩 찍기를 선택하지 않으면 1-2-3 페이지 순서로 여러 장이 인쇄된다. 	미리보기 기능을 사용하여 문서의 내용을 편집할 수는 없다. 
8	글자와 글자 사이의 간격을 미세하게 조정하는 작업이다. 	제한된 색상을 조합하여 복잡한 색이나 새로운 색을 만드는 작업이다. 	문자 위에 겹쳐서 문자를 중복 인쇄하거나 배경색을 인쇄한 후에 그 위에 대상체를 인쇄하는 기능이다. 	이미지 변형 작업, 입출력 파일 포맷, 채도, 조명도, 명암 등을 조절하는 작업이다. 
9	의사 결정의 기능 	의사 보존의 기능 	자료 제공의 기능 	의사 전달의 기능 
10	읽는 사람의 요청이나 기대에 맞춘 보고서를 작성한다. 	사실과 의견을 명확하게 구분하여 작성한다. 	표와 그림 등으로 시각적인 효과를 나타내어 설득력을 높이게 작성한다. 	각 사안별로 문장을 나누어 소항목에서 대항목으로 점진적으로 작성한다. 
