번호	종목번호	회차	접수일	시험일자	시험시간	발표일자	합격률
1	3	1		2021-05-17	13:00		
2	4	1		2021-05-24	14:20		
3	5	1		2021-05-31	13:00		
4	4	2		2021-06-02	10:00		
5	5	2		2021-06-10	14:00		
6	1	1		2021-06-23	9:00		
7	1	2		2021-06-23	10:20		
8	1	3		2021-06-23	15:00		
9	1	4		2021-06-25	11:00		
10	1	5		2021-06-25	14:00		
11	1	6		2021-06-25	15:20		
12	1	7		2021-06-25	17:00		
13	3	2		2021-06-26	11:00		
14	1	8		2021-06-28	11:00		
15	1	9		2021-06-28	13:00		
16	1	10		2021-06-28	15:00		
17	1	11		2021-06-28	16:20		
18	3	3		2021-07-01	16:00		
19	1	12		2021-07-02	15:00		
20	1	13		2021-07-02	16:20		
21	4	3		2021-07-03	15:00		
22	4	4		2021-07-04	14:00		
23	3	4		2021-07-06	9:00		
24	4	5		2021-07-09	17:00		
25	3	5		2021-07-10	10:00		
26	5	3		2021-07-10	15:00		
27	1	14		2021-07-11	9:00		
28	3	6		2021-07-11	16:00		
29	4	6		2021-07-11	10:00		
30	1	15		2021-07-13	10:00		
31	5	4		2021-07-13	9:00		
32	5	5		2021-07-13	17:00		
33	5	6		2021-07-14	13:00		
34	4	7		2021-07-16	15:00		
35	5	7		2021-07-17	9:00		
36	3	7		2021-07-18	15:00		
37	3	8		2021-07-19	10:00		
38	4	8		2021-07-19	11:00		
39	5	8		2021-07-19	11:00		
40	3	9		2021-07-20	13:00		
41	4	9		2021-07-20	15:00		
42	2	1		2021-07-21	10:00		
43	1	16		2021-07-22	14:00		
44	5	9		2021-07-22	14:00		
45	2	2		2021-07-23	15:00		
46	1	17		2021-07-24	14:00		
47	2	3		2021-07-24	16:00		
48	5	10		2021-07-24	10:00		
49	1	18		2021-07-26	9:00		
50	4	10		2021-07-26	10:00		
51	1	19		2021-07-27	11:00		
52	2	4		2021-07-29	17:00		
53	3	10		2021-07-29	14:00		
54	5	11		2021-07-29	14:00		
55	2	5		2021-08-02	14:00		
56	4	11		2021-08-03	11:00		
57	5	12		2021-08-06	14:00		
58	6	1		2021-08-06	13:00		
59	4	12		2021-08-07	14:00		
60	5	13		2021-08-07	9:00		
61	5	14		2021-08-07	15:00		
62	3	11		2021-08-08	9:00		
63	2	6		2021-08-10	16:00		
64	4	13		2021-08-12	17:00		
65	1	20		2021-08-14	13:00		
66	1	21		2021-08-16	15:00		
67	4	14		2021-08-17	10:00		
68	5	15		2021-08-17	15:00		
69	2	7		2021-08-18	10:00		
70	1	22		2021-08-19	17:00		
71	5	16		2021-08-19	11:00		
72	6	2		2021-08-19	14:00		
73	5	17		2021-08-20	9:00		
74	1	23		2021-08-21	14:00		
75	3	12		2021-08-21	13:00		
76	2	8		2021-08-22	11:00		
77	4	15		2021-08-22	9:00		
78	1	24		2021-08-23	10:00		
79	1	25		2021-08-24	11:00		
80	1	26		2021-08-25	10:00		
81	3	13		2021-08-25	11:00		
82	6	3		2021-08-26	9:00		
83	5	18		2021-08-28	16:00		
84	3	14		2021-08-29	14:00		
85	6	4		2021-08-29	10:00		
86	2	9		2021-08-30	9:00		
87	4	16		2021-08-30	15:00		
88	2	10		2021-09-01	11:00		
89	2	11		2021-09-01	13:00		
90	3	15		2021-09-01	9:00		
91	4	17		2021-09-01	13:00		
92	6	5		2021-09-01	13:00		
93	1	27		2021-09-04	13:00		
94	1	28		2021-09-04	14:20		
95	3	16		2021-09-05	13:00		
96	4	18		2021-09-05	9:00		
97	2	12		2021-09-07	15:00		
98	3	17		2021-09-10	11:00		
99	6	6		2021-09-10	15:00		
100	2	13		2021-09-11	11:00		
101	1	29		2021-09-12	11:00		
102	2	14		2021-09-12	13:00		
103	6	7		2021-09-14	9:00		
104	3	18		2021-09-15	13:00		
105	5	19		2021-09-15	15:00		
106	6	8		2021-09-15	13:00		
107	5	20		2021-09-16	15:00		
108	2	15		2021-09-17	16:00		
109	1	30		2021-09-18	14:00		
110	3	19		2021-09-18	11:00		
111	5	21		2021-09-18	9:00		
112	3	20		2021-09-19	10:00		
113	1	31		2021-09-20	15:00		
114	1	32		2021-09-23	10:00		
115	3	21		2021-09-23	9:00		
116	5	22		2021-09-23	9:00		
117	1	33		2021-09-25	16:00		
118	5	23		2021-09-25	13:00		
119	6	9		2021-09-25	16:00		
120	1	34		2021-09-26	9:00		
121	1	35		2021-09-27	9:00		
122	1	36		2021-09-27	11:00		
123	4	19		2021-09-27	13:00		
124	2	16		2021-09-28	14:00		
125	4	20		2021-09-28	11:00		
126	5	24		2021-09-28	13:00		
127	6	10		2021-09-28	15:00		
128	2	17		2021-10-18	9:00		
129	2	18		2021-10-20	10:20		
130	2	19		2021-10-22	15:00		
131	2	20		2021-10-25	16:20		
132	3	22		2021-10-28	13:00		
133	3	23		2021-10-30	14:20		
134	3	24		2021-11-02	16:00		
135	4	21		2021-11-02	9:00		
136	4	22		2021-11-03	15:00		
137	1	37		2021-11-03	12:00		
138	3	25		2021-11-03	9:00		
139	3	26		2021-11-04	10:20		
140	4	23		2021-11-04	10:00		
141	6	11		2021-11-05	16:00		
142	3	27		2021-11-05	13:00		
143	4	24		2021-11-07	10:00		
144	4	25		2021-11-07	15:00		
145	5	25		2021-11-08	10:00		
146	5	26		2021-11-08	14:00		
147	6	12		2021-11-08	10:00		
148	6	13		2021-11-08	11:30		
149	6	14		2021-11-03	14:00		
150	1	38		2021-11-08	10:00		
151	1	39		2021-10-04	13:00		
152	2	21		2021-10-05	9:00		
153	2	22		2021-10-05	16:00		
154	3	28		2021-10-07	10:00		
155	3	29		2021-10-07	14:00		
156	3	30		2021-10-07	15:20		
157	4	26		2021-10-08	9:00		
158	4	27		2021-10-08	10:30		
