번호	회원번호	일정번호	접수일자	시험일자	발표일자	점수	합격여부
1	1	6	2021-06-16	2021-06-23	2021-06-23	20	불합격
2	2	6	2021-06-16	2021-06-23	2021-06-23	50	불합격
3	4	6	2021-06-16	2021-06-23	2021-06-23	50	불합격
4	6	7	2021-06-16	2021-06-23	2021-06-23	20	불합격
5	2	7	2021-06-16	2021-06-23	2021-06-23	40	불합격
6	8	7	2021-06-16	2021-06-23	2021-06-23	20	불합격
7	9	9	2021-06-18	2021-06-25	2021-06-25	50	불합격
8	4	9	2021-06-18	2021-06-25	2021-06-25	10	불합격
9	6	9	2021-06-18	2021-06-25	2021-06-25	30	불합격
10	15	9	2021-06-18	2021-06-25	2021-06-25	10	불합격
11	15	10	2021-06-18	2021-06-25	2021-06-25	0	불합격
12	2	10	2021-06-18	2021-06-25	2021-06-25	0	불합격
13	8	10	2021-06-18	2021-06-25	2021-06-25	10	불합격
14	16	10	2021-06-18	2021-06-25	2021-06-25	0	불합격
15	4	10	2021-06-18	2021-06-25	2021-06-25	0	불합격
16	18	11	2021-06-18	2021-06-25	2021-06-25	20	불합격
17	20	11	2021-06-18	2021-06-25	2021-06-25	40	불합격
18	1	11	2021-06-18	2021-06-25	2021-06-25	50	불합격
19	29	11	2021-06-18	2021-06-25	2021-06-25	10	불합격
20	10	11	2021-06-18	2021-06-25	2021-06-25	0	불합격
21	4	11	2021-06-18	2021-06-25	2021-06-26	0	불합격
22	15	11	2021-06-18	2021-06-25	2021-06-26	40	불합격
23	16	11	2021-06-18	2021-06-25	2021-06-26	10	불합격
24	19	12	2021-06-18	2021-06-25	2021-06-26	30	불합격
25	2	12	2021-06-18	2021-06-25	2021-06-26	0	불합격
26	17	12	2021-06-18	2021-06-25	2021-06-26	10	불합격
27	23	12	2021-06-18	2021-06-25	2021-06-26	50	불합격
28	15	12	2021-06-18	2021-06-25	2021-06-26	20	불합격
29	6	12	2021-06-18	2021-06-25	2021-06-26	0	불합격
30	3	12	2021-06-18	2021-06-25	2021-06-26	0	불합격
31	16	12	2021-06-18	2021-06-25	2021-06-26	50	불합격
32	12	14	2021-06-21	2021-06-28	2021-06-29	20	불합격
33	22	14	2021-06-21	2021-06-28	2021-06-29	10	불합격
34	19	14	2021-06-21	2021-06-28	2021-06-29	0	불합격
35	11	14	2021-06-21	2021-06-28	2021-06-29	10	불합격
36	25	14	2021-06-21	2021-06-28	2021-06-29	0	불합격
37	10	14	2021-06-21	2021-06-28	2021-06-29	0	불합격
38	6	14	2021-06-21	2021-06-28	2021-06-29	40	불합격
39	30	15	2021-06-21	2021-06-28	2021-06-29	10	불합격
40	27	15	2021-06-21	2021-06-28	2021-06-29	0	불합격
41	15	15	2021-06-21	2021-06-28	2021-06-29	0	불합격
42	16	16	2021-06-21	2021-06-28	2021-06-29	10	불합격
43	2	16	2021-06-21	2021-06-28	2021-06-29	0	불합격
44	4	16	2021-06-21	2021-06-28	2021-06-29	20	불합격
45	28	16	2021-06-21	2021-06-28	2021-06-29	0	불합격
46	30	16	2021-06-21	2021-06-28	2021-06-29	50	불합격
47	9	16	2021-06-21	2021-06-28	2021-06-29	40	불합격
48	4	43	2021-07-15	2021-07-22	2021-07-23	20	불합격
49	18	43	2021-07-15	2021-07-22	2021-07-23	0	불합격
50	23	43	2021-07-15	2021-07-22	2021-07-23	40	불합격
51	1	150	2021-11-01	2021-11-08	2021-11-09	100	합격
52	22	43	2021-07-15	2021-07-22	2021-07-23	30	불합격
53	19	43	2021-07-15	2021-07-22	2021-07-23	20	불합격
54	1	1	2021-05-10	2021-05-17	2021-05-17	30	불합격
55	2	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
56	3	1	2021-05-10	2021-05-17	2021-05-17	60	불합격
57	4	1	2021-05-10	2021-05-17	2021-05-17	50	불합격
58	10	58	2021-07-30	2021-08-06	2021-08-07	60	불합격
59	12	58	2021-07-30	2021-08-06	2021-08-07	40	불합격
60	1	58	2021-07-30	2021-08-06	2021-08-07	50	불합격
61	2	58	2021-07-30	2021-08-06	2021-08-07	60	불합격
62	3	58	2021-07-30	2021-08-06	2021-08-07	40	불합격
63	4	58	2021-07-30	2021-08-06	2021-08-07	10	불합격
64	5	58	2021-07-30	2021-08-06	2021-08-07	20	불합격
65	6	58	2021-07-30	2021-08-06	2021-08-07	80	합격
66	30	14	2021-06-21	2021-06-28	2021-06-29	0	불합격
67	27	14	2021-06-21	2021-06-28	2021-06-29	30	불합격
68	18	15	2021-06-21	2021-06-28	2021-06-29	10	불합격
69	11	15	2021-06-21	2021-06-28	2021-06-29	0	불합격
70	25	15	2021-06-21	2021-06-28	2021-06-29	20	불합격
71	6	15	2021-06-21	2021-06-28	2021-06-29	50	불합격
72	8	15	2021-06-21	2021-06-28	2021-06-29	0	불합격
73	15	17	2021-06-21	2021-06-28	2021-06-29	40	불합격
74	25	17	2021-06-21	2021-06-28	2021-06-29	30	불합격
75	2	51	2021-07-20	2021-07-27	2021-07-28	40	불합격
76	8	17	2021-06-21	2021-06-28	2021-06-29	50	불합격
77	30	17	2021-06-21	2021-06-28	2021-06-29	20	불합격
78	2	122	2021-09-20	2021-09-27	2021-09-28	80	합격
79	16	17	2021-06-21	2021-06-28	2021-06-29	40	불합격
80	2	19	2021-06-25	2021-07-02	2021-07-03	0	불합격
81	18	19	2021-06-25	2021-07-02	2021-07-03	0	불합격
82	17	19	2021-06-25	2021-07-02	2021-07-03	10	불합격
83	6	19	2021-06-25	2021-07-02	2021-07-03	20	불합격
84	4	19	2021-06-25	2021-07-02	2021-07-03	30	불합격
85	29	19	2021-06-25	2021-07-02	2021-07-03	10	불합격
86	3	20	2021-06-25	2021-07-02	2021-07-03	0	불합격
87	6	20	2021-06-25	2021-07-02	2021-07-03	40	불합격
88	4	20	2021-06-25	2021-07-02	2021-07-03	10	불합격
89	9	20	2021-06-25	2021-07-02	2021-07-03	10	불합격
90	10	20	2021-06-25	2021-07-02	2021-07-03	50	불합격
91	28	20	2021-06-25	2021-07-02	2021-07-03	40	불합격
92	11	20	2021-06-25	2021-07-02	2021-07-03	20	불합격
93	15	27	2021-07-04	2021-07-11	2021-07-12	30	불합격
94	22	27	2021-07-04	2021-07-11	2021-07-12	20	불합격
95	5	27	2021-07-04	2021-07-11	2021-07-12	30	불합격
96	17	27	2021-07-04	2021-07-11	2021-07-12	0	불합격
97	4	27	2021-07-04	2021-07-11	2021-07-12	0	불합격
98	19	27	2021-07-04	2021-07-11	2021-07-12	0	불합격
99	27	27	2021-07-04	2021-07-11	2021-07-12	50	불합격
100	28	27	2021-07-04	2021-07-11	2021-07-12	20	불합격
101	1	30	2021-07-06	2021-07-13	2021-07-14	20	불합격
102	4	30	2021-07-06	2021-07-13	2021-07-14	50	불합격
103	6	30	2021-07-06	2021-07-13	2021-07-14	40	불합격
104	19	30	2021-07-06	2021-07-13	2021-07-14	0	불합격
105	9	30	2021-07-06	2021-07-13	2021-07-14	30	불합격
106	13	30	2021-07-06	2021-07-13	2021-07-14	50	불합격
107	16	30	2021-07-06	2021-07-13	2021-07-14	20	불합격
108	2	43	2021-07-15	2021-07-22	2021-07-23	10	불합격
109	9	43	2021-07-15	2021-07-22	2021-07-23	10	불합격
110	5	13	2021-06-19	2021-06-26	2021-06-26	40	불합격
111	6	13	2021-06-19	2021-06-26	2021-06-26	30	불합격
112	7	13	2021-06-19	2021-06-26	2021-06-26	30	불합격
113	8	13	2021-06-19	2021-06-26	2021-06-26	60	불합격
483	7	65	2021-08-07	2021-08-14	2021-08-15	20	불합격
115	8	72	2021-08-12	2021-08-19	2021-08-20	70	불합격
116	9	72	2021-08-12	2021-08-19	2021-08-20	50	불합격
117	10	72	2021-08-12	2021-08-19	2021-08-20	40	불합격
118	1	72	2021-08-12	2021-08-19	2021-08-20	30	불합격
119	18	17	2021-06-21	2021-06-28	2021-06-29	40	불합격
120	26	43	2021-07-15	2021-07-22	2021-07-23	0	불합격
121	1	46	2021-07-17	2021-07-24	2021-07-25	10	불합격
122	3	151	2021-09-27	2021-10-04	2021-10-05	80	합격
123	5	46	2021-07-17	2021-07-24	2021-07-25	0	불합격
124	4	46	2021-07-17	2021-07-24	2021-07-25	0	불합격
125	17	46	2021-07-17	2021-07-24	2021-07-25	0	불합격
126	29	46	2021-07-17	2021-07-24	2021-07-25	30	불합격
127	9	18	2021-06-24	2021-07-01	2021-07-01	40	불합격
128	10	18	2021-06-24	2021-07-01	2021-07-01	60	불합격
129	11	18	2021-06-24	2021-07-01	2021-07-01	50	불합격
130	12	18	2021-06-24	2021-07-01	2021-07-01	40	불합격
131	30	82	2021-08-19	2021-08-26	2021-08-27	60	불합격
132	29	82	2021-08-19	2021-08-26	2021-08-27	50	불합격
133	28	82	2021-08-19	2021-08-26	2021-08-27	20	불합격
134	27	82	2021-08-19	2021-08-26	2021-08-27	10	불합격
135	25	82	2021-08-19	2021-08-26	2021-08-27	60	불합격
136	24	82	2021-08-19	2021-08-26	2021-08-27	50	불합격
137	27	23	2021-06-29	2021-07-06	2021-07-06	50	불합격
138	28	23	2021-06-29	2021-07-06	2021-07-06	40	불합격
139	1	23	2021-06-29	2021-07-06	2021-07-06	50	불합격
140	3	23	2021-06-29	2021-07-06	2021-07-06	0	불합격
141	16	52	2021-07-22	2021-07-29	2021-07-29	10	불합격
142	19	52	2021-07-22	2021-07-29	2021-07-29	50	불합격
143	9	52	2021-07-22	2021-07-29	2021-07-29	30	불합격
144	23	85	2021-08-22	2021-08-29	2021-08-30	40	불합격
145	20	85	2021-08-22	2021-08-29	2021-08-30	60	불합격
146	19	85	2021-08-22	2021-08-29	2021-08-30	50	불합격
147	18	85	2021-08-22	2021-08-29	2021-08-30	40	불합격
148	17	85	2021-08-22	2021-08-29	2021-08-30	30	불합격
149	15	85	2021-08-22	2021-08-29	2021-08-30	20	불합격
150	5	49	2021-07-19	2021-07-26	2021-07-27	10	불합격
151	4	49	2021-07-19	2021-07-26	2021-07-27	30	불합격
152	4	151	2021-09-27	2021-10-04	2021-10-05	20	불합격
333	5	78	2021-08-16	2021-08-23	2021-08-24	0	불합격
154	21	49	2021-07-19	2021-07-26	2021-07-27	0	불합격
155	9	49	2021-07-19	2021-07-26	2021-07-27	10	불합격
156	15	51	2021-07-20	2021-07-27	2021-07-28	40	불합격
157	6	151	2021-09-27	2021-10-04	2021-10-05	90	합격
158	3	51	2021-07-20	2021-07-27	2021-07-28	10	불합격
159	20	51	2021-07-20	2021-07-27	2021-07-28	10	불합격
160	5	92	2021-08-25	2021-09-01	2021-09-02	50	불합격
161	6	92	2021-08-25	2021-09-01	2021-09-02	40	불합격
114	7	72	2021-08-12	2021-08-19	2021-08-20	60	불합격
163	8	92	2021-08-25	2021-09-01	2021-09-02	40	불합격
164	9	92	2021-08-25	2021-09-01	2021-09-02	70	불합격
165	15	92	2021-08-25	2021-09-01	2021-09-02	0	불합격
166	30	46	2021-07-17	2021-07-24	2021-07-25	50	불합격
167	8	151	2021-09-27	2021-10-04	2021-10-05	70	합격
168	9	17	2021-06-21	2021-06-28	2021-06-29	30	불합격
169	2	49	2021-07-19	2021-07-26	2021-07-27	30	불합격
170	15	51	2021-07-20	2021-07-27	2021-07-28	20	불합격
171	2	65	2021-08-07	2021-08-14	2021-08-15	50	불합격
172	29	28	2021-07-04	2021-07-11	2021-07-11	60	불합격
173	30	28	2021-07-04	2021-07-11	2021-07-11	30	불합격
174	1	28	2021-07-04	2021-07-11	2021-07-11	40	불합격
175	2	28	2021-07-04	2021-07-11	2021-07-11	40	불합격
176	21	36	2021-07-11	2021-07-18	2021-07-18	0	불합격
177	12	36	2021-07-11	2021-07-18	2021-07-18	50	불합격
178	22	37	2021-07-12	2021-07-19	2021-07-19	40	불합격
179	26	37	2021-07-12	2021-07-19	2021-07-19	10	불합격
180	27	63	2021-08-03	2021-08-10	2021-08-10	10	불합격
181	28	63	2021-08-03	2021-08-10	2021-08-10	50	불합격
182	15	63	2021-08-03	2021-08-10	2021-08-10	60	불합격
183	19	99	2021-09-03	2021-09-10	2021-09-11	0	불합격
184	20	99	2021-09-03	2021-09-10	2021-09-11	40	불합격
185	21	99	2021-09-03	2021-09-10	2021-09-11	50	불합격
186	25	99	2021-09-03	2021-09-10	2021-09-11	60	불합격
187	30	99	2021-09-03	2021-09-10	2021-09-11	70	불합격
188	29	99	2021-09-03	2021-09-10	2021-09-11	20	불합격
189	5	99	2021-09-03	2021-09-10	2021-09-11	20	불합격
190	6	103	2021-09-07	2021-09-14	2021-09-15	0	불합격
191	5	103	2021-09-07	2021-09-14	2021-09-15	0	불합격
192	4	103	2021-09-07	2021-09-14	2021-09-15	20	불합격
193	18	103	2021-09-07	2021-09-14	2021-09-15	40	불합격
194	17	103	2021-09-07	2021-09-14	2021-09-15	50	불합격
195	12	103	2021-09-07	2021-09-14	2021-09-15	60	불합격
196	16	106	2021-09-08	2021-09-15	2021-09-16	70	불합격
197	15	106	2021-09-08	2021-09-15	2021-09-16	10	불합격
198	30	106	2021-09-08	2021-09-15	2021-09-16	10	불합격
199	29	106	2021-09-08	2021-09-15	2021-09-16	0	불합격
200	1	106	2021-09-08	2021-09-15	2021-09-16	90	합격
201	2	106	2021-09-08	2021-09-15	2021-09-16	50	불합격
202	9	150	2021-11-01	2021-11-08	2021-11-09	80	합격
