번호	회원번호	음식점	음식이름	개수	구매날짜	배달료	가격 (원가)
1	A001	미가미	초밥	1	2021-08-01	0	14,000
2	A003	미가미	우동,모둠회,콜라	3,2,3	2021-08-01	0	68,000
3	A011	노독일처	간짜장,짬뽕,양장피,짜장면,볶음밥	2,3,1,3,1	2021-08-02	3,000	46,000
4	A011	마초셰프	커틀렛,알리오 올리오,에이드,토마토 파스타,사이다	2,2,2,2,3	2021-08-04	3,000	48,700
5	A001	하우스(HOUSE)	스테이크,참치파스타,토마토 파스타	2,1,1	2021-08-05	0	30,500
6	A016	롯데식당	모둠회	2	2021-08-05	3,000	8,000
7	A038	오선채	비빔밥,잡채,족발,된장찌개	2,2,3,1	2021-08-05	3,000	41,500
8	A038	빕수식당	토마호크 스테이크,양송이 스프	2,3	2021-08-06	3,000	45,500
9	A043	이자카야 나무	차슈덮밥	3	2021-08-09	3,000	25,500
10	A005	진동둔횟집	차슈덮밥,모둠회	3,1	2021-08-09	3,000	29,500
11	A028	이복춘참치	낫토,모둠회	2,1	2021-08-09	3,000	13,000
12	A002	삼대나주곰탕	김치찌개	2	2021-08-10	3,000	12,000
13	A002	서래횟집	낫토,초밥	3,1	2021-08-12	3,000	28,500
14	A045	강식당	짜장면,콜라,간짜장,짬뽕	4,1,3,3	2021-08-12	3,000	51,000
15	A036	한국회관	잡채,갈비탕	1,2	2021-08-13	3,000	15,000
16	A012	나나마구로	차슈덮밥,새우튀김,초밥,우동,모둠회	2,2,3,2,1	2021-08-13	3,000	110,000
17	A039	유다까 회전초밥전문점	모둠회,우동,새우튀김	1,3,1	2021-08-13	3,000	36,000
18	A035	스시가	모둠회,돈코츠 라멘,초밥,유부국,낫토	2,2,1,2,2	2021-08-14	3,000	48,000
19	A003	구이마마	불고기 덮밥	3	2021-08-14	0	24,000
20	A020	해우담	갈비탕,불고기 덮밥,돼지갈비,잡채,족발	2,1,1,2,1	2021-08-15	3,000	41,000
21	A015	서초정육식당	족발,돼지갈비,갈비탕,잡채,김치찌개	2,3,1,2,2	2021-08-16	3,000	59,500
22	A027	사과식당	아포가토	2	2021-08-16	3,000	5,000
23	A005	삼성각	탕수육,유린기,양장피,마라탕	3,3,2,2	2021-08-17	3,000	63,000
24	A003	일식당	고추튀김,순대,김말이,어묵	3,3,2,1	2021-08-17	0	15,600
25	A043	청년식당	라면	3	2021-08-18	3,000	10,500
26	A014	성민양꼬치	짬뽕,짜장면,볶음밥	3,2,2	2021-08-19	3,000	33,000
27	A003	미가미	초밥	2	2021-09-04	0	15,000
28	A039	오선채	비빔밥,된장찌개,제육볶음,잡채,김치찜	3,1,3,3,2	2021-08-19	3,000	52,000
29	A032	일식당	떡볶이	2	2021-08-17	3,000	9,000
30	A033	송쉐프	마라탕	3	2021-08-20	3,000	19,500
31	A003	양쓰부	군만두,마라탕,탕수육	3,1,1	2021-08-20	0	18,500
32	A027	도쿄하나 사당점	알밥	2	2021-08-20	3,000	22,000
33	A042	정여사 손칼국수	라면,떡볶이,어묵,김밥	2,1,1,2	2021-08-21	3,000	17,000
34	A001	가나식당	쉬림프피자,고르곤졸라피자,스테이크피자,고구마피자,치즈피자	2,3,3,1,3	2021-08-21	0	136,000
35	A029	서래면옥	고추튀김	3	2021-08-22	3,000	2,100
