순번	판매자 번호	음식	 상품 설명 	 가격 
1	Z001	초밥	 스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다. 	15,000
2	Z001	우동	일본의 전통적이고 가장 대중적인 면 요리	4,000
3	Z001	모둠회	 제철의 생선들을 싱싱하게 썰은 한 접시 	25,000
4	Z001	새우튀김	주로 보리새우의 껍질을 까서 튀김옷을 입힌 뒤 튀기는 요리다.	8,000
5	Z001	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	8,000
6	Z001	돈코츠 라멘	 돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘 	10,000
7	Z001	낫토	일본의 전통음식 중 하나	3,000
8	Z001	차슈덮밥	돼지고기를 양념장에 약 3일 정도 재운 요리	12,000
9	Z001	유부국	유부장국은 일본된장인 미소에 추가한다	2,500
10	Z001	콜라	 음료 	2,000
11	Z001	사이다	 음료 	2,000
12	Z002	초밥	 스시는 소금과 식초, 설탕으로 간을 한 밥 위에 얇게 저민 생선이나 김, 달걀, 채소 등을 얹거나 말아 만드는 일본의 대표 요리이다. 	14,000
13	Z002	우동	일본의 전통적이고 가장 대중적인 면 요리	4,000
14	Z002	알밥	생선알을 주재료로 하여 단무지, 김치, 무순, 김가루 등을 넣은, 일종의 비빔밥이다.	8,000
15	Z002	돈코츠 라멘	 돼지뼈로 우려낸 국물에 맛있는 차슈가 들어간 라멘 	8,000
16	Z002	낫토	일본의 전통음식 중 하나	3,000
17	Z002	콜라	 음료 	2,000
18	Z003	티본 스테이크	부드러운 안심과 풍미가 진한 등심을 함께 즐길 수 있는 피렌체 오리지널 스타일의 스테이크	25,000
19	Z003	양송이 스프	신선한 재료로 6시간 이상 끓여내는 홈메이드 수프	10,000
20	Z003	토마호크 스테이크	오직 황제만이 즐길 수 있었던 블랙 앵거스의 단1%의 부위 3cm 이상의 두께에서 뿜어져 나오는 압도적인 풍미가 가득한 예술적 스테이크	35,000
