번호	회원번호	음식점 번호	음식점	구매날짜	리뷰	별점	공개여부
1	A001	Z001	미가미	2021-08-01	맛있네요	4	O
2	A003	Z001	미가미	2021-08-01	생선이 싱싱하네요	5	X
3	A004	Z001	미가미	2021-09-04	배달이 느려서 조금 불만족스럽네요	3	X
4	A005	Z001	미가미	2021-09-07	분명 저번에 서비스 주신다고 했는데 ㅠㅠ	4	X
5	A006	Z001	미가미	2021-09-13	생선에서 비린 맛이 나네요	2	O
6	A007	Z001	미가미	2021-09-22	Good!	4	O
7	A008	Z001	미가미	2021-10-07	먹으니 행복하네요	4	O
8	A035	Z001	미가미	2021-10-29	다시는 안 시켜요	2	X
9	A015	Z001	미가미	2021-11-05	얘가 많이 좋아하네요 ㅎㅎ	4	O
10	A027	Z059	사과식당	2021-08-16	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4	X
11	A038	Z062	삼성각	2021-08-17	좋은데, 조금 마음에 안 드네요	3	O
12	A032	Z100	일식당	2021-08-17	최고입니다.	3	X
13	A043	Z116	청년식당	2021-08-18	직원들이 친절하지가 않네요.	2	O
14	A014	Z071	성민양꼬치	2021-08-19	맘에 들지가 않고 다시는 시키지 않을 것 같네요.	2	X
15	A039	Z091	오선채	2021-08-19	적당합니다.	4	O
16	A008	Z100	일식당	2021-09-20	글쎄요, 좋은 거 같은데 이 정도면..	3	X
17	A020	Z013	금홍	2021-09-03	이건 좀..	1	O
18	A011	Z022	다피타(da pitta)	2021-09-03	최고네요!!	5	X
19	A004	Z041	마초셰프	2021-09-03	친절합니다. 	4	O
20	A006	Z043	맥도식당	2021-09-03	직원들 말좀 똑바로 하라 해주세요.	1	X
21	A003	Z001	미가미	2021-09-04	음식에 벌레가 있어요..	1	O
22	A027	Z095	유다까 회전초밥전문점	2021-09-05	입 안에 들어가자마자 너무 맛있어서 깜짝 놀랐습니다.	5	X
23	A042	Z002	이춘복스시	2021-09-06	그저 그러네요.	3	O
24	A001	Z114	짱돈까스	2021-09-06	뭐라 할 건 없는데 조금 그렇네요.	4	X
25	A002	Z068	서초정육식당	2021-09-06	최고다 이건	5	O
26	A014	Z057	북해도	2021-09-25	적당합니다.	3	X
27	A002	Z041	마초셰프	2021-09-25	수제버거인거 같아요. 육즙이 정말 많네요.	5	O
28	A030	Z008	거만한식당	2021-09-26	음식이 이도저도 아닌 맛이네요.	1	X
29	A039	Z047	미나토	2021-09-26	배달이 빨라 좋았어요.	4	X
30	A001	Z109	중식당	2021-09-26	다시 시킬 의향이 있어요.	4	X
31	A009	Z080	신촌설렁탕	2021-09-27	적당적당한 줄 알았더니, 더 좋네요. 생각보다 (❁´◡`❁)	5	X
32	A036	Z045	묘오또	2021-09-28	아주 좋습니다.	5	X
33	A005	Z062	삼성각	2021-08-17	어떻게 해야 이런맛이 나오나요	2	O
34	A005	Z118	청정횟집	2021-09-12	다시는 안와요	2	O
35	A002	Z061	삼대나주곰탕	2021-08-10	그럭저럭하네요	3	O
36	A005	Z001	미가미	2021-08-01	제 입맛에도 안맞고 다른 사람 입맛에도 안맞을겁니다	2	X
37	A010	Z034	러식당	2021-09-02	너무 맛있어서 미칠것 같네요	5	X
38	A012	Z015	나나마구로	2021-08-13	다시는 이런 음식 만들지 마세요	1	O
39	A004	Z020	노인식당	2021-09-15	맛이 안나요 노력하세요	2	O
40	A001	Z026	더구어	2021-09-16	맛있네요	4	O
41	A003	Z129	하우스(HOUSE)	2021-08-05	맛있지도 않고 맛없지도 않네요	3	X
42	A001	Z134	한지박	2021-09-21	진짜 최고에요	5	O
43	A005	Z001	미가미	2021-08-01	쓰레기를 먹는 것같네요	1	O
44	A009	Z053	버거식당	2021-08-23	너무 달달하네요	5	X
45	A009	Z035	레몬식당	2021-09-24	너무 맛있어서 미칠것 같네요	5	X
46	A009	Z085	엉터리식당	2021-09-10	고기인지 돌인지 모르겠네요	1	O
47	A001	Z041	마초셰프	2021-08-04	다시는 오지마세요	2	X
48	A030	Z008	거만한식당	2021-09-26	최고다 이건	5	X
49	A022	Z047	미나토	2021-09-10	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4	O
50	A039	Z109	중식당	2021-09-08	면이 떡이 됐어요	1	X
51	A016	Z036	롯데식당	2021-08-05	맛있어요	4	X
52	A001	Z026	더구어	2021-09-16	너무 맛있어서 또 올것같아요	5	O
53	A001	Z026	더구어	2021-09-16	다시는 절대 안와요	1	X
54	A019	Z012	국수명가	2021-09-30	면이 탱글탱글 하네요	5	X
55	A005	Z069	선궁	2021-10-01	그럭저럭하네요	3	X
56	A036	Z131	한국회관	2021-08-13	맛있지도 않고 맛없지도 않네요	3	O
57	A003	Z042	만다린	2021-10-02	다시 시킬 의향이 있어요.	4	O
58	A037	Z126	피제리아 하이웨이트립	2021-10-03	나쁘지 않게 맛있어요	3	O
59	A022	Z104	작은식당	2021-10-04	가성비가 좋네요	3	X
60	A035	Z077	스시가	2021-08-14	가격도 싸고, 맛도 좋아요	5	O
61	A015	Z068	서초정육식당	2021-08-16	고기가 부드러워요	5	O
62	A003	Z100	일식당	2021-08-17	맛은 있는데 서비스가 영 별로에요	3	X
63	A033	Z072	송쉐프	2021-08-20	5성급쉐프가 만든것같네요	5	X
64	A029	Z064	서래면옥	2021-08-22	진짜 별로고 서비스도 엉망이에요	1	X
65	A046	Z060	사조참치(사당역점)	2021-08-24	너무 맛있고 신선해요	5	O
66	A030	Z045	묘오또	2021-08-24	다음에 무조건 올래요	5	O
