번호	좌표
B001	60,54
B002	61,54
B003	62,54
B004	63,54
B005	64,54
B006	69,51
B007	70,51
B008	70,52
B009	70,53
B010	76,42
B011	76,43
B012	76,44
B013	76,45
B014	76,46
B015	75,36
B016	77,36
B017	78,36
B018	76,39
B019	77,39
B020	78,39
B021	79,39
B022	81,47
B023	81,48
B024	81,49
B025	81,50
B026	55,43
B027	56,43
B028	57,43
B029	63,38
B030	63,39
B031	63,40
B032	63,41
B033	56,35
B034	49,35
B035	50,35
B036	51,35
B037	52,35
B038	72,31
B039	73,31
B040	74,31
B041	46,31
B042	47,31
B043	48,31
B044	49,31
B045	40,35
B046	41,35
B047	42,35
B048	43,35
B049	44,35
B050	33,41
B051	33,42
B052	33,43
B053	33,44
B054	31,39
B055	32,39
B056	33,39
B057	34,39
B058	36,42
B059	36,43
B060	36,44
B061	30,39
B062	26,37
B063	27,37
B064	28,37
B065	27,32
B066	28,32
B067	29,32
B068	30,32
B069	17,37
B070	18,37
B071	19,37
B072	20,37
B073	14,35
B074	15,35
B075	16,35
B076	17,35
B077	11,47
B078	10,51
B079	11,51
B080	7,38
B081	8,38
B082	9,38
B083	10,38
B084	11,38
B085	2,41
B086	2,42
B087	2,43
B088	4,46
B089	5,46
B090	6,46
B091	7,46
B092	5,49
B093	5,50
B094	5,51
B095	2,32
B096	3,32
B097	4,32
B098	5,32
B099	6,32
B100	7,32
B101	7,33
B102	19,11
B103	20,11
B104	18,17
B105	19,17
B106	20,17
B107	14,15
B108	14,16
B109	20,15
B110	24,14
B111	24,15
B112	28,5
B113	32,5
B114	32,6
B115	32,7
B116	32,8
B117	29,1
B118	32,3
B119	17,3
B120	18,3
B121	19,3
B122	20,3
B123	23,6
B124	23,7
B125	15,1
B126	15,2
B127	15,3
B128	5,2
B129	6,2
B130	7,2
B131	1,0
B132	2,0
B133	1,1
B134	2,1
B135	2,11
B136	2,12
B137	4,22
B138	25,22
B139	26,22
B140	27,22
B141	28,22
B142	27,28
B143	27,29
B144	7,28
B145	7,29
B146	7,24
B147	0,56
B148	1,56
B149	64,29
B150	65,29
B151	66,29
B152	68,25
B153	69,25
B154	70,25
B155	80,28
B156	80,29
B157	80,30
B158	88,29
B159	89,29
B160	88,30
B161	89,30
B162	87,34
B163	88,34
B164	89,34
B165	90,34
B166	84,41
B167	85,41
B168	90,43
B169	91,43
B170	92,43
B171	84,46
B172	84,47
B173	83,52
B174	84,52
B175	75,87
B176	76,87
B177	77,87
B178	72,90
B179	73,90
B180	74,90
B181	77,90
B182	75,97
B183	78,98
B184	79,98
B185	84,91
B186	84,92
B187	70,85
B188	70,86
B189	75,85
B190	88,86
B191	88,87
B192	89,87
B193	95,83
B194	96,83
B195	95,85
B196	95,86
B197	77,65
B198	77,66
B199	77,61
B200	77,69
B201	78,69
B202	79,69
B203	75,72
B204	75,73
B205	75,74
B206	67,74
B207	68,74
B208	70,72
B209	66,63
B210	67,63
B211	68,63
B212	63,60
B213	64,60
B214	57,61
B215	58,61
B216	59,61
B217	59,79
B218	56,80
B219	57,80
B220	58,80
B221	59,80
B222	51,78
B223	51,79
B224	34,64
B225	34,65
B226	30,69
B227	30,70
B228	31,70
B229	32,70
B230	33,70
B231	26,76
B232	27,76
B233	35,92
B234	36,92
B235	37,92
B236	33,95
B237	33,96
B238	38,95
B239	42,92
B240	43,92
B241	44,92
B242	45,92
B243	49,86
B244	50,86
B245	51,86
B246	47,93
B247	47,94
B248	51,95
B249	52,95
B250	53,95
B251	58,92
B252	58,88
B253	62,90
B254	63,90
B255	60,94
B256	63,99
B257	78,56
B258	79,56
B259	80,56
B260	88,54
B261	89,54
B262	90,54
B263	90,62
B264	91,62
B265	65,99
B266	66,99
B267	67,99
B268	68,99
B269	28,97
B270	28,98
B271	28,99
B272	20,83
B273	21,83
B274	19,79
B275	32,57
B276	33,57
B277	34,57
B278	24,59
B279	25,59
B280	24,60
B281	23,67
B282	24,67
B283	23,68
B284	23,69
B285	24,69
B286	21,69
B287	21,70
B288	9,69
B289	10,69
B290	11,69
B291	2,69
B292	2,70
B293	4,63
B294	7,62
B295	8,62
B296	9,62
B297	13,91
B298	13,92
B299	9,77
B300	19,73
B301	20,73
B302	19,74
B303	19,75
B304	94,46
B305	95,46
B306	96,46
B307	94,47
B308	95,47
B309	96,47
B310	89,48
B311	90,48
B312	97,40
B313	98,40
B314	97,41
B315	98,41
B316	96,28
B317	97,28
B318	98,28
B319	94,36
B320	95,36
B321	95,37
B322	86,21
B323	87,21
B324	83,24
B325	84,24
B326	85,24
B327	92,16
B328	93,16
B329	92,17
B330	93,17
B331	92,18
B332	93,18
B333	75,23
B334	76,23
B335	77,23
B336	78,23
B337	71,22
B338	72,22
B339	73,22
B340	77,10
B341	78,10
B342	79,10
B343	78,5
B344	79,5
B345	78,6
B346	79,6
B347	71,6
B348	72,6
B349	69,10
B350	70,10
B351	71,10
B352	69,11
B353	70,11
B354	71,11
B355	63,6
B356	64,6
B357	65,6
B358	66,6
B359	63,7
B360	64,7
B361	65,7
B362	66,7
B363	40,10
B364	40,21
B365	46,21
B366	47,21
B367	48,21
B368	46,22
B369	48,18
B370	49,18
B371	46,26
B372	37,27
B373	35,24
B374	35,25
B375	35,26
B376	92,2
B377	93,2
B378	94,2
B379	92,3
B380	93,3
B381	94,3
B382	66,51
B383	67,51
