연번	작품번호	시작일	종료일
1	TR05	2021-09-01	2021-09-03
2	TR15	2021-09-02	2021-09-06
3	RO14	2021-09-03	2021-09-08
4	RO08	2021-09-08	2021-09-11
5	IM13	2021-09-18	2021-09-19
6	IM07	2021-09-19	2021-09-24
7	SY05	2021-09-20	2021-09-21
8	TR02	2021-09-21	2021-09-23
9	SU15	2021-09-21	2021-09-25
10	IM10	2021-09-22	2021-09-24
11	SY09	2021-09-27	2021-09-29
12	SY05	2021-10-02	2021-10-06
13	SU09	2021-10-05	2021-10-08
14	IM01	2021-10-07	2021-10-08
15	SU01	2021-10-13	2021-10-14
16	IM01	2021-10-16	2021-10-21
17	SU01	2021-10-17	2021-10-20
18	SU14	2021-10-20	2021-10-23
19	IM02	2021-10-27	2021-10-29
20	SU12	2021-11-01	2021-11-05
21	IM10	2021-11-10	2021-11-14
22	SY01	2021-11-10	2021-11-13
23	RO13	2021-11-11	2021-11-16
24	IM05	2021-11-12	2021-11-13
25	SU10	2021-11-21	2021-11-22
26	IM04	2021-11-23	2021-11-24
27	SY04	2021-11-23	2021-11-26
28	SY04	2021-11-23	2021-11-25
29	IM14	2021-11-26	2021-12-01
30	TR03	2021-11-26	2021-11-27
