도서코드	도서명	저자명	출판사	출간일	ISBN[부가기호]	청구기호
	0.1%의 비밀	조세핀 김, 김경일	EBS BOOKS	2018-01-01	978-89-547540-6-4[03370]	
	100층짜리 집	이와이 도시오	북뱅크	2018-01-01	978-89-898637-8-6[74830]	
	1억년 전 공룡 오줌이 빗물로 내려요	안녕달	와이즈만북스(와이즈남 BOOKS)	2018-01-02	978-89-894157-7-0[77440]	
	1일 1페이지, 세상에서 가장 짧은 심리 수업 365	정여울	위즈덤하우스	2019-05-03	979-11-913084-4-0[04030]	
	2019 건축물 내진설계기준 및 해설	사단법인 대한건축학회	김문당	2019-05-04	978-89-622582-2-6[93540]	
	3 2 1	마리 칸스타 욘센	책빛	2018-01-03	978-89-621930-8-4[74850]	
	5학년 5반 아이들	육숙희	푸른책들	2018-01-04	978-89-579833-1-7[74810]	
	90일 밤의 클래식	김태용	동양북스	2019-05-05	979-11-576864-8-3[03600]	
	LP로 듣는 클래식 유재후의 음악이야기	유재후	도서출판등	2019-05-06	979-11-973214-1-2[03670]	
	가면생활자	조규미	자음과모음	2019-05-07	978-89-544393-2-9[43810]	
	가장 예쁜 생각을 너에게 주고 싶다	나태주	알에이치코리아(rhk)	2019-05-08	978-89-255618-2-0[03810]	
	가정간편식	이미경	상상출판	2019-05-09	979-11-909380-0-6[15590]	
	가족과 통치	조은주	창비	2019-05-10	978-89-364863-0-3[93300]	
	가지 말라는데 가고 싶은 길이 있다	나태주	&(앤드)	2019-05-11	979-11-668303-0-3[03810]	
	강아지똥	권정생	길벗어린이	2018-04-09	978-89-558241-3-1[77810]	
	같이 해서 더 좋아	정호선	길벗어린이	2018-01-05	978-89-558253-1-2[77810]	
	개	김훈	푸른숲	2019-05-12	979-11-567587-2-3[03810]	
	걱정이 너무 많아	김영진	길벗어린이	2018-04-10	978-89-558255-7-2[74810]	
	건축, 음악처럼 듣고 미술처럼 보다	서현	효형출판	2019-05-13	978-89-587212-6-0[03540]	
	검은 꽃	김영하	복복서가	2019-05-14	978-89-546753-2-1[04810]	
