회원ID	좌석번호	예약일	예약시간(분)	이용시간(분)
user01	PC-001	2021-10-05 09:00:00	180	
user04	PC-001	2021-10-05 12:00:00	270	
user02	PC-002	2021-10-05 09:00:00	180	
user03	PC-003	2021-10-05 09:00:00	270	
user10	PC-004	2021-10-05 10:00:00	120	
user01	PC-004	2021-10-05 12:00:00	90	
user09	PC-005	2021-10-05 10:00:00	150	
user08	PC-005	2021-10-05 13:00:00	180	
user07	PC-006	2021-10-05 14:30:00	180	
user05	PC-008	2021-10-05 12:00:00	270	
user07	PC-008	2021-10-05 10:00:00	60	
user02	PC-001	2021-10-06 09:00:00	180	
user01	PC-001	2021-10-06 12:00:00	270	
user04	PC-002	2021-10-06 09:00:00	180	
user03	PC-003	2021-10-06 09:00:00	270	
user10	PC-004	2021-10-06 10:00:00	120	
user01	PC-004	2021-10-06 12:00:00	90	
user09	PC-005	2021-10-06 10:00:00	150	
user08	PC-005	2021-10-06 13:00:00	180	
user07	PC-006	2021-10-06 14:30:00	180	
user05	PC-008	2021-10-06 12:00:00	270	
user07	PC-008	2021-10-06 10:00:00	60	
user02	PC-002	2021-10-07 09:00:00	180	
user03	PC-003	2021-10-07 09:00:00	270	
user10	PC-004	2021-10-07 10:00:00	120	
user01	PC-004	2021-10-07 12:00:00	90	
user09	PC-005	2021-10-07 10:00:00	150	
user08	PC-005	2021-10-07 13:00:00	180	
user07	PC-006	2021-10-07 14:30:00	180	
user09	PC-005	2021-10-08 10:00:00	150	
user08	PC-005	2021-10-08 13:00:00	180	
user07	PC-006	2021-10-08 14:30:00	180	
