도서코드	회원ID	대출일자	반납예정일	반납일자	대출연장	예약자	예약일
DJ20210300009	user01	2021-01-01	2021-01-15	2021-01-15	N		
DJ20180400004	user04	2021-01-04	2021-01-18	2021-01-18	N		
DJ20187400001	user01	2021-01-04	2021-01-18	2021-01-18	N		
DJ20180300001	user01	2021-01-04	2021-01-18	2021-01-18	N		
DJ20187700001	user01	2021-01-04	2021-01-18	2021-01-18	N		
DJ20210400002	user09	2021-01-04	2021-01-18	2021-01-18	N		
DJ20187400002	user07	2021-01-04	2021-01-18	2021-01-18	N		
DJ20210400005	user07	2021-01-05	2021-01-19	2021-01-19	N		
DJ20211300006	user07	2021-01-05	2021-01-19	2021-01-19	N		
DJ20216100002	user07	2021-01-05	2021-01-19	2021-01-19	N		
DJ20211300007	user07	2021-01-05	2021-01-19	2021-01-19	N		
DJ20190400021	user04	2021-01-05	2021-01-26	2021-01-26	Y		
DJ20190400022	user04	2021-01-05	2021-01-26	2021-01-26	Y		
DJ20190400024	user04	2021-01-05	2021-01-26	2021-01-26	Y		
DJ20197700016	user05	2021-01-12	2021-01-26	2021-01-26	N		
DJ20199300003	user01	2021-01-15	2021-01-29	2021-01-29	N		
DJ20199300004	user02	2021-01-17	2021-01-31	2021-01-31	N		
DJ20190500010	user04	2021-01-19	2021-02-07	2021-02-07	Y		
DJ20190400023	user04	2021-01-19	2021-02-07	2021-02-07	Y		
DJ20187400001	user10	2021-01-24	2021-02-07	2021-02-07	N		
DJ20210400004	user10	2021-01-24	2021-02-07	2021-02-07	N		
DJ20210700001	user10	2021-01-24	2021-02-07	2021-02-07	N		
DJ20210300037	user10	2021-01-24	2021-02-07	2021-02-07	N		
DJ20210400002	user08	2021-01-24	2021-02-07	2021-02-07	N		
DJ20180300001	user02	2021-01-25	2021-02-08	2021-02-08	N		
DJ20187700001	user02	2021-02-01	2021-02-15	2021-02-15	N		
DJ20190300045	user07	2021-02-01	2021-02-15	2021-02-15	N		
DJ20199300004	user03	2021-02-02	2021-02-16	2021-02-16	N		
DJ20180400004	user03	2021-02-04	2021-02-18	2021-02-18	N		
DJ20187400002	user06	2021-02-04	2021-02-18	2021-02-18	N		
DJ20190300027	user06	2021-02-04	2021-02-18	2021-02-18	N		
DJ20190300028	user06	2021-02-04	2021-02-18	2021-02-18	N		
DJ20190300029	user06	2021-02-04	2021-02-18	2021-02-18	N		
DJ20191300005	user06	2021-02-04	2021-02-18	2021-02-18	N		
DJ20190400005	user05	2021-02-05	2021-02-19	2021-02-19	N		
DJ20190300015	user05	2021-02-05	2021-02-19	2021-02-19	N		
DJ20190300016	user05	2021-02-05	2021-02-19	2021-02-19	N		
DJ20190400007	user01	2021-02-05	2021-02-19	2021-02-19	N		
DJ20190400008	user01	2021-02-05	2021-02-19	2021-02-19	N		
DJ20197700001	user01	2021-02-05	2021-02-19	2021-02-19	N		
DJ20187700024	user09	2021-02-05	2021-02-19	2021-02-19	N		
DJ20211300003	user08	2021-02-05	2021-02-19	2021-02-19	N		
DJ20210300022	user08	2021-02-05	2021-02-19	2021-02-19	N		
DJ20210300023	user08	2021-02-05	2021-02-19	2021-02-19	N		
DJ20199300003	user02	2021-02-10	2021-02-24	2021-02-24	N		
DJ20191300010	user07	2021-02-10	2021-02-24	2021-02-24	N		
DJ20190300047	user07	2021-02-10	2021-02-24	2021-02-24	N		
DJ20214500001	user10	2021-02-13	2021-02-27	2021-02-27	N		
DJ20210300038	user10	2021-02-13	2021-02-27	2021-02-27	N		
DJ20210300039	user10	2021-02-13	2021-02-27	2021-02-27	N		
DJ20214500002	user10	2021-02-13	2021-02-27	2021-02-27	N		
DJ20187400001	user09	2021-02-14	2021-02-28	2021-02-28	N		
DJ20210400002	user07	2021-02-14	2021-02-28	2021-02-28	N		
DJ20199300004	user04	2021-02-18	2021-03-04	2021-03-04	N		
DJ20180300001	user03	2021-02-24	2021-03-10	2021-03-10	N		
DJ20180400004	user02	2021-02-24	2021-03-10	2021-03-10	N		
