번호	카테고리	이름	판매처	연락처	가격	해외배송
1	외식	상미종 생 식빵	PARIS BAGUETTE	811-922-8911	4,300	0
2	외식	돌돌말린 소시지 도넛	PARIS BAGUETTE	811-922-8911	2,400	0
3	외식	초코가 달콤한시간	PARIS BAGUETTE	811-922-8911	6,200	0
4	외식	건강한곡물롤	PARIS BAGUETTE	811-922-8911	3,800	0
5	외식	마이넘버원3	BASKIN ROBINS	801-533-5457	27,000	1
6	외식	실키롤케익	TOUS LES JOURS	646-880-1999	11,000	0
7	외식	우리벌꿀 카스텔라	TOUS LES JOURS	646-880-1999	12,000	0
8	외식	슈크림빵	TOUS LES JOURS	646-880-1999	1,500	0
9	외식	Lays Classic 10EA	PEPSI CORP.	877-222-3351	33,000	1
10	외식	쉬림프골드	DOMINO'S PIZZA	392-533-1832	28,900	0
11	외식	치즈블라썸스테이크	DOMINO'S PIZZA	392-533-1832	36,900	0
12	외식	리치골드 블랙알리오	DOMINO'S PIZZA	392-533-1832	45,700	0
13	외식	상하이 쉬림프 파스타	OUTBACK	333-222-1111	33,700	1
14	외식	얼티밋 치즈포켓	BLOOMIN'S BRANDS	823-735-6211	15,000	1
15	외식	갈릭버터쉬림프	BLOOMIN'S BRANDS	823-735-6211	34,700	0
16	외식	리치골드 티본	BLOOMIN'S BRANDS	823-735-6211	99,000	0
17	외식	티본 스테이크	CJ FOOD	573-289-0185	119,900	0
18	외식	직화불고기 리치골드	CJ FOOD	573-289-0185	22,900	1
19	외식	메가크런치 피자	PEPSI CORP.	877-222-3351	25,900	0
20	외식	체리 쥬빌레 레드	BASKIN ROBINS	801-533-5457	9,200	1
21	외식	고추 바사삭	GOOBNE	792-183-3824	19,000	0
22	외식	갈비천왕	GOOBNE	792-183-3824	30,000	0
23	외식	립 아이 스테이크	PEPSI CORP.	877-222-3351	150,000	1
24	교통	유나이티드 ICN - LAX 구간 이코노미	UNITED AIRLINE	800-864-8331	1,101,300	0
25	교통	유나이티드 LAX - ICN 구간 이코노미	UNITED AIRLINE	800-864-8331	1,251,300	1
26	교통	케세이 퍼시픽 ICN - DTW 구간 퍼스트 클래스	CATHAY PACIFIC AIRWAYS	855-781-7104	17,293,000	0
