t_no	u_no	t_date	r_no	t_magicpass
1	1	2021-09-28	4	
2	1	2021-09-28	3	
3	2	2021-09-28	30	
4	2	2021-09-28	5	
5	2	2021-09-28	21	
6	2	2021-09-28	23	
7	5	2021-09-28	14	
8	5	2021-09-28	21	
9	5	2021-09-28	20	
10	6	2021-09-28	6	
11	6	2021-09-28	2	
12	6	2021-09-28	30	
13	8	2021-09-28	30	
14	14	2021-09-28	7	
15	14	2021-09-28	12	
16	16	2021-09-28	4	
17	16	2021-09-28	15	
18	16	2021-09-28	27	
19	18	2021-09-28	29	
20	21	2021-09-28	9	
21	21	2021-09-28	7	
22	1	2021-09-29	12	
23	3	2021-09-29	22	
24	3	2021-09-29	12	
25	4	2021-09-29	12	
26	7	2021-09-29	14	
27	8	2021-09-29	20	
28	16	2021-09-29	12	
29	17	2021-09-29	2	
30	17	2021-09-29	2	
31	17	2021-09-29	2	
32	18	2021-09-29	12	
33	21	2021-09-29	9	
34	21	2021-09-29	7	
35	21	2021-09-29	10	
36	3	2021-09-30	29	
37	4	2021-09-30	6	
38	4	2021-09-30	6	
39	4	2021-09-30	1	
40	4	2021-09-30	10	
41	4	2021-09-30	17	
42	5	2021-09-30	21	
43	5	2021-09-30	17	
44	7	2021-09-30	16	
45	8	2021-09-30	14	
46	8	2021-09-30	10	
47	8	2021-09-30	18	
48	11	2021-09-30	18	
49	11	2021-09-30	6	
50	11	2021-09-30	2	
51	12	2021-09-30	5	
52	12	2021-09-30	6	
53	14	2021-09-30	5	
54	14	2021-09-30	8	
55	16	2021-09-30	1	
56	17	2021-09-30	5	
57	18	2021-09-30	23	
58	1	2021-10-01	7	
59	1	2021-10-01	6	
60	1	2021-10-01	30	
61	2	2021-10-01	14	
62	2	2021-10-01	8	1
63	2	2021-10-01	4	
64	3	2021-10-01	4	
65	3	2021-10-01	8	
66	3	2021-10-01	6	
67	4	2021-10-01	3	
68	5	2021-10-01	21	
69	5	2021-10-01	9	1
70	5	2021-10-01	2	
71	6	2021-10-01	6	
72	6	2021-10-01	7	
73	6	2021-10-01	6	
74	7	2021-10-01	3	
75	7	2021-10-01	7	
76	7	2021-10-01	1	
77	8	2021-10-01	1	
78	9	2021-10-01	25	
79	10	2021-10-01	9	
80	10	2021-10-01	10	
81	10	2021-10-01	2	
82	12	2021-10-01	8	
83	12	2021-10-01	2	1
84	14	2021-10-01	20	
85	16	2021-10-01	23	
86	18	2021-10-01	30	
87	19	2021-10-01	8	
88	19	2021-10-01	10	
89	19	2021-10-01	2	
90	20	2021-10-01	8	
91	2	2021-10-02	7	
92	2	2021-10-02	14	
93	4	2021-10-02	7	1
94	5	2021-10-02	30	
95	8	2021-10-02	3	
96	10	2021-10-02	3	
97	13	2021-10-02	25	
98	15	2021-10-02	5	
99	15	2021-10-02	4	
100	16	2021-10-02	6	
101	18	2021-10-02	30	
102	20	2021-10-02	30	
103	21	2021-10-02	17	
104	1	2021-10-03	27	1
105	1	2021-10-03	25	
106	1	2021-10-03	27	
107	2	2021-10-03	27	
108	3	2021-10-03	2	
109	3	2021-10-03	15	
110	3	2021-10-03	10	
111	3	2021-10-03	27	
112	4	2021-10-03	9	
113	4	2021-10-03	2	
114	5	2021-10-03	5	
115	5	2021-10-03	27	
116	11	2021-10-03	26	
117	15	2021-10-03	9	
118	15	2021-10-03	20	
119	15	2021-10-03	27	
120	15	2021-10-03	3	
121	16	2021-10-03	9	
122	18	2021-10-03	9	
123	1	2021-10-04	6	
124	2	2021-10-04	16	
125	4	2021-10-04	16	
126	9	2021-10-04	6	
127	9	2021-10-04	2	
128	9	2021-10-04	26	
129	11	2021-10-04	6	
130	18	2021-10-04	1	
131	19	2021-10-04	3	
132	20	2021-10-04	22	
133	20	2021-10-04	21	
134	20	2021-10-04	6	
