s_no	word	time
1	마감	2021-07-03 01:46:00
2	단기	2021-07-04 08:47:00
3	치킨	2021-07-06 14:04:00
4	당일지급	2021-07-07 15:47:00
5	일급	2021-07-09 09:30:00
6	제조	2021-07-10 07:45:00
7	10000원	2021-07-11 13:37:00
8	꿀알바	2021-07-11 20:19:00
9	서브웨이	2021-07-12 11:05:00
10	나이키	2021-07-12 12:18:00
11	치킨	2021-07-16 04:16:00
12	마트	2021-07-17 19:13:00
13	스타벅스	2021-07-19 08:25:00
14	카페	2021-07-19 09:41:00
15	10000원	2021-07-20 11:38:00
16	커피	2021-07-20 15:14:00
17	급구	2021-07-21 21:52:00
18	백화점	2021-07-22 01:14:00
19	러쉬	2021-07-22 02:08:00
20	편의점	2021-07-22 03:05:00
21	시급	2021-07-22 09:33:00
22	약	2021-07-22 22:19:00
23	약국	2021-07-24 08:46:00
24	야외	2021-07-24 14:05:00
25	영화관	2021-07-25 13:48:00
26	파견직	2021-07-26 14:36:00
27	주급	2021-07-29 06:03:00
28	시급	2021-07-29 13:10:00
29	약국	2021-07-29 16:50:00
30	배라	2021-07-30 21:19:00
31	cu	2021-08-03 01:42:00
32	마트	2021-08-03 04:15:00
33	단기	2021-08-05 17:57:00
34	랜드	2021-08-05 19:00:00
35	월급	2021-08-07 14:45:00
36	음식	2021-08-08 07:24:00
37	커피	2021-08-08 10:42:00
38	급구	2021-08-08 15:28:00
39	정직원	2021-08-08 15:47:00
40	월급	2021-08-10 15:57:00
41	에버랜드	2021-08-10 18:12:00
42	전문	2021-08-11 21:33:00
43	놀이공원	2021-08-12 10:38:00
44	마트	2021-08-15 21:08:00
45	파크	2021-08-18 07:14:00
46	식당	2021-08-19 10:17:00
47	gs25	2021-08-19 14:22:00
48	연봉	2021-08-20 16:00:00
49	꿀	2021-08-21 04:14:00
50	장기	2021-08-21 23:13:00
51	주급	2021-08-22 17:53:00
52	단기	2021-08-23 23:21:00
53	서브웨이	2021-09-04 02:10:00
54	역삼동	2021-09-04 21:23:00
55	마산	2021-09-05 11:39:00
56	커피	2021-09-07 18:43:00
57	단순업무	2021-09-09 14:19:00
58	대형마트	2021-09-10 01:41:00
59	강남	2021-09-10 11:17:00
60	꿀	2021-09-11 01:23:00
61	편의점	2021-09-11 03:02:00
62	역삼동	2021-09-12 02:46:00
63	급구	2021-09-15 16:17:00
64	꽃집	2021-09-16 12:29:00
65	카페	2021-09-17 08:43:00
66	부평	2021-09-17 20:09:00
67	아르바이트	2021-09-18 08:57:00
68	역	2021-09-19 11:29:00
69	스태프	2021-09-23 08:48:00
70	꿀알바	2021-09-26 13:16:00
71	알바	2021-09-27 03:11:00
72	정규직	2021-09-28 07:37:00
73	모집	2021-09-28 20:27:00
74	정규직	2021-09-28 21:39:00
75	던킨	2021-10-01 01:07:00
76	버거킹	2021-10-01 01:19:00
77	나이키	2021-10-01 02:40:00
78	cgv	2021-10-01 03:08:00
79	카페	2021-10-01 07:51:00
80	영화관	2021-10-01 09:01:00
81	버거	2021-10-02 05:21:00
82	치킨집	2021-10-03 01:39:00
83	주말알바	2021-10-06 22:16:00
84	놀이공원	2021-10-09 21:12:00
85	대형마트	2021-10-09 21:30:00
86	마트	2021-10-09 23:13:00
87	매장	2021-10-10 02:01:00
88	배달	2021-10-10 03:06:00
89	주말	2021-10-12 16:03:00
90	풀무원	2021-10-13 09:14:00
91	단순업무	2021-10-18 21:58:00
92	롯데월드	2021-10-22 08:07:00
93	평일	2021-10-24 03:24:00
94	브랜드	2021-10-25 02:35:00
95	단순	2021-10-26 07:39:00
96	급구	2021-10-26 08:59:00
97	치킨	2021-10-27 01:22:00
98	급	2021-10-28 11:17:00
99	주말	2021-10-28 11:43:00
100	피자	2021-10-29 09:26:00
