r_no	c_no	title	period	week	time	standard	salary	date	d_no	e_no	benefit	deadline	hits
1	26	평일 미들파트(16-20시) 모집	1일	화, 목	12:00~17:40	시급	9000	2021-07-01	1	2	15,26	2021-07-11	35
2	97	주방보조 구함	6개월	월, 금, 토	시간협의	시급	10100	2021-07-02	8	1	2,3	2021-07-04	109
3	21	크라우드pc방 직원 모집	4일	요일협의	07:00~14:00	일급	100000	2021-07-04	16	1	7,9,20	2021-07-17	71
4	45	장기알바채용	2주	월, 수, 금	01:20~20:20	월급	2800000	2021-07-04	13	5	6,16	2021-07-14	71
5	95	투썸 평일 오전, 평일 오후, 근무자 구합니다.	2개월	요일협의	11:40~23:00	시급	9000	2021-07-05	4	1	3,17	2021-07-11	14
6	53	짧은 교욱/ 신입 가능	3개월	월, 수, 금	16:30~23:30	주급	560000	2021-07-09	15	3	3,13	2021-07-19	73
7	40	직원 모집(경력자)	4주	요일협의	08:00~23:00	시급	9000	2021-07-10	13	1	10,13	2021-07-20	16
8	110	약 조제실 직원구인	1년	월, 화	10:00~16:00	시급	8730	2021-07-11	11	4	9,19	2021-07-29	4
9	87	약국 조제실 직원구인	2개월	요일협의	03:50~09:50	시급	9100	2021-07-12	11	3	13,23	2021-07-22	66
10	111	함께할 직원 모집합니다.	6개월	월, 수, 금	06:00~21:00	연봉	25000000	2021-07-12	7	1	11,24	2021-07-15	14
11	49	정직원 모집	4주	월, 화	16:00~23:00	주급	780000	2021-07-13	15	5	15,17	2021-07-16	1
12	96	알바 구합니다.(3개월 이상 근무하실분)	3개월	월, 수, 금	10:40~22:20	월급	2200000	2021-07-14	6	3	16,26	2021-07-20	13
13	92	홀써빙 알바구합니다(오후5시~오후9시) / 시급 10,000원	1일	요일협의	10:40~22:20	시급	9500	2021-07-14	17	1	20,23	2021-07-24	80
14	14	보조 구함	6개월	화, 목	11:30~22:30	일급	98000	2021-07-16	11	3	18,26	2021-07-29	19
15	76	경력직 구합니다.	1일	월, 화, 수	시간협의	주급	600000	2021-07-16	10	5	3,24	2021-07-27	28
16	64	마감 PT 채용하비다.	1년	월, 수, 금	06:00~20:00	시급	8720	2021-07-16	12	1	8,23	2021-07-26	88
17	4	매가박스에서 직원을 채용합니다.	2개월	요일협의	10:30~16:30	연봉	70000000	2021-07-17	15	4	3,9	2021-07-29	98
18	65	직원 급구	2주	토, 일	06:10~21:10	연봉	30000000	2021-07-17	13	2	18,20	2021-08-11	18
19	23	애들랜드 서비스직 모집(야외 수영장)	5개월	요일협의	시간협의	시급	8980	2021-07-18	8	2	15,18	2021-07-28	113
20	98	약국 마케팅 및 보조업무 같이 하실 분 구함	10일	월	03:30~18:30	시급	9010	2021-07-18	11	4	2,7,12	2021-07-20	33
21	30	파더스가든에서 함께 근무할 스태프 모집합니다.	1년	목, 금	12:00~23:00	시급	9800	2021-07-19	13	4	12,13	2021-07-29	43
22	38	함께 할 인재를 구합니다.	2주	월, 화, 수, 목, 금	12:00~23:00	시급	8980	2021-07-19	12	2	17,23	2021-07-29	52
23	44	서점에서 함께 근무하실 분 찾습니다.(1~2명)	6개월	금	11:00~19:00	월급	3000000	2021-07-22	10	2	12,15	2021-07-24	30
24	58	카페 바리스타 채용	6개월	요일협의	08:00~17:00	시급	9100	2021-07-23	4	3	7,15	2021-08-04	23
25	12	남자직원 모집합니다.초보가능/부업/원하는 요일/분류작업X	6개월	월, 금, 토	시간협의	시급	12000	2021-07-24	17	3	8,22	2021-07-30	93
26	78	쿠우쿠우에서 근무할 스태프 모집합니다.	6개월	토, 일	시간협의	월급	1877330	2021-07-24	2	2	1,12	2021-07-30	11
27	37	직원을 모집합니다.	1년	토, 일	03:00~18:00	시급	12000	2021-07-25	6	5	2,8	2021-08-04	38
28	81	에스마트에서 일하실 분을 모십니다.	1일	화, 목	10:20~16:40	일급	150000	2021-07-26	8	4	5,7,9	2021-08-05	5
29	16	평일 주말 마감 구해요.	1년	토, 일	16:30~23:30	월급	2125270	2021-07-27	17	2	8,24	2021-08-06	97
30	35	야외 놀이 시설 관리 알바 모집합니다.	2일	요일협의	시간협의	일급	170000	2021-07-27	5	1	17,22	2021-08-01	1
31	88	아르바이트 모집	1개월	월, 화, 수, 목, 금, 토, 일	14:00~23:00	연봉	27000000	2021-07-28	11	2	8,20	2021-08-07	45
32	41	직원 채용합니다	5일	요일협의	05:20~17:20	시급	10000	2021-07-30	17	2	8,25	2021-08-11	31
33	103	홀서빙 알바 모집	4개월	요일협의	08:00~17:00	시급	10000	2021-07-30	14	4	17,24,25	2021-08-19	60
34	6	[버커킹] 즐겁게 일해보실 크루분을 구합니다.	7일	월, 화, 수	11:30~22:30	시급	9000	2021-08-01	3	5	13,20,28	2021-08-11	90
35	90	단기 근무자 모집합니다.	20일	요일협의	06:00~22:00	주급	550000	2021-08-01	12	5	2,9	2021-08-11	76
36	100	아르바이트 채용	1일	월, 화, 수	05:10~13:10	시급	8800	2021-08-02	17	2	2,24	2021-08-12	45
37	29	꽃집 매장관리 겸 사무업무 하실 분	4주	요일협의	10:40~22:20	월급	2500000	2021-08-03	12	5	6,9	2021-08-05	24
38	55	남녀초보 가능	1일	월, 목, 토	시간협의	시급	9000	2021-08-04	5	4	6,15	2021-08-14	14
39	3	주방, 배달 알바 급구	2개월	화, 목	시간협의	시급	10000	2021-08-05	9	5	7,11	2021-08-12	18
40	31	오늘손칼국수앤찜 최고급여로 직원 및 알바 급구	3개월	화, 토	12:00~18:20	시급	8980	2021-08-07	1	2	1,19	2021-08-17	94
41	107	보조업무 구합니다.	3주	토, 일	10:00~22:00	시급	10000	2021-08-07	11	3	23,24	2021-08-17	11
42	15	홀서빙, 주방보조	2개월	월, 수, 금	10:00~13:00	시급	8720	2021-08-09	9	3	3,4	2021-08-19	11
43	72	주말 마감 알바 구함	3개월	요일협의	12:00~17:40	시급	12000	2021-08-10	6	1	12,13	2021-08-20	35
44	11	에버랜드 채용	5개월	월, 화, 목, 금	09:00~22:30	일급	90000	2021-08-11	13	5	5,9	2021-08-17	39
45	19	아르바이트 모집	5개월	월, 화, 수, 목, 금, 토, 일	13:00~18:00	월급	3500000	2021-08-11	15	4	2,20	2021-08-21	106
46	5	알바구합니다.	2개월	금	07:00~21:10	월급	1500000	2021-08-12	5	3	13,25	2021-08-22	70
47	56	아르바이트 채용	4개월	화, 금	시간협의	시급	8720	2021-08-12	1	3	4,22	2021-08-18	19
48	24	온세면에서 합께하실 [토일 주방 아르바이트] 모집합니다.	4주	월, 화, 목, 금	08:00~17:00	시급	8800	2021-08-15	1	2	2,18	2021-08-25	31
49	52	직원 구인	6개월	월, 수, 금	시간협의	일급	150000	2021-08-15	15	5	2,8	2021-08-25	40
50	32	낭남쭈꾸미에서~홀서빙~급구합니다.	6개월	월, 화, 목, 금	14:20~22:20	주급	700000	2021-08-16	1	1	1,2	2021-08-17	71
51	67	직원 모집	5개월	요일협의	11:00~22:00	일급	90700	2021-08-16	12	5	9,15,17	2021-08-19	112
52	10	홀서빙 아르바이트 구함	2개월	일	07:00~15:00	시급	8720	2021-08-17	2	4	5,23	2021-08-27	92
53	25	서비스 일일 아르바이트	20일	금, 토	07:50~21:00	시급	10000	2021-08-17	1	2	12,20	2021-08-27	86
54	54	평일 아르바이트 모집합니다.	2개월	요일협의	10:00~22:00	연봉	30000000	2021-08-17	7	5	8,9	2021-08-27	56
55	104	벨라디저트카페 마감 아르바이트를 모집합니다.	3개월	월, 화, 수, 목, 금, 토, 일	02:10~13:10	월급	2120000	2021-08-19	4	3	8,20	2021-08-29	110
56	86	계약직 모집합니다.	2주	월, 수, 금	11:30~22:30	시급	9800	2021-08-19	14	3	8,9,23	2021-08-29	63
57	20	리조트/메이드/청소직원 구합니다.	25일	화	12:00~22:00	시급	8750	2021-08-19	14	2	3,11	2021-08-30	64
58	94	평일 파트타이머 1명 구합니다(15~18시)	5개월	화, 일	09:10~13:10	주급	600000	2021-08-20	1	3	7,11	2021-09-01	94
59	17	갤러리아 백화점 알바 모집합니다.	3년	일	시간협의	시급	8950	2021-08-23	7	5	24,27	2021-09-02	2
60	69	같이 일하실 분 연락주세요	4주	화, 목	시간협의	시급	8750	2021-08-26	1	2	22,27	2021-09-20	27
61	105	정글팡팡 직원 모집	6개월	월, 수, 금	03:30~18:30	일급	130000	2021-08-26	13	5	17,20	2021-09-05	7
