No	X	Y	Type
1	1	1	3
2	1	2	1
3	1	3	0
4	1	4	1
5	1	5	1
6	1	6	1
7	1	7	1
8	1	8	1
9	1	9	1
10	1	10	1
11	1	11	1
12	1	12	1
13	1	13	0
14	1	14	0
15	1	15	2
16	2	1	2
17	2	2	1
18	2	3	3
19	2	4	1
20	2	5	2
21	2	6	0
22	2	7	2
23	2	8	1
24	2	9	2
25	2	10	0
26	2	11	3
27	2	12	1
28	2	13	1
29	2	14	1
30	2	15	1
31	3	1	4
32	3	2	1
33	3	3	0
34	3	4	1
35	3	5	1
36	3	6	1
37	3	7	3
38	3	8	1
39	3	9	0
40	3	10	0
41	3	11	2
42	3	12	1
43	3	13	2
44	3	14	0
45	3	15	4
46	4	1	0
47	4	2	1
48	4	3	2
49	4	4	0
50	4	5	2
51	4	6	0
52	4	7	2
53	4	8	1
54	4	9	1
55	4	10	1
56	4	11	1
57	4	12	1
58	4	13	1
59	4	14	1
60	4	15	1
61	5	1	2
62	5	2	1
63	5	3	1
64	5	4	1
65	5	5	1
66	5	6	1
67	5	7	1
68	5	8	1
69	5	9	2
70	5	10	0
71	5	11	0
72	5	12	2
73	5	13	0
74	5	14	1
75	5	15	0
76	6	1	0
77	6	2	0
78	6	3	2
79	6	4	1
80	6	5	4
81	6	6	2
82	6	7	2
83	6	8	1
84	6	9	1
85	6	10	2
86	6	11	4
87	6	12	1
88	6	13	1
89	6	14	1
90	6	15	0
91	7	1	1
92	7	2	1
93	7	3	1
94	7	4	1
95	7	5	0
96	7	6	1
97	7	7	0
98	7	8	3
99	7	9	1
100	7	10	1
101	7	11	2
102	7	12	0
103	7	13	0
104	7	14	1
105	7	15	2
106	8	1	0
107	8	2	2
108	8	3	0
109	8	4	1
110	8	5	2
111	8	6	1
112	8	7	0
113	8	8	2
114	8	9	0
115	8	10	1
116	8	11	1
117	8	12	3
118	8	13	0
119	8	14	1
120	8	15	0
121	9	1	0
122	9	2	1
123	9	3	0
124	9	4	1
125	9	5	0
126	9	6	1
127	9	7	1
128	9	8	1
129	9	9	2
130	9	10	0
131	9	11	1
132	9	12	1
133	9	13	0
134	9	14	1
135	9	15	0
136	10	1	2
137	10	2	1
138	10	3	2
139	10	4	1
140	10	5	0
141	10	6	1
142	10	7	3
143	10	8	1
144	10	9	1
145	10	10	0
146	10	11	2
147	10	12	1
148	10	13	2
149	10	14	1
150	10	15	2
151	11	1	2
152	11	2	1
153	11	3	1
154	11	4	1
155	11	5	1
156	11	6	1
157	11	7	2
158	11	8	0
159	11	9	1
160	11	10	1
161	11	11	1
162	11	12	1
163	11	13	0
164	11	14	1
165	11	15	0
166	12	1	0
167	12	2	0
168	12	3	1
169	12	4	2
170	12	5	0
171	12	6	0
172	12	7	4
173	12	8	0
174	12	9	1
175	12	10	0
176	12	11	2
177	12	12	1
178	12	13	1
179	12	14	1
180	12	15	0
181	13	1	2
182	13	2	1
183	13	3	1
184	13	4	1
185	13	5	1
186	13	6	1
187	13	7	1
188	13	8	1
189	13	9	1
190	13	10	2
191	13	11	0
192	13	12	0
193	13	13	3
194	13	14	1
195	13	15	4
196	14	1	1
197	14	2	1
198	14	3	0
199	14	4	0
200	14	5	2
201	14	6	0
202	14	7	1
203	14	8	0
204	14	9	1
205	14	10	1
206	14	11	1
207	14	12	1
208	14	13	1
209	14	14	1
210	14	15	0
211	15	1	0
212	15	2	0
213	15	3	4
214	15	4	1
215	15	5	1
216	15	6	1
217	15	7	1
218	15	8	2
219	15	9	0
220	15	10	0
221	15	11	0
222	15	12	2
223	15	13	0
224	15	14	1
225	15	15	2
