NO	OPTIONS	PRICE	RECEIPT_DETAIL
1	2	3900	1
2	9	1600	2
3	11	16000	3
4	25	2000	6
5	67	0	10
6	71	1200	10
7	84	1200	11
8	85	0	11
9	29	4500	13
10	31	0	13
11	37	1500	16
12	38	0	16
13	77	0	18
14	80	1200	18
15	84	1200	19
16	85	0	19
17	113	3900	20
18	91	0	21
19	95	0	22
20	96	0	22
21	101	0	23
22	103	0	24
23	106	0	25
24	108	0	26
25	111	0	27
26	29	4500	32
27	31	0	32
28	33	1000	34
29	75	0	36
30	80	1200	36
31	69	0	37
32	72	1200	37
33	84	1200	38
34	85	0	38
35	13	1000	44
36	22	2500	45
37	13	1000	51
38	16	2000	53
39	18	0	53
40	164	8000	64
41	169	3500	65
42	173	25000	66
43	176	0	66
44	148	6900	67
45	159	1000	73
46	162	0	75
47	2	3900	80
48	3	5900	83
49	9	1600	84
50	5	0	98
51	6	0	99
52	9	1600	100
53	23	0	102
54	29	4500	103
55	30	0	103
56	43	0	107
57	44	0	107
58	48	650	107
59	26	0	109
60	30	0	109
61	33	1000	110
62	32	0	112
63	36	1500	114
64	38	0	114
65	55	0	115
66	56	0	115
67	61	800	115
68	83	700	116
69	85	0	116
70	69	0	117
71	71	1200	117
72	77	0	118
73	81	1200	118
74	42	0	119
75	44	0	119
76	50	1500	119
77	36	1500	120
78	38	0	120
79	33	1000	121
80	90	26500	124
81	87	0	125
82	94	26500	126
83	99	0	126
84	93	0	127
85	103	0	128
86	100	42700	129
87	91	0	130
88	92	26500	131
89	94	26500	132
90	96	0	132
91	94	26500	133
92	99	0	133
93	102	42700	134
94	89	0	135
95	86	26500	136
96	89	0	137
97	100	42700	138
98	89	0	139
99	95	0	140
100	99	0	140
101	92	26500	141
102	90	26500	142
103	95	0	143
104	99	0	143
105	5	0	144
106	11	16000	145
107	7	0	146
108	6	0	151
109	3	5900	153
110	3	5900	160
111	11	16000	161
112	3	5900	166
113	8	900	174
114	11	16000	181
115	9	1600	188
116	27	1500	203
117	30	0	203
118	43	0	206
119	45	0	206
120	49	1500	206
121	35	1500	207
122	38	0	207
123	55	0	208
124	56	0	208
125	63	1200	208
126	24	1000	212
127	29	4500	213
128	30	0	213
129	33	1000	218
130	42	0	222
131	45	0	222
132	47	1500	222
133	36	1500	223
134	38	0	223
135	67	0	224
136	72	1200	224
137	77	0	225
138	81	1200	225
139	25	2000	227
140	25	2000	228
141	33	1000	232
142	28	2500	235
143	30	0	235
144	37	1500	238
145	38	0	238
146	69	0	240
147	72	1200	240
148	33	1000	243
149	43	0	244
150	44	0	244
151	49	1500	244
152	28	2500	245
153	30	0	245
154	43	0	249
155	44	0	249
156	49	1500	249
157	36	1500	250
158	38	0	250
159	25	2000	251
160	69	0	255
161	72	1200	255
162	43	0	257
163	44	0	257
164	49	1500	257
165	55	0	258
166	56	0	258
167	62	1200	258
168	84	1200	259
169	85	0	259
170	24	1000	261
171	29	4500	263
172	30	0	263
173	33	1000	266
174	42	0	268
175	45	0	268
176	48	650	268
177	34	1500	269
178	38	0	269
179	69	0	270
180	72	1200	270
181	25	2000	271
182	29	4500	273
183	30	0	273
184	33	1000	276
185	26	0	277
186	30	0	277
187	42	0	281
188	44	0	281
189	49	1500	281
190	36	1500	282
191	38	0	282
192	69	0	283
193	72	1200	283
194	55	0	284
195	56	0	284
196	62	1200	284
197	33	1000	288
198	41	0	290
199	44	0	290
200	49	1500	290
201	78	0	291
202	81	1200	291
203	90	26500	292
204	92	26500	293
205	89	0	294
206	86	26500	295
207	89	0	296
208	95	0	297
209	98	0	297
210	103	0	298
211	103	0	299
212	100	42700	300
213	103	0	301
214	95	0	302
215	98	0	302
216	86	26500	303
217	90	26500	304
218	92	26500	305
219	103	0	306
220	88	26500	307
221	87	0	308
222	101	0	309
223	91	0	310
224	95	0	311
225	97	0	311
226	106	0	312
227	104	0	313
228	108	0	314
229	106	0	315
230	110	0	316
231	107	24000	317
232	109	18000	318
233	107	24000	320
234	109	18000	321
235	111	0	322
236	105	24000	323
237	111	0	324
238	104	0	325
239	108	0	326
240	105	24000	328
241	109	18000	329
242	107	24000	331
243	111	0	332
244	105	24000	334
245	108	0	335
246	105	24000	337
247	107	24000	338
248	111	0	339
249	106	0	340
250	111	0	341
251	109	18000	342
252	22	2500	356
253	13	1000	360
254	15	1000	361
255	18	0	361
256	22	2500	366
257	16	2000	367
258	18	0	367
259	13	1000	370
260	13	1000	371
261	22	2500	372
262	13	1000	376
263	22	2500	377
264	16	2000	384
265	18	0	384
266	13	1000	389
267	21	1000	391
268	16	2000	392
269	17	0	392
270	2	3900	393
271	13	1000	399
272	15	1000	401
273	18	0	401
274	112	2900	409
275	113	3900	410
276	112	2900	411
277	112	2900	412
278	112	2900	413
279	113	3900	414
280	113	3900	415
281	113	3900	416
282	116	0	417
283	117	1000	417
284	113	3900	418
285	114	0	419
286	117	1000	419
287	116	0	420
288	117	1000	420
289	116	0	421
290	118	0	421
291	115	0	422
292	122	0	422
293	116	0	423
294	117	1000	423
295	124	0	583
296	126	0	583
297	130	0	583
298	132	600	584
299	134	0	584
300	143	0	585
301	133	0	597
302	136	0	597
303	133	0	598
304	135	0	598
305	138	200	599
306	140	0	599
307	133	0	600
308	135	0	600
309	143	0	601
310	143	0	602
311	143	0	603
312	145	0	610
313	145	0	611
314	144	0	612
315	145	0	626
316	132	600	630
317	135	0	630
318	133	0	631
319	135	0	631
320	133	0	632
321	135	0	632
322	139	0	633
323	141	0	633
324	139	0	634
325	141	0	634
326	139	0	635
327	140	0	635
328	139	0	636
329	140	0	636
330	139	0	637
331	140	0	637
332	147	8900	775
333	148	6900	788
334	148	6900	793
335	157	0	809
336	149	0	810
337	149	0	811
338	152	0	812
339	157	0	817
340	153	0	822
341	157	0	827
342	153	0	829
343	149	0	830
344	149	0	833
345	157	0	839
346	153	0	840
347	160	1000	848
348	162	0	850
349	160	1000	852
350	162	0	854
351	160	1000	856
352	160	1000	864
353	162	0	866
354	165	0	868
355	167	3500	872
356	173	25000	873
357	176	0	873
358	172	0	875
359	175	0	875
360	171	3500	876
361	171	3500	880
362	180	0	882
363	173	25000	884
364	176	0	884
365	180	0	885
366	167	3500	891
367	171	3500	892
368	167	3500	894
369	173	25000	895
370	174	0	895
371	168	4500	901
372	173	25000	906
373	175	0	906
374	164	8000	909
375	167	3500	911
376	192	2000	914
377	201	2000	915
378	207	500	915
379	211	0	916
380	221	2000	917
381	189	1500	919
382	203	2000	920
383	207	500	920
384	223	2000	921
385	193	2000	924
386	183	2000	925
387	224	0	926
388	189	1500	929
389	184	2000	930
390	224	0	931
391	220	0	932
392	202	1500	936
393	206	500	936
394	212	0	937
395	220	0	938
396	224	0	939
397	188	2000	943
398	213	0	944
399	222	0	945
400	188	2000	949
401	194	1500	950
402	223	2000	951
403	193	2000	955
404	221	2000	956
405	213	0	957
406	188	2000	960
407	213	0	961
408	184	2000	965
409	193	2000	966
410	214	0	967
411	199	2000	968
412	207	500	968
413	224	0	969
414	221	2000	970
415	226	1000	972
416	236	0	972
417	237	1000	972
418	227	1000	980
419	229	1000	980
420	241	1000	980
421	188	2000	985
422	194	1500	986
423	214	0	987
424	221	2000	988
425	226	1000	993
426	228	1000	993
427	241	1000	993
428	227	1000	1004
429	229	1000	1004
430	241	1000	1004
431	227	1000	1008
432	229	1000	1008
433	241	1000	1008
434	226	1000	1013
435	228	1000	1013
436	240	2000	1013
437	247	500	1018
438	250	500	1019
439	248	750	1022
440	248	750	1025
441	249	0	1027
442	249	0	1029
443	254	750	1031
444	251	750	1033
445	247	500	1035
446	249	0	1039
447	254	750	1040
448	248	750	1043
449	247	500	1046
450	251	750	1047
451	250	500	1049
452	253	500	1052
453	248	750	1056
454	255	0	1059
455	259	1000	1060
456	255	0	1063
457	263	5000	1064
458	260	5000	1065
459	255	0	1069
460	259	1000	1070
461	259	1000	1072
462	262	3000	1073
463	256	0	1076
464	256	0	1081
465	263	5000	1082
466	260	5000	1087
467	256	0	1092
468	260	5000	1093
469	256	0	1097
470	263	5000	1098
471	257	0	1099
472	263	5000	1104
473	268	0	1108
474	272	0	1109
475	277	1500	1110
476	280	0	1111
477	268	0	1113
478	278	1500	1114
479	269	0	1119
480	278	1500	1120
481	272	0	1125
482	280	0	1128
483	274	0	1131
484	278	1500	1132
485	279	0	1133
486	273	0	1137
487	278	1500	1138
488	268	0	1143
489	280	0	1146
490	274	0	1150
491	278	1500	1151
492	280	0	1153
493	268	0	1156
494	278	1500	1157
495	280	0	1158
496	274	0	1161
497	278	1500	1162
498	280	0	1163
499	282	800	1229
500	285	100	1229
501	289	0	1232
502	282	800	1233
503	285	100	1233
504	282	800	1235
505	285	100	1235
506	290	0	1236
507	282	800	1240
508	285	100	1240
509	282	800	1251
510	284	0	1251
511	282	800	1252
512	285	100	1252
513	292	1000	1254
514	282	800	1259
515	285	100	1259
