no	rider	receipt	start_time
1	1	2	2021-08-02 12:46:31
2	2	3	2021-08-02 16:03:57
3	3	6	2021-08-03 00:06:38
4	3	7	2021-08-03 13:51:49
5	2	8	2021-08-03 12:39:57
6	1	9	2021-08-03 14:04:53
7	1	10	2021-08-03 14:16:52
8	2	20	2021-08-05 11:19:34
9	1	21	2021-08-05 14:13:27
10	2	22	2021-08-05 13:38:06
11	3	23	2021-08-05 14:48:47
12	2	24	2021-08-05 15:02:36
13	1	25	2021-08-05 14:35:05
14	1	36	2021-08-06 18:57:38
15	1	37	2021-08-06 19:03:55
16	1	38	2021-08-06 21:02:58
17	3	39	2021-08-07 13:27:29
18	2	40	2021-08-07 14:18:59
19	2	66	2021-08-10 16:37:20
20	4	68	2021-08-10 18:44:12
21	1	75	2021-08-11 14:06:22
22	1	77	2021-08-11 16:34:45
23	4	78	2021-08-11 19:03:09
24	1	79	2021-08-11 21:13:02
25	4	80	2021-08-11 22:06:34
26	1	91	2021-08-13 14:54:42
27	1	108	2021-08-15 15:46:39
28	6	112	2021-08-16 19:09:52
29	4	113	2021-08-16 19:22:59
30	1	115	2021-08-16 20:30:45
31	4	116	2021-08-16 23:15:29
32	1	117	2021-08-17 15:09:21
33	1	118	2021-08-17 17:20:14
34	4	119	2021-08-17 19:44:21
35	2	121	2021-08-17 21:32:29
36	1	131	2021-08-18 21:01:54
37	3	133	2021-08-19 12:36:54
38	2	135	2021-08-19 13:39:24
39	2	136	2021-08-19 13:29:10
40	2	137	2021-08-19 14:48:52
41	1	138	2021-08-19 17:00:31
42	2	139	2021-08-19 19:25:19
43	2	140	2021-08-19 19:28:18
44	1	141	2021-08-20 15:15:34
45	2	142	2021-08-20 15:15:34
46	1	143	2021-08-20 17:50:42
47	2	152	2021-08-21 23:05:58
48	2	153	2021-08-22 00:04:21
49	3	154	2021-08-22 14:25:05
50	2	155	2021-08-22 14:45:18
51	3	156	2021-08-22 17:43:16
52	3	159	2021-08-22 23:55:06
53	2	160	2021-08-23 12:23:29
54	2	161	2021-08-23 20:58:51
55	2	162	2021-08-23 22:43:04
56	2	163	2021-08-23 23:21:11
57	3	164	2021-08-23 21:17:05
58	1	165	2021-08-23 23:51:47
59	2	166	2021-08-23 22:07:13
60	2	167	2021-08-24 00:47:30
61	2	168	2021-08-24 13:07:57
62	4	170	2021-08-24 19:23:14
63	4	171	2021-08-24 21:14:48
64	2	174	2021-08-25 12:34:17
65	6	186	2021-08-27 14:10:04
66	1	188	2021-08-27 16:44:25
67	1	190	2021-08-27 23:35:11
68	1	191	2021-08-28 13:54:59
69	4	192	2021-08-28 13:37:42
70	3	193	2021-08-28 19:39:14
71	1	194	2021-08-28 22:12:58
72	4	195	2021-08-29 12:13:00
73	1	196	2021-08-29 11:49:02
74	6	198	2021-08-29 15:34:38
75	3	199	2021-08-29 18:39:45
76	1	200	2021-08-29 17:43:51
77	5	203	2021-08-30 16:35:32
78	4	204	2021-08-30 20:58:36
79	1	205	2021-08-30 22:56:29
80	3	206	2021-08-30 21:59:30
81	1	207	2021-09-01 11:26:35
82	1	208	2021-09-01 12:57:54
83	6	209	2021-09-01 17:50:33
84	4	210	2021-09-01 21:00:06
85	5	213	2021-09-02 17:51:52
86	1	214	2021-09-02 18:18:00
87	3	215	2021-09-02 18:50:04
88	1	216	2021-09-02 17:02:58
89	3	217	2021-09-02 23:44:41
90	1	218	2021-09-03 18:03:24
91	5	219	2021-09-03 16:34:26
92	2	220	2021-09-03 17:21:51
93	1	222	2021-09-03 17:58:48
94	5	223	2021-09-04 13:35:43
95	1	224	2021-09-04 22:28:05
96	1	225	2021-09-04 22:02:45
97	2	232	2021-09-05 18:36:08
98	1	233	2021-09-05 18:31:30
99	1	234	2021-09-06 12:55:34
100	3	235	2021-09-06 15:57:07
101	1	236	2021-09-06 15:00:10
102	1	237	2021-09-06 18:57:23
103	1	238	2021-09-06 19:00:10
104	2	264	2021-09-10 18:22:29
105	3	267	2021-09-10 22:32:56
106	1	271	2021-09-11 17:33:07
107	1	274	2021-09-11 21:56:53
108	4	297	2021-09-15 15:16:07
109	4	298	2021-09-15 16:49:36
110	1	300	2021-09-15 20:24:39
111	2	306	2021-09-17 00:26:41
112	1	311	2021-09-17 15:30:52
113	3	312	2021-09-17 21:03:53
114	1	315	2021-09-18 01:17:00
115	2	321	2021-09-19 13:51:31
116	2	326	2021-09-19 23:13:37
