No	Price	Receipt_Time	Seller	User	Payment	Status
1	97700	2021-08-01 17:16:03	1	8	10	0
2	71700	2021-08-02 11:57:02	3	8	10	3
3	76000	2021-08-02 13:43:57	3	3	4	3
4	28400	2021-08-02 15:50:41	6	6	8	0
5	19600	2021-08-02 16:02:32	4	7	9	0
6	53900	2021-08-02 21:15:53	5	8	10	3
7	70800	2021-08-03 11:51:41	9	6	8	3
8	82000	2021-08-03 11:58:37	3	3	4	3
9	114300	2021-08-03 12:17:20	2	3	4	3
10	12800	2021-08-03 13:52:14	9	7	9	3
11	100100	2021-08-03 14:52:47	2	3	4	0
12	35780	2021-08-03 17:44:20	10	8	10	0
13	42780	2021-08-03 19:49:51	10	8	10	0
14	139800	2021-08-03 21:06:17	16	3	4	0
15	82500	2021-08-04 11:59:41	13	6	8	0
16	189700	2021-08-04 12:26:38	15	3	4	0
17	80700	2021-08-04 15:01:40	8	5	6	0
18	47300	2021-08-04 21:06:40	1	8	10	0
19	91200	2021-08-04 21:48:19	1	7	9	0
20	36500	2021-08-05 10:18:01	1	7	9	3
21	137000	2021-08-05 11:18:35	1	3	4	3
22	157700	2021-08-05 11:29:02	1	3	4	3
23	49000	2021-08-05 12:52:15	1	7	9	3
24	335900	2021-08-05 13:11:45	1	3	4	3
25	46000	2021-08-05 13:29:56	1	6	8	3
26	76300	2021-08-05 14:11:01	3	1	1	0
27	70450	2021-08-05 14:45:49	3	8	10	0
28	57000	2021-08-05 18:37:20	3	8	10	0
29	53800	2021-08-05 20:31:50	3	6	8	0
30	132300	2021-08-05 21:48:26	4	8	10	0
31	140000	2021-08-06 10:24:25	4	8	10	0
32	84100	2021-08-06 11:08:14	4	7	9	0
33	57000	2021-08-06 11:47:12	4	5	6	0
34	65700	2021-08-06 14:33:23	4	6	8	0
35	28500	2021-08-06 16:31:02	1	6	8	0
36	153000	2021-08-06 18:25:59	1	8	10	3
37	197900	2021-08-06 18:56:13	1	1	1	3
38	407000	2021-08-06 20:43:01	1	6	8	3
39	95600	2021-08-07 11:20:43	1	1	1	2
40	7300	2021-08-07 13:05:47	1	8	10	2
41	64100	2021-08-07 17:05:26	1	8	10	0
42	14800	2021-08-07 17:56:58	1	8	10	0
43	8900	2021-08-08 12:27:58	1	5	6	0
44	71700	2021-08-08 12:42:01	1	8	10	0
45	137200	2021-08-08 13:11:06	1	6	8	0
46	124600	2021-08-08 14:14:59	1	3	4	0
47	122400	2021-08-08 14:20:08	1	7	9	0
48	176300	2021-08-08 14:36:07	1	8	10	0
49	132100	2021-08-08 15:37:18	1	1	1	0
50	13400	2021-08-08 15:41:23	1	8	10	0
51	11400	2021-08-08 16:02:17	1	3	4	0
52	22800	2021-08-08 16:28:24	1	7	9	0
53	61000	2021-08-08 20:53:22	3	7	9	0
54	131500	2021-08-09 10:03:20	3	1	1	0
55	16800	2021-08-09 10:09:23	3	5	6	0
56	16700	2021-08-09 10:23:34	3	3	4	0
57	22600	2021-08-09 10:43:52	3	5	6	0
58	31000	2021-08-09 12:22:00	3	8	10	0
59	54000	2021-08-09 13:18:42	3	8	10	0
60	37200	2021-08-09 13:20:28	3	8	10	0
61	58300	2021-08-09 15:28:07	3	6	8	0
62	36700	2021-08-10 11:29:07	3	7	9	0
63	47300	2021-08-10 13:08:44	3	7	9	0
64	63750	2021-08-10 13:20:07	3	3	4	0
65	34000	2021-08-10 13:26:04	3	8	10	0
66	31600	2021-08-10 14:06:39	3	1	1	3
67	51300	2021-08-10 14:20:10	3	7	9	0
68	61700	2021-08-10 16:02:23	3	1	1	2
69	60300	2021-08-10 16:17:48	4	7	9	0
70	33800	2021-08-10 17:25:43	4	5	6	0
71	12000	2021-08-10 18:33:00	4	5	6	0
72	90600	2021-08-10 20:28:00	4	8	10	0
73	74400	2021-08-11 11:01:53	4	6	8	0
74	56600	2021-08-11 11:09:11	4	6	8	1
75	7300	2021-08-11 11:59:35	4	7	9	3
76	49900	2021-08-11 12:11:27	5	8	10	1
77	73900	2021-08-11 14:38:21	5	8	10	3
78	48900	2021-08-11 16:03:38	5	1	1	3
79	97900	2021-08-11 19:48:18	5	3	4	3
80	90900	2021-08-11 20:08:41	5	7	9	3
81	54900	2021-08-11 22:56:44	5	1	1	0
82	47900	2021-08-12 10:23:34	5	7	9	0
83	89900	2021-08-12 10:46:07	5	6	8	0
84	58900	2021-08-12 11:20:11	5	7	9	0
85	71900	2021-08-12 12:50:35	5	6	8	0
86	107900	2021-08-12 14:44:29	5	7	9	0
87	84900	2021-08-12 17:29:00	5	5	6	0
88	41700	2021-08-12 18:17:12	2	8	10	0
89	37800	2021-08-12 21:39:52	2	1	1	0
90	8800	2021-08-12 21:44:05	2	8	10	0
91	13790	2021-08-13 14:04:59	2	8	10	3
92	51690	2021-08-13 17:01:10	2	7	9	0
93	21100	2021-08-13 17:02:50	2	1	1	0
94	62100	2021-08-13 17:20:45	2	1	1	0
95	50600	2021-08-13 17:55:13	2	6	8	0
96	50600	2021-08-13 18:01:03	2	5	6	0
97	58990	2021-08-13 22:52:55	2	1	1	0
98	62400	2021-08-14 10:25:11	2	6	8	0
99	12800	2021-08-14 10:59:18	1	6	8	0
100	61890	2021-08-14 12:01:05	2	8	10	0
101	4900	2021-08-14 12:56:15	2	7	9	0
102	4900	2021-08-14 14:10:33	2	1	1	0
103	4900	2021-08-14 15:30:01	2	3	4	0
104	4900	2021-08-14 16:44:56	2	6	8	0
105	4900	2021-08-14 22:48:22	2	7	9	0
106	4900	2021-08-15 10:43:16	2	8	10	0
107	4900	2021-08-15 12:30:44	2	7	9	1
108	15400	2021-08-15 12:57:36	6	7	9	3
109	16400	2021-08-16 12:04:54	6	3	4	0
110	15400	2021-08-16 14:40:03	6	8	10	0
111	15400	2021-08-16 17:35:28	6	5	6	0
112	15400	2021-08-16 17:48:22	6	8	10	3
113	16400	2021-08-16 18:17:19	6	8	10	3
114	16400	2021-08-16 18:50:04	6	6	8	1
115	16400	2021-08-16 19:48:47	6	7	9	3
116	13900	2021-08-16 21:52:14	7	7	9	3
117	16400	2021-08-17 14:13:20	6	1	1	3
118	13900	2021-08-17 15:09:40	7	7	9	3
119	13900	2021-08-17 17:47:25	7	6	8	3
120	12900	2021-08-17 19:26:35	7	5	6	1
121	12900	2021-08-17 20:43:55	7	5	6	3
122	13900	2021-08-17 21:29:55	7	5	6	0
123	50900	2021-08-18 10:25:51	8	1	1	0
124	15900	2021-08-18 11:05:29	8	8	10	0
125	15900	2021-08-18 11:34:40	8	8	10	0
126	24000	2021-08-18 12:21:30	8	6	8	0
127	26900	2021-08-18 12:36:25	8	7	9	0
128	27900	2021-08-18 13:56:53	8	1	1	1
129	26900	2021-08-18 15:03:00	8	5	6	0
130	26900	2021-08-18 16:37:42	8	5	6	0
131	24000	2021-08-18 19:32:08	8	8	10	3
132	24000	2021-08-18 21:37:14	8	7	9	0
133	26900	2021-08-19 10:20:46	8	5	6	3
134	26900	2021-08-19 11:32:23	8	7	9	0
135	26900	2021-08-19 11:38:25	8	6	8	3
136	26900	2021-08-19 12:32:03	8	7	9	3
137	26900	2021-08-19 13:58:15	8	1	1	3
138	36000	2021-08-19 16:04:50	8	5	6	3
139	14900	2021-08-19 17:30:31	8	6	8	3
140	26900	2021-08-19 19:01:01	8	5	6	3
141	30800	2021-08-20 12:47:36	8	6	8	3
142	27900	2021-08-20 14:46:27	8	7	9	3
143	9400	2021-08-20 16:07:02	9	6	8	3
144	9400	2021-08-20 16:18:45	9	8	10	0
145	9400	2021-08-20 19:54:56	9	8	10	0
146	27800	2021-08-20 21:57:47	9	3	4	0
147	27800	2021-08-21 12:12:42	9	7	9	0
148	21300	2021-08-21 13:04:38	9	7	9	0
149	21300	2021-08-21 17:18:59	9	7	9	0
150	24400	2021-08-21 18:24:23	9	3	4	0
151	21300	2021-08-21 21:52:25	9	3	4	0
152	6300	2021-08-21 21:57:50	9	5	6	3
153	9700	2021-08-21 22:10:37	9	7	9	3
154	12800	2021-08-22 11:57:08	9	3	4	3
155	28490	2021-08-22 12:44:09	10	5	6	3
156	28770	2021-08-22 15:51:09	10	8	10	2
157	20190	2021-08-22 17:01:03	10	3	4	0
158	29490	2021-08-22 21:11:07	10	6	8	0
159	27080	2021-08-22 21:29:50	10	8	10	3
160	19390	2021-08-23 10:08:17	10	1	1	3
161	21380	2021-08-23 18:57:27	10	1	1	3
162	24680	2021-08-23 20:20:14	10	8	10	3
163	24880	2021-08-23 20:26:05	10	6	8	3
164	32880	2021-08-23 21:05:59	10	3	4	3
165	26690	2021-08-23 21:50:06	10	6	8	3
166	17690	2021-08-23 22:02:28	10	6	8	2
167	19390	2021-08-23 22:26:57	10	1	1	3
168	32980	2021-08-24 12:42:13	10	7	9	3
169	32800	2021-08-24 12:58:13	11	6	8	0
170	88600	2021-08-24 17:15:21	11	7	9	2
171	70400	2021-08-24 18:58:51	11	7	9	3
172	289000	2021-08-24 18:59:20	12	1	1	0
173	9200	2021-08-24 20:12:22	12	5	6	0
174	14800	2021-08-25 10:23:25	12	3	4	3
175	13100	2021-08-25 10:57:27	12	7	9	0
176	15200	2021-08-25 11:08:01	12	8	10	0
177	21400	2021-08-25 15:01:53	12	8	10	0
178	86000	2021-08-25 16:40:10	13	6	8	0
179	48250	2021-08-25 18:01:11	13	8	10	0
180	48200	2021-08-25 19:49:32	13	5	6	0
181	68900	2021-08-25 20:50:39	13	6	8	0
182	43000	2021-08-25 21:18:37	13	7	9	0
183	45200	2021-08-26 10:12:17	13	7	9	0
184	33150	2021-08-27 10:34:14	13	3	4	0
185	37150	2021-08-27 10:48:44	13	5	6	0
186	161600	2021-08-27 11:35:26	14	5	6	3
187	70900	2021-08-27 16:32:29	14	3	4	1
188	175300	2021-08-27 16:39:46	14	8	10	3
189	64700	2021-08-27 20:41:05	14	7	9	1
190	205300	2021-08-27 22:49:26	14	6	8	2
191	51800	2021-08-28 10:57:27	14	7	9	3
192	150700	2021-08-28 11:51:35	14	1	1	3
193	67700	2021-08-28 17:18:06	14	3	4	3
194	28800	2021-08-28 20:06:45	15	8	10	3
195	56600	2021-08-29 10:13:20	15	6	8	2
196	71500	2021-08-29 11:15:01	15	5	6	3
197	56600	2021-08-29 12:45:54	15	5	6	1
198	39700	2021-08-29 13:36:13	15	5	6	3
199	57600	2021-08-29 16:42:18	15	5	6	3
200	59500	2021-08-29 16:52:21	16	6	8	3
201	96100	2021-08-29 22:16:27	16	6	8	1
202	106000	2021-08-30 11:41:32	16	1	1	1
203	82000	2021-08-30 15:01:02	16	7	9	3
204	138700	2021-08-30 19:03:12	16	5	6	3
205	83400	2021-08-30 20:30:43	16	5	6	3
206	118600	2021-08-30 20:46:39	16	1	1	3
207	124900	2021-09-01 10:22:59	16	3	4	3
208	153600	2021-09-01 12:44:22	16	3	4	3
209	123100	2021-09-01 16:06:17	16	5	6	3
210	117900	2021-09-01 20:51:34	17	5	6	3
211	76300	2021-09-02 10:02:23	17	8	10	0
212	105300	2021-09-02 13:34:07	17	6	8	0
213	127700	2021-09-02 15:18:11	17	6	8	3
214	132200	2021-09-02 15:34:04	17	8	10	3
215	120300	2021-09-02 16:17:04	17	6	8	3
216	94800	2021-09-02 16:29:21	17	3	4	3
217	102400	2021-09-02 22:41:24	17	5	6	3
218	103400	2021-09-03 15:38:45	17	8	10	3
219	128800	2021-09-03 15:59:01	17	6	8	3
220	60300	2021-09-03 16:58:35	18	6	8	3
221	43200	2021-09-03 17:19:03	18	8	10	1
222	76100	2021-09-03 17:28:10	18	6	8	3
223	80900	2021-09-04 11:02:04	17	3	4	3
224	44100	2021-09-04 21:08:12	18	8	10	3
225	76200	2021-09-04 21:19:53	18	7	9	3
226	161100	2021-09-04 21:27:18	18	5	6	0
227	156300	2021-09-04 22:31:30	18	6	8	0
228	163200	2021-09-04 22:31:45	18	6	8	0
229	164200	2021-09-05 10:42:07	18	1	1	0
230	58000	2021-09-05 11:42:02	19	3	4	0
231	45150	2021-09-05 12:54:29	19	7	9	0
232	72550	2021-09-05 17:49:14	19	3	4	3
233	27500	2021-09-05 18:09:15	19	6	8	3
234	59900	2021-09-06 10:25:26	19	3	4	3
235	58400	2021-09-06 13:29:54	19	7	9	3
236	57750	2021-09-06 14:34:11	19	3	4	3
237	45150	2021-09-06 16:01:09	19	5	6	3
238	43250	2021-09-06 17:28:32	19	1	1	3
239	42900	2021-09-06 18:43:51	19	5	6	0
240	58400	2021-09-06 20:07:32	19	1	1	0
241	45150	2021-09-06 22:15:58	19	6	8	0
242	45800	2021-09-06 22:57:02	20	6	8	0
243	74700	2021-09-07 12:10:43	20	1	1	0
244	78500	2021-09-07 12:14:26	20	5	6	0
245	64800	2021-09-07 12:28:28	20	7	9	0
246	64800	2021-09-07 13:01:36	20	1	1	0
247	80400	2021-09-07 13:44:12	20	8	10	0
248	61700	2021-09-07 14:54:28	20	5	6	0
249	72700	2021-09-07 17:13:01	20	3	4	0
250	70500	2021-09-07 17:20:49	20	3	4	0
251	60200	2021-09-07 21:31:24	21	5	6	0
252	69100	2021-09-08 12:11:18	21	8	10	0
253	69100	2021-09-08 18:35:57	21	5	6	0
254	63500	2021-09-08 18:51:01	21	7	9	0
255	69000	2021-09-08 20:42:23	21	1	1	0
256	70000	2021-09-08 22:14:16	21	3	4	0
257	76100	2021-09-09 12:17:08	21	5	6	0
258	69600	2021-09-09 12:59:03	21	7	9	0
259	60800	2021-09-09 13:36:43	21	6	8	0
260	92000	2021-09-09 22:06:35	21	6	8	0
261	24500	2021-09-09 22:15:36	22	6	8	0
