NO	MENU	COUNT	PRICE	RECEIPT
1	2	1	6900	1
2	4	1	5300	1
3	6	1	45000	1
4	15	2	4500	1
5	17	2	4000	1
6	31	1	9800	2
7	32	1	5900	2
8	34	2	11900	2
9	41	2	2500	2
10	45	2	5500	2
11	47	1	6900	2
12	30	2	11900	3
13	33	1	900	3
14	34	1	11900	3
15	37	1	5400	3
16	42	1	5900	3
17	40	1	2400	3
18	46	1	5500	3
19	47	1	6900	3
20	60	2	12000	4
21	49	1	2900	5
22	52	2	2900	5
23	53	1	4700	5
24	54	1	4700	5
25	56	1	24000	6
26	57	1	18000	6
27	59	2	5000	6
28	68	1	3400	7
29	67	3	6500	7
30	69	3	15000	7
31	32	2	5900	8
32	33	2	900	8
33	36	2	11900	8
34	39	1	1900	8
35	38	2	5400	8
36	46	1	5500	8
37	45	1	5500	8
38	47	1	6900	8
39	20	2	3900	9
40	21	2	4900	9
41	23	2	32900	9
42	22	2	3900	9
43	25	2	3900	9
44	26	2	2900	9
45	29	2	2500	9
46	68	1	3400	10
47	67	1	6500	10
48	20	1	3900	11
49	23	2	32900	11
50	22	2	3900	11
51	26	2	2900	11
52	25	2	3900	11
53	28	2	2500	11
54	71	2	3500	12
55	75	2	3900	12
56	74	2	3590	12
57	79	2	3500	12
58	81	2	1900	12
59	70	2	5900	13
60	72	2	2900	13
61	75	2	3900	13
62	80	2	7190	13
63	131	1	11900	14
64	130	2	12900	14
65	136	2	14900	14
66	138	1	32900	14
67	104	2	13900	15
68	106	2	3000	15
69	108	2	8900	15
70	112	4	4900	15
71	125	2	14900	16
72	124	3	13900	16
73	126	4	16900	16
74	128	2	12900	16
75	129	2	11900	16
76	63	3	12000	17
77	64	3	12000	17
78	66	3	2900	17
79	1	2	6900	18
80	2	2	6900	18
81	3	2	6900	18
82	1	2	6900	19
83	2	6	6900	19
84	4	5	5300	19
85	1	5	6900	20
86	5	3	45000	21
87	7	3	45000	22
88	12	3	6900	22
89	15	3	4500	23
90	16	3	4500	23
91	14	4	5000	23
92	7	3	45000	24
93	8	3	45000	24
94	12	2	6900	24
95	11	2	6900	24
96	10	2	6900	24
97	15	5	4500	24
98	4	3	5300	25
99	4	2	5300	25
100	4	3	5300	25
101	30	3	11900	26
102	31	3	9800	26
103	33	2	900	26
104	34	2	11900	27
105	35	2	11900	27
106	41	2	2500	27
107	43	3	4100	27
108	32	2	5900	28
109	33	2	900	28
110	39	1	1900	28
111	38	1	5400	28
112	39	1	1900	28
113	37	1	5400	28
114	42	1	5900	28
115	44	3	4900	28
116	47	1	6900	29
117	45	1	5500	29
118	46	1	5500	29
119	43	2	4100	29
120	42	1	5900	29
121	39	1	1900	29
122	41	1	2500	29
123	37	1	5400	29
124	49	1	2900	30
125	51	1	2900	30
126	52	1	2900	30
127	50	1	2900	30
128	54	2	4700	30
129	53	3	4700	30
130	49	1	2900	31
131	50	1	2900	31
132	52	1	2900	31
133	52	1	2900	31
134	54	1	4700	31
135	48	1	2900	32
136	51	1	2900	32
137	48	1	2900	32
138	53	1	4700	32
139	48	4	2900	33
140	52	5	2900	33
141	50	1	2900	33
142	49	5	2900	34
143	52	8	2900	34
144	4	5	5300	35
145	6	3	45000	36
146	4	3	5300	37
147	5	4	45000	37
148	5	9	45000	38
149	10	9	6900	39
150	16	7	4500	39
151	4	1	5300	40
152	1	9	6900	41
153	2	1	6900	42
154	1	1	6900	43
155	12	1	6900	44
156	7	1	45000	44
157	3	1	6900	44
158	12	1	6900	44
159	17	1	4000	44
160	2	1	6900	45
161	6	1	45000	45
162	9	1	45000	45
163	11	1	6900	45
164	14	1	5000	45
165	16	1	4500	45
166	2	1	6900	46
167	5	1	45000	46
168	8	1	45000	46
169	10	1	6900	46
170	13	1	5900	46
171	15	1	4500	46
172	18	1	2500	46
173	1	1	6900	47
174	4	1	5300	47
175	5	1	45000	47
176	8	1	45000	47
177	10	1	6900	47
178	13	1	5900	47
179	15	1	4500	47
180	1	1	6900	48
181	6	1	45000	48
182	9	1	45000	48
183	8	1	45000	48
184	11	1	6900	48
185	14	1	5000	48
186	16	1	4500	48
187	1	1	6900	49
188	4	1	5300	49
189	5	1	45000	49
190	8	1	45000	49
191	10	1	6900	49
192	13	1	5900	49
193	15	3	4500	49
194	1	1	6900	50
195	15	1	4500	50
196	1	1	6900	51
