NO	TITLE	CONTENT	RATE	USER	SELLER	RECEIPT
8	COVID 대응	그 안에는 모든 것이 COVID에 대비되어 있습니다. 진열 된 품목은 개별적으로 포장되어 있으며 계산대는 실제로 플라스틱 보호대로 덮여 있습니다.	5	1	3	66
9	불친절	아이스크림은 맛있었습니다. 직원은 불친절합니다. 많은 버클리의 아이스크림 가게였지만 불친절이 존재했습니다.	3	1	8	137
10	covid 미대응	COVID 팬대믹 상태였지만 직원이 마스크를 쓰고있었습니다. 하지만 고객들을 일부는 마스크를 착용하지 않았다. 모든 상태에 우리는 마스크를 착용해야합니다.	4	1	10	160
11	재고가 없었습니다.	매번 재고가 없었습니다. 먼 거리에서 주문하는 환불이 제대로 늦게 되었습니다. 다음엔 주문하지 않을 것입니다.	2	1	10	161
12	가벼운 스낵 픽업	이 장소는 간단한 스낵 픽업에 좋습니다! 나는 이른 아침에 기차를타야했고 Alice 's는 여행 간식을 위해 열려있었습니다.	5	3	3	3
13	귀여운 앨리스 버블티와 뜨거운 옵션	그들은 일종의 작은 장소이지만 몇 가지 다른 옵션이 있습니다. 그들은 집게를 사용하여 쟁반에 원하는 것을 놓을 수있는 아시아 빵집 섹션이 있습니다. 	4	3	3	8
14	서리가 내린 솔로	음식에 관해서는 거의 항상 작은 서리가 내린 솔로 또는 약간 짠 식사와 함께 먹습니다. 평소에는 Jr 사이즈 버거를 주문하는데, 늘 즐겼던 특산품을 내놓고 있어요.	4	3	30	326
15	주문 경험이 불편했습니다.	내 경험을 힘들이지 않게 만들기 위해 모바일 애플리케이션을 통해 주문합니다. 이렇게하면 대부분의 문제가 제거되고 프로모션에 액세스 할 수 있기 때문입니다.	2	3	12	174
16	불만이 없습니다. 	앱을 다운로드하고 이미 저렴한 가격으로 할인을 받으세요. 그곳의 노동자들은 내 주문을 정리하는데 효율적입니다. 넉넉한 주차와 식사가 가능합니다.	5	3	2	9
17	맛있는 드라이브와 전문 서빙	나는 어느 날 저녁에 드라이브를 쳤고, 전문적인 여성 목소리로 주문 메뉴에서 인사를 받았다. 저의 강력한 일하는 여성들과 모든 곳의 강력한 여성들에게 외쳐주세요. 그녀는 즉시 내 주문을 받아 주셔서 감사했지만 그때 나는 음료를 망설였습니다. 그녀는 내가 음식이 준비 될 때까지 2 분도 채 걸리지 않는쪽으로 차를 세우게했고,이 2 분 동안 나는 음료를 추가하기로 결심했습니다. 사실 이후로 나를 느끼는 방법.	5	3	1	21
18	마감 시간을 늦었다.	나는 정말로 치킨 비스킷 아침 샌드위치를 움켜 쥐고 싶었지만 15 분까지 마감 시간을 놓쳤다. 이것은 누군가가 카운터에 있었다는 것을 누군가가 인정하기 위해 줄을 서서 5 분을 기다린 후입니다. 내 앞에 있던 남자는 우리가 도움을받을 수 있을지 궁금해하면서 깜짝 놀랐습니다.	3	3	1	24
19	실례합니다. 개선이 필요합니다.	전반적으로 별 하나. 서비스를 개선하고 바닥을 더 자주 청소해야합니다. 이제 실례합니다. 서리가 내린 열쇠 고리를 찾아 보겠습니다.	1	5	8	133
20	여기서 먹지 마세요! 	내가 고등학교 때 친구가 있었는데 그들은 나에게 이야기를 들려 주었다! 이 곳이 아직도 달리는 Idk! 로고에서 병아리를 본 적이 없으며 그녀는 산타만큼이나 존재합니다! 그들은 사상 최악의 빠른 관절입니다!	3	5	9	152
21	홍철없는 홍철팀?	매운 할라피뇨 포퍼 샌드위치를 주문했는데 할라피뇨가 전혀 없다는 것이 밝혀졌습니다. 매니저와 직원은 상관하지 않았고, 그들은 나에게 태도를 보여주고 새 샌드위치를 다시 만들기 위해 내 손에서 샌드위치를 빼앗았다. 빠른 속도에도 불구하고 고객 서비스가 너무 나빠서이 위치를 전혀 추천하지 않습니다.	4	6	1	38
22	그냥 그래요.	그냥 그래요.	4	6	9	143
23	치즈가 실망했습니다.	나는 치즈를 주문했다. 집에 도착했을 때 치즈, 아주 마른. 실망했다.	3	6	10	163
24	품질 하락	오, 제니가 얼마나 좋았다고 생각했는지 기억합니다 .... 제니의 달콤한 바닐라, 고소한 월넛 등을 좋아했습니다. 이제는 이 아이스크림 레스토랑의 품질과 기준은 하락했습니다. ...	4	6	8	135
25	민트 칩은 맛있고 신선합니다.	신선한 민트 칩은 참으로 신선합니다! 한 숟가락은 그들이 훌륭한 재료를 사용한다고 말할 수 있습니다. 나는 민트 칩을 정말 즐겼습니다.	5	6	8	139
26	너무 맛있었습니다.	이것은 매우 늦은 리뷰입니다 !! (2015 년에 이곳에 갔어요)하지만 지금도 생각 해요. 나는 큰 아이스크림 사람이 아니고, 보통 한 스푼 후에 끝나고, 나도 우유부단해서 딜레마가 보이나요 ??	5	6	8	141
27	여전히 새로운 시도였습니다.	재팬 타운 플라자에있는이 새로운 장소를 시험해보기로했습니다. 사진은 시도해보고 싶은 것 같았 기 때문에 우리는 소녀들과 함께 시도하기로 결정했습니다. 우마이라면 조합과 타코야키도 주문했습니다. 라면은 나에게 괜찮 았고 전에 훨씬 더 좋은라면을 먹었습니다. 라면은 약간 과하게 익었 고 국물은 약간 부드러 웠고 풍성한 돼지 고기 맛 국물이 빠져있었습니다.	3	1	19	238
28	맛있었습니다.	나는 구운 오리를 갈망했기 때문에 이곳을 시도했습니다. 남편과 저는 앞에 주차장을 찾았습니다. 우리가 바닥에 들어갔을 때 그날은 꽤 미끄러 웠습니다. 친절한 직원이 우리를 맞이했습니다. 우리가 주문한 것 반구이 오리 고기 B.B.Q 돼지 고기 1 파운드 소금에 절인 오리알 1 개 오리 다리 찜 1 개 고기는 맛있고 부드럽고 촉촉했습니다.	5	1	14	192
29	맛집이었나요?	여기에 항상 줄이있어서 궁금해서했는데 이번에는 줄이 없어요. 나는 시원했던 키오스크에서 주문했고 내 주문을 위해 5 분을 기다렸습니다. 떡 아이스크림이었고 오렌지 만다린 아이스크림도 받았습니다. 아이스크림은 셔벗처럼 상쾌하고 가볍고 전혀 달지 않았습니다. 떡은 괜찮 았어요.	4	1	6	117
30	다시는 방문하지 않을 것 입니다.	최악의 고객 서비스. 최악의 장소. 여기가 아닌 다른 곳으로 가십시오. 온라인 지원은 그다지 좋지 않았습니다.	1	1	29	321
31	환상적인 장소	사람들과 어울리고 이 음식점을 시도하는 환상적인 장소. 많은 좌석과 모두를위한 무언가가 있음을 확신 할 수 있습니다. 그들은 고품질의 재료를 가져 오는 데 매우 뛰어나며 공간은 개방적이고 깨끗합니다. 유일한 단점은 때때로 이벤트의 음악이 불쾌 할 정도로 시끄럽고 예약 된 좌석이 공간의 일부를 비 좁게 만든다는 것입니다.	5	3	17	216
