t_no	u_no	p_no	t_seat	t_discount
1	7	22	F06,B07	0,0
2	7	38	B07,C07	0,0
3	4	139	C07,D10	0,0
4	5	216	D10,B08	0,0
5	7	294	B08,A07	0,0
6	7	89	A07,D01	0,0
7	7	13	D01	0
8	9	290	D01,D06	0,0
9	3	154	D06	0
10	2	22	B08	0
11	1	267	B02	2
12	5	175	E08,E02	0,0
13	6	69	E02,B06	0,0
14	3	95	B06,F05	0,0
15	9	268	F05	0
16	10	139	D01	0
17	8	100	F01	0
18	9	53	F08,A04	0,0
19	9	294	A04,C04	1,1
20	10	170	C04,E02	0,0
21	1	76	E02,D02	0,0
22	10	130	D02,A07	2,2
23	5	71	A07,E10	0,0
24	1	191	E10,C04	0,0
25	2	278	C04	0
26	1	195	D06	0
27	6	18	B01,D02	0,0
28	7	160	D02,F06	0,0
29	7	184	F06,A02	1,1
30	3	74	A02,B08	0,0
31	8	147	B08	0
32	8	248	E05	0
33	9	266	C07,A08	0,0
34	6	51	A08,A03	0,0
35	5	279	A03,A09	0,0
36	5	8	A09,B10	0,0
37	7	245	B10	0
38	9	197	E06,A02	0,0
39	5	23	A02,F09	0,0
40	2	271	F09	0
41	5	223	F02	0
42	6	205	C01	0
43	3	219	E10,E09	0,0
44	7	73	E09,D02	0,0
45	1	251	D02	2
46	9	205	C05,A08	0,0
47	5	263	A08,D06	1,1
48	2	89	D06,D02	0,0
49	4	77	D02	0
50	8	218	B05	1
51	6	214	A06,E08	0,0
52	5	119	E08	0
53	7	108	F05	2
54	2	106	C07,F06	0,0
55	9	4	F06	0
56	8	120	C04	0
57	5	119	B02,D09	0,0
58	4	27	D09	0
59	6	56	B04,E04	0,0
60	1	35	E04,A03	0,0
61	6	8	A03	0
62	4	146	A04,B09	0,0
63	9	63	B09	0
64	4	118	F05,A10	0,0
65	5	56	A10,D04	1,1
66	5	103	D04,F04	0,0
67	3	210	F04	0
68	2	98	F01,E10	0,0
69	2	249	E10,D01	0,0
70	10	205	D01	0
71	7	126	F02,D01	0,0
72	8	142	D01,D05	0,0
73	10	103	D05	0
