p_no	pf_no	p_name	p_place	p_price	p_actor	p_date
1	O006	라보엠	CJ토월극장	120000	김태윤	2021-09-01
2	C001	아이유	고양어울림극장	150000	아이유	2021-09-01
3	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-09-01
4	M009	드라큘라	신한카드홀	160000	신성록	2021-09-02
5	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-02
6	O007	마농	KT체임버홀	100000	손지혜	2021-09-03
7	O003	서부의아가씨	오페라극장	150000	이윤정	2021-09-03
8	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-04
9	M008	웃는남자	인터파크홀	210000	박효신	2021-09-05
10	M004	레베카	세종문화회관	160000	옥주현	2021-09-05
11	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-06
12	M002	팬텀	샤롯데시어터	160000	규현	2021-09-06
13	M006	지킬앤하이드	충무아트센터	190000	박은태	2021-09-07
14	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-07
15	C008	이문세	수성사트피아용지홀	150000	이문세	2021-09-08
16	C001	아이유	고양어울림극장	150000	아이유	2021-09-08
17	C007	호피폴라	롯데콘서트홀	150000	호피폴라	2021-09-09
18	O007	마농	KT체임버홀	100000	손지혜	2021-09-09
19	M004	레베카	세종문화회관	160000	옥주현	2021-09-09
20	O004	헨젤과그레텔	빛고을시민문화관	100000	정수희	2021-09-10
21	M007	엘리자벳	계명아트센터	180000	박형식	2021-09-10
22	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-10
23	M005	마리앙투아네트	드림아트센터	150000	김소현	2021-09-12
24	M010	그레이트코멧	유니버셜아트센터	110000	정은지	2021-09-12
25	O006	라보엠	CJ토월극장	120000	김태윤	2021-09-13
26	M008	웃는남자	인터파크홀	210000	박효신	2021-09-13
27	C008	이문세	수성사트피아용지홀	150000	이문세	2021-09-14
28	C003	자우림	평화의전당	170000	자우림	2021-09-14
29	O008	호프만의이야기	아트센터인천	120000	윤상아	2021-09-14
30	M008	웃는남자	인터파크홀	210000	박효신	2021-09-15
31	O006	라보엠	CJ토월극장	120000	김태윤	2021-09-15
