r_No	pu_No	r_Time
1	1	2021-08-01 02:16
2	6	2021-08-01 20:53
3	19	2021-08-01 14:20
4	34	2021-08-01 15:36
5	43	2021-08-01 05:09
6	48	2021-08-01 02:11
7	71	2021-08-02 11:07
8	85	2021-08-02 15:33
9	87	2021-08-02 11:41
10	96	2021-08-02 07:17
11	104	2021-08-02 13:05
12	124	2021-08-03 16:43
13	125	2021-08-03 20:50
14	126	2021-08-03 17:29
15	132	2021-08-03 22:23
16	142	2021-08-03 16:20
17	159	2021-08-03 15:10
18	173	2021-08-04 09:18
19	181	2021-08-04 18:46
20	187	2021-08-04 04:21
21	211	2021-08-04 13:13
22	212	2021-08-04 06:36
23	228	2021-08-05 12:06
24	236	2021-08-05 19:20
25	237	2021-08-05 13:36
26	251	2021-08-05 20:38
27	258	2021-08-05 01:59
28	274	2021-08-05 15:52
29	291	2021-08-06 19:41
30	304	2021-08-06 06:00
31	306	2021-08-06 10:50
32	318	2021-08-06 15:58
33	322	2021-08-06 04:00
34	330	2021-08-07 11:09
35	355	2021-08-07 10:01
36	360	2021-08-07 10:36
37	363	2021-08-07 12:55
38	364	2021-08-07 15:12
39	371	2021-08-07 00:54
40	396	2021-08-08 07:54
41	401	2021-08-08 18:07
42	405	2021-08-08 10:58
43	406	2021-08-08 12:41
44	411	2021-08-08 15:36
45	456	2021-08-09 08:46
46	457	2021-08-09 20:56
47	459	2021-08-09 04:12
48	465	2021-08-09 14:09
49	466	2021-08-09 18:56
50	477	2021-08-09 11:29
51	502	2021-08-10 06:09
52	504	2021-08-10 17:38
53	507	2021-08-10 17:46
54	533	2021-08-10 16:25
55	543	2021-08-10 01:45
56	546	2021-08-10 05:55
57	560	2021-08-11 19:04
58	567	2021-08-11 15:01
59	572	2021-08-11 13:53
60	591	2021-08-11 19:06
61	606	2021-08-11 16:47
62	609	2021-08-12 10:29
63	611	2021-08-12 08:55
64	617	2021-08-12 07:15
65	632	2021-08-12 05:44
66	633	2021-08-12 02:05
67	649	2021-08-12 04:21
68	669	2021-08-13 19:38
69	671	2021-08-13 03:44
70	693	2021-08-13 20:03
71	697	2021-08-13 13:00
72	705	2021-08-13 00:15
73	730	2021-08-14 09:48
74	739	2021-08-14 19:46
75	740	2021-08-14 02:19
76	770	2021-08-14 01:19
77	772	2021-08-14 00:28
78	776	2021-08-14 08:21
79	783	2021-08-15 12:31
80	795	2021-08-15 04:51
81	796	2021-08-15 14:30
82	800	2021-08-15 18:14
83	825	2021-08-15 08:29
84	826	2021-08-15 11:30
85	857	2021-08-16 22:33
86	866	2021-08-16 09:10
87	875	2021-08-16 20:13
88	879	2021-08-16 06:51
89	881	2021-08-16 08:48
90	885	2021-08-17 11:14
91	888	2021-08-17 19:38
92	890	2021-08-17 15:31
93	903	2021-08-17 17:21
94	913	2021-08-17 17:16
95	940	2021-08-17 00:13
96	943	2021-08-18 03:57
97	956	2021-08-18 00:06
98	958	2021-08-18 20:34
99	968	2021-08-18 01:27
100	976	2021-08-18 05:51
101	1008	2021-08-19 19:55
102	1014	2021-08-19 14:09
103	1035	2021-08-19 15:52
104	1038	2021-08-19 12:07
105	1049	2021-08-19 15:49
106	1050	2021-08-19 13:18
107	1057	2021-08-20 02:59
108	1067	2021-08-20 11:32
109	1077	2021-08-20 11:51
110	1090	2021-08-20 05:07
111	1096	2021-08-20 23:19
112	1102	2021-08-20 17:34
113	1103	2021-08-21 03:22
114	1113	2021-08-21 09:17
115	1119	2021-08-21 01:29
116	1128	2021-08-21 01:03
117	1140	2021-08-21 01:09
118	1158	2021-08-22 20:23
119	1163	2021-08-22 23:08
120	1190	2021-08-22 06:39
121	1192	2021-08-22 10:31
122	1196	2021-08-22 23:04
123	1207	2021-08-22 06:28
124	1216	2021-08-23 07:18
125	1242	2021-08-23 15:10
126	1250	2021-08-23 15:20
127	1253	2021-08-23 06:30
128	1259	2021-08-23 15:49
129	1269	2021-08-24 22:58
130	1278	2021-08-24 11:39
131	1280	2021-08-24 14:09
132	1295	2021-08-24 20:36
133	1305	2021-08-24 14:24
134	1311	2021-08-24 09:28
135	1330	2021-08-25 12:24
136	1337	2021-08-25 20:15
137	1343	2021-08-25 00:46
138	1358	2021-08-25 00:07
139	1362	2021-08-25 11:43
140	1382	2021-08-26 16:12
141	1390	2021-08-26 18:51
142	1394	2021-08-26 22:48
143	1396	2021-08-26 16:00
144	1397	2021-08-26 11:50
145	1398	2021-08-26 20:12
146	1449	2021-08-27 05:53
147	1453	2021-08-27 04:39
148	1461	2021-08-27 16:43
149	1477	2021-08-27 20:33
150	1481	2021-08-27 08:43
151	1492	2021-08-28 03:23
152	1504	2021-08-28 22:10
153	1505	2021-08-28 22:11
154	1520	2021-08-28 05:47
155	1527	2021-08-28 17:01
156	1541	2021-08-28 19:42
157	1549	2021-08-29 19:13
158	1556	2021-08-29 18:07
159	1589	2021-08-29 08:51
160	1593	2021-08-29 21:54
161	1596	2021-08-29 23:58
162	1611	2021-08-30 19:16
163	1618	2021-08-30 08:34
164	1632	2021-08-30 07:48
165	1637	2021-08-30 13:28
166	1642	2021-08-30 12:46
167	1665	2021-08-31 21:28
168	1666	2021-08-31 15:16
169	1675	2021-08-31 17:51
170	1688	2021-08-31 18:48
171	1691	2021-08-31 02:44
172	1705	2021-08-31 21:01
173	1710	2021-09-01 13:25
174	1721	2021-09-01 16:25
175	1722	2021-09-01 08:04
176	1724	2021-09-01 09:23
177	1736	2021-09-01 02:58
178	1774	2021-09-02 13:48
179	1779	2021-09-02 22:29
180	1784	2021-09-02 10:13
181	1795	2021-09-02 03:34
182	1810	2021-09-02 04:30
183	1816	2021-09-02 00:26
184	1820	2021-09-03 08:33
185	1828	2021-09-03 03:17
186	1847	2021-09-03 16:38
187	1851	2021-09-03 01:15
188	1854	2021-09-03 03:36
189	1880	2021-09-04 00:16
190	1890	2021-09-04 05:41
191	1895	2021-09-04 21:23
192	1899	2021-09-04 17:36
193	1904	2021-09-04 19:44
194	1912	2021-09-04 10:20
195	1933	2021-09-05 09:53
196	1954	2021-09-05 19:25
197	1959	2021-09-05 15:22
198	1974	2021-09-05 11:44
199	1976	2021-09-05 08:54
200	1979	2021-09-05 22:58
201	1986	2021-09-06 02:18
202	1989	2021-09-06 09:23
203	2001	2021-09-06 10:20
204	2028	2021-09-06 10:45
205	2031	2021-09-06 18:27
206	2042	2021-09-07 19:30
207	2048	2021-09-07 03:07
208	2066	2021-09-07 13:35
209	2074	2021-09-07 13:01
210	2084	2021-09-07 22:09
211	2089	2021-09-07 08:36
212	2095	2021-09-08 15:19
213	2105	2021-09-08 17:05
214	2113	2021-09-08 01:58
215	2132	2021-09-08 18:40
216	2139	2021-09-08 13:55
217	2156	2021-09-09 01:13
218	2160	2021-09-09 09:14
219	2162	2021-09-09 12:51
220	2182	2021-09-09 02:00
221	2200	2021-09-09 04:22
222	2204	2021-09-09 11:37
223	2222	2021-09-10 03:33
224	2233	2021-09-10 17:13
225	2242	2021-09-10 11:04
226	2247	2021-09-10 19:34
227	2261	2021-09-10 15:44
228	2268	2021-09-10 18:59
229	2273	2021-09-11 17:00
230	2281	2021-09-11 00:39
231	2289	2021-09-11 18:08
232	2307	2021-09-11 02:18
233	2309	2021-09-11 19:20
234	2321	2021-09-11 21:46
