r_No	pu_No	r_Time
1	6	2021-08-01 20:53
2	34	2021-08-01 15:36
3	48	2021-08-01 2:11
4	71	2021-08-02 11:07
5	87	2021-08-02 11:41
6	104	2021-08-02 13:05
7	125	2021-08-03 20:50
8	132	2021-08-03 22:23
9	142	2021-08-03 16:20
10	173	2021-08-04 9:18
11	187	2021-08-04 4:21
12	212	2021-08-04 6:36
13	236	2021-08-05 19:20
14	237	2021-08-05 13:36
15	258	2021-08-05 1:59
16	291	2021-08-06 19:41
17	306	2021-08-06 10:50
18	322	2021-08-06 4:00
19	330	2021-08-07 11:09
20	360	2021-08-07 10:36
21	364	2021-08-07 15:12
22	396	2021-08-08 7:54
23	405	2021-08-08 10:58
24	406	2021-08-08 12:41
25	456	2021-08-09 8:46
26	459	2021-08-09 4:12
27	466	2021-08-09 18:56
28	502	2021-08-10 6:09
29	504	2021-08-10 17:38
30	533	2021-08-10 16:25
31	546	2021-08-10 5:55
32	567	2021-08-11 15:01
33	591	2021-08-11 19:06
34	606	2021-08-11 16:47
35	611	2021-08-12 8:55
36	632	2021-08-12 5:44
37	649	2021-08-12 4:21
38	671	2021-08-13 3:44
39	693	2021-08-13 20:03
40	705	2021-08-13 0:15
41	739	2021-08-14 19:46
42	770	2021-08-14 1:19
43	776	2021-08-14 8:21
44	783	2021-08-15 12:31
45	796	2021-08-15 14:30
46	825	2021-08-15 8:29
47	857	2021-08-16 22:33
48	875	2021-08-16 20:13
49	879	2021-08-16 6:51
50	885	2021-08-17 11:14
51	890	2021-08-17 15:31
52	913	2021-08-17 17:16
53	943	2021-08-18 3:57
54	956	2021-08-18 0:06
55	968	2021-08-18 1:27
56	1008	2021-08-19 19:55
57	1035	2021-08-19 15:52
58	1049	2021-08-19 15:49
59	1050	2021-08-19 13:18
60	1067	2021-08-20 11:32
61	1090	2021-08-20 5:07
62	1102	2021-08-20 17:34
63	1113	2021-08-21 9:17
64	1119	2021-08-21 1:29
65	1140	2021-08-21 1:09
66	1163	2021-08-22 23:08
67	1192	2021-08-22 10:31
68	1207	2021-08-22 6:28
69	1216	2021-08-23 7:18
70	1250	2021-08-23 15:20
71	1259	2021-08-23 15:49
72	1278	2021-08-24 11:39
73	1295	2021-08-24 20:36
74	1305	2021-08-24 14:24
75	1330	2021-08-25 12:24
76	1343	2021-08-25 0:46
77	1362	2021-08-25 11:43
78	1390	2021-08-26 18:51
79	1394	2021-08-26 22:48
80	1397	2021-08-26 11:50
81	1449	2021-08-27 5:53
82	1461	2021-08-27 16:43
83	1481	2021-08-27 8:43
84	1492	2021-08-28 3:23
85	1505	2021-08-28 22:11
86	1527	2021-08-28 17:01
87	1549	2021-08-29 19:13
88	1589	2021-08-29 8:51
89	1593	2021-08-29 21:54
90	1611	2021-08-30 19:16
91	1632	2021-08-30 7:48
92	1642	2021-08-30 12:46
93	1666	2021-08-31 15:16
94	1675	2021-08-31 17:51
95	1691	2021-08-31 2:44
96	1710	2021-09-01 13:25
97	1722	2021-09-01 8:04
98	1736	2021-09-01 2:58
99	1774	2021-09-02 13:48
100	1784	2021-09-02 10:13
101	1810	2021-09-02 4:30
102	1820	2021-09-03 8:33
103	1847	2021-09-03 16:38
104	1851	2021-09-03 1:15
105	1880	2021-09-04 0:16
106	1895	2021-09-04 21:23
107	1904	2021-09-04 19:44
108	1933	2021-09-05 9:53
109	1954	2021-09-05 19:25
110	1974	2021-09-05 11:44
111	1979	2021-09-05 22:58
112	1989	2021-09-06 9:23
113	2028	2021-09-06 10:45
114	2031	2021-09-06 18:27
115	2048	2021-09-07 3:07
116	2074	2021-09-07 13:01
117	2089	2021-09-07 8:36
118	2105	2021-09-08 17:05
119	2113	2021-09-08 1:58
120	2139	2021-09-08 13:55
121	2160	2021-09-09 9:14
122	2182	2021-09-09 2:00
123	2204	2021-09-09 11:37
124	2222	2021-09-10 3:33
125	2242	2021-09-10 11:04
126	2261	2021-09-10 15:44
127	2273	2021-09-11 17:00
128	2289	2021-09-11 18:08
129	2307	2021-09-11 2:18
130	2321	2021-09-11 21:46
131	2346	2021-09-12 12:44
132	2357	2021-09-12 20:10
133	2386	2021-09-13 20:20
134	2387	2021-09-13 8:29
135	2407	2021-09-13 14:42
136	2432	2021-09-14 9:43
137	2442	2021-09-14 6:57
138	2457	2021-09-14 13:12
139	2460	2021-09-14 16:10
140	2495	2021-09-15 15:28
141	2510	2021-09-15 13:49
142	2524	2021-09-15 2:50
143	2585	2021-09-16 6:38
144	2590	2021-09-16 3:43
145	2600	2021-09-16 16:33
146	2614	2021-09-17 0:57
147	2619	2021-09-17 4:16
148	2643	2021-09-17 5:47
149	2666	2021-09-18 13:09
150	2674	2021-09-18 18:03
151	2703	2021-09-18 22:27
152	2724	2021-09-19 4:28
153	2750	2021-09-19 4:15
154	2759	2021-09-19 17:35
155	2764	2021-09-19 23:15
156	2790	2021-09-20 18:57
157	2822	2021-09-20 21:54
158	2841	2021-09-21 13:12
159	2851	2021-09-21 7:51
160	2861	2021-09-21 10:16
161	2874	2021-09-21 20:37
162	2892	2021-09-22 15:24
163	2908	2021-09-22 14:41
164	2920	2021-09-22 15:19
165	2955	2021-09-23 11:02
166	2976	2021-09-23 9:52
167	2988	2021-09-23 11:45
168	3020	2021-09-24 21:39
169	3026	2021-09-24 21:52
170	3031	2021-09-24 17:04
171	3068	2021-09-25 20:35
172	3075	2021-09-25 9:50
173	3094	2021-09-25 15:59
174	3112	2021-09-26 13:19
175	3134	2021-09-26 7:24
176	3161	2021-09-26 20:09
177	3169	2021-09-27 2:30
178	3211	2021-09-27 22:43
179	3212	2021-09-27 6:10
180	3224	2021-09-28 3:10
181	3246	2021-09-28 13:31
182	3257	2021-09-28 6:22
183	3278	2021-09-29 16:06
184	3279	2021-09-29 21:49
185	3300	2021-09-29 1:56
186	3312	2021-09-29 18:13
187	3360	2021-09-30 1:24
188	3377	2021-09-30 7:51
189	3388	2021-09-30 15:39
190	3395	2021-10-01 18:41
191	3438	2021-10-01 21:27
192	3446	2021-10-01 16:08
193	3457	2021-10-02 16:14
194	3464	2021-10-02 18:50
195	3479	2021-10-02 11:11
196	3512	2021-10-03 8:49
197	3533	2021-10-03 14:50
198	3553	2021-10-03 15:17
199	3558	2021-10-04 10:34
200	3576	2021-10-04 18:01
201	3604	2021-10-04 4:41
202	3613	2021-10-05 14:14
203	3620	2021-10-05 17:55
204	3642	2021-10-05 21:22
205	7	2021-08-01 19:57
206	17	2021-08-01 6:24
207	51	2021-08-01 19:56
208	63	2021-08-02 19:06
209	83	2021-08-02 14:20
210	107	2021-08-02 21:33
211	120	2021-08-03 13:27
212	133	2021-08-03 21:51
213	140	2021-08-03 14:26
214	163	2021-08-03 1:41
215	168	2021-08-04 14:56
216	176	2021-08-04 9:01
217	218	2021-08-05 22:00
218	239	2021-08-05 17:38
219	240	2021-08-05 4:36
220	263	2021-08-05 7:09
