st_No	s_No	p_No	st_Count
1	1	1	47
2	2	1	81
3	3	1	87
4	4	1	11
5	5	1	94
6	6	1	0
7	7	1	52
8	8	1	9
9	9	1	79
10	10	1	98
11	1	2	49
12	2	2	44
13	3	2	8
14	4	2	57
15	5	2	62
16	6	2	19
17	7	2	98
18	8	2	0
19	9	2	77
20	10	2	92
21	1	3	53
22	2	3	0
23	3	3	62
24	4	3	0
25	5	3	91
26	6	3	54
27	7	3	76
28	8	3	0
29	9	3	8
30	10	3	27
31	1	4	0
32	2	4	0
33	3	4	0
34	4	4	0
35	5	4	99
36	6	4	9
37	7	4	3
38	8	4	1
39	9	4	37
40	10	4	99
41	1	5	67
42	2	5	58
43	3	5	49
44	4	5	42
45	5	5	49
46	6	5	18
47	7	5	82
48	8	5	0
49	9	5	43
50	10	5	97
51	1	6	18
52	2	6	38
53	3	6	94
54	4	6	29
55	5	6	0
56	6	6	19
57	7	6	19
58	8	6	0
59	9	6	23
60	10	6	92
61	1	7	77
62	2	7	89
63	3	7	59
64	4	7	12
65	5	7	94
66	6	7	34
67	7	7	36
68	8	7	22
69	9	7	79
70	10	7	58
71	1	8	0
72	2	8	98
73	3	8	62
74	4	8	0
75	5	8	0
76	6	8	36
77	7	8	9
78	8	8	19
79	9	8	77
80	10	8	72
81	1	9	21
82	2	9	21
83	3	9	89
84	4	9	14
85	5	9	99
86	6	9	23
87	7	9	8
88	8	9	2
89	9	9	86
90	10	9	0
91	1	10	46
92	2	10	47
93	3	10	0
94	4	10	0
95	5	10	6
96	6	10	94
97	7	10	12
98	8	10	52
99	9	10	34
100	10	10	83
101	1	11	73
102	2	11	0
103	3	11	36
104	4	11	0
105	5	11	0
106	6	11	71
107	7	11	61
108	8	11	31
109	9	11	97
110	10	11	97
111	1	12	63
112	2	12	0
113	3	12	69
114	4	12	0
115	5	12	0
116	6	12	61
117	7	12	21
118	8	12	66
119	9	12	29
120	10	12	0
121	1	13	32
122	2	13	0
123	3	13	62
124	4	13	58
125	5	13	82
126	6	13	31
127	7	13	32
128	8	13	3
129	9	13	62
130	10	13	87
131	1	14	33
132	2	14	99
133	3	14	84
134	4	14	53
135	5	14	89
136	6	14	66
137	7	14	51
138	8	14	98
139	9	14	29
140	10	14	0
141	1	15	41
142	2	15	89
143	3	15	0
144	4	15	14
145	5	15	18
146	6	15	0
147	7	15	84
148	8	15	0
149	9	15	66
150	10	15	0
151	1	16	0
152	2	16	69
153	3	16	0
154	4	16	69
155	5	16	76
156	6	16	14
157	7	16	53
158	8	16	41
159	9	16	24
160	10	16	0
161	1	17	59
162	2	17	0
163	3	17	53
164	4	17	0
165	5	17	6
166	6	17	79
167	7	17	67
168	8	17	21
169	9	17	57
170	10	17	54
171	1	18	74
172	2	18	24
173	3	18	56
174	4	18	3
175	5	18	11
176	6	18	0
177	7	18	83
178	8	18	18
179	9	18	29
180	10	18	87
181	1	19	0
182	2	19	88
183	3	19	99
184	4	19	11
185	5	19	24
186	6	19	0
187	7	19	74
188	8	19	17
189	9	19	62
190	10	19	18
191	1	20	47
192	2	20	74
193	3	20	91
194	4	20	62
195	5	20	17
196	6	20	79
197	7	20	58
198	8	20	28
199	9	20	39
200	10	20	6
201	1	21	96
202	2	21	0
203	3	21	9
204	4	21	19
205	5	21	21
206	6	21	0
207	7	21	0
208	8	21	0
209	9	21	0
210	10	21	97
211	1	22	0
212	2	22	68
213	3	22	0
214	4	22	98
215	5	22	39
216	6	22	43
217	7	22	36
218	8	22	0
219	9	22	0
220	10	22	23
221	1	23	59
222	2	23	0
223	3	23	0
224	4	23	38
225	5	23	99
226	6	23	2
227	7	23	82
228	8	23	29
229	9	23	62
230	10	23	17
231	1	24	0
232	2	24	0
233	3	24	19
234	4	24	19
235	5	24	42
236	6	24	29
237	7	24	76
238	8	24	0
239	9	24	74
240	10	24	67
241	1	25	43
242	2	25	72
243	3	25	48
244	4	25	77
245	5	25	86
246	6	25	0
247	7	25	39
248	8	25	0
249	9	25	0
250	10	25	18
251	1	26	64
252	2	26	48
253	3	26	94
254	4	26	78
255	5	26	16
256	6	26	69
257	7	26	26
258	8	26	4
259	9	26	87
260	10	26	0
261	1	27	94
262	2	27	67
263	3	27	72
264	4	27	42
265	5	27	38
266	6	27	21
267	7	27	52
268	8	27	84
269	9	27	41
270	10	27	29
271	1	28	94
272	2	28	0
273	3	28	0
274	4	28	73
275	5	28	87
276	6	28	64
277	7	28	97
278	8	28	0
279	9	28	86
280	10	28	0
281	1	29	61
282	2	29	8
283	3	29	4
284	4	29	0
285	5	29	72
286	6	29	87
287	7	29	47
288	8	29	97
289	9	29	0
290	10	29	26
291	1	30	58
292	2	30	4
293	3	30	0
294	4	30	37
295	5	30	71
296	6	30	33
297	7	30	32
298	8	30	57
299	9	30	61
300	10	30	97
301	1	31	0
302	2	31	0
303	3	31	21
304	4	31	0
305	5	31	59
306	6	31	81
307	7	31	4
308	8	31	98
309	9	31	92
310	10	31	33
311	1	32	14
312	2	32	63
313	3	32	86
314	4	32	49
315	5	32	27
316	6	32	76
317	7	32	64
318	8	32	0
319	9	32	28
320	10	32	13
321	1	33	36
322	2	33	0
323	3	33	11
324	4	33	19
325	5	33	84
326	6	33	47
327	7	33	0
328	8	33	93
329	9	33	77
330	10	33	59
331	1	34	0
332	2	34	14
333	3	34	27
334	4	34	64
335	5	34	64
336	6	34	51
337	7	34	87
338	8	34	93
339	9	34	44
340	10	34	99
341	1	35	0
342	2	35	0
343	3	35	0
344	4	35	69
345	5	35	0
346	6	35	29
347	7	35	3
348	8	35	33
349	9	35	88
350	10	35	49
351	1	36	26
352	2	36	42
353	3	36	0
354	4	36	53
355	5	36	93
356	6	36	34
357	7	36	39
358	8	36	44
359	9	36	69
360	10	36	96
361	1	37	0
362	2	37	67
363	3	37	0
364	4	37	0
365	5	37	62
366	6	37	1
367	7	37	0
368	8	37	17
369	9	37	93
370	10	37	0
371	1	38	41
372	2	38	44
373	3	38	76
374	4	38	48
375	5	38	46
376	6	38	88
377	7	38	0
378	8	38	93
379	9	38	33
380	10	38	8
381	1	39	23
382	2	39	9
383	3	39	58
384	4	39	42
385	5	39	79
386	6	39	0
387	7	39	67
388	8	39	6
389	9	39	23
390	10	39	19
391	1	40	77
392	2	40	86
393	3	40	53
394	4	40	0
395	5	40	59
396	6	40	69
397	7	40	84
398	8	40	56
399	9	40	12
400	10	40	0
401	1	41	97
402	2	41	12
403	3	41	52
404	4	41	31
405	5	41	32
406	6	41	67
407	7	41	16
408	8	41	0
409	9	41	57
410	10	41	2
411	1	42	3
412	2	42	84
413	3	42	53
414	4	42	97
415	5	42	31
416	6	42	72
417	7	42	62
418	8	42	33
419	9	42	58
420	10	42	0
421	1	43	93
422	2	43	69
423	3	43	32
424	4	43	37
425	5	43	0
426	6	43	78
427	7	43	36
428	8	43	94
429	9	43	63
430	10	43	71
431	1	44	0
432	2	44	0
433	3	44	78
434	4	44	22
435	5	44	28
436	6	44	39
437	7	44	0
438	8	44	17
439	9	44	72
440	10	44	61
441	1	45	3
442	2	45	34
443	3	45	33
444	4	45	48
445	5	45	0
446	6	45	31
447	7	45	24
448	8	45	2
449	9	45	0
450	10	45	54
451	1	46	57
452	2	46	0
453	3	46	66
454	4	46	96
455	5	46	86
456	6	46	73
457	7	46	57
458	8	46	34
459	9	46	0
460	10	46	53
461	1	47	87
462	2	47	0
463	3	47	0
464	4	47	23
465	5	47	43
466	6	47	88
467	7	47	0
468	8	47	36
469	9	47	88
470	10	47	38
471	1	48	78
472	2	48	34
473	3	48	0
474	4	48	63
475	5	48	28
476	6	48	94
477	7	48	86
478	8	48	91
479	9	48	56
480	10	48	63
481	1	49	82
482	2	49	19
483	3	49	92
484	4	49	26
485	5	49	92
486	6	49	0
487	7	49	94
488	8	49	2
489	9	49	91
490	10	49	29
491	1	50	72
492	2	50	33
493	3	50	0
494	4	50	0
