pu_No	s_No	p_No	u_No	pu_Count	pu_Price	pu_Date
1	1	141	23	25	25000	2021-08-01
6	1	139	35	16	16000	2021-08-01
19	1	156	19	8	20000	2021-08-01
34	1	77	7	15	66000	2021-08-01
43	1	207	23	26	124800	2021-08-01
48	1	63	4	23	89700	2021-08-01
71	1	212	37	12	42000	2021-08-02
85	1	163	36	16	32000	2021-08-02
87	1	66	18	14	49000	2021-08-02
96	1	82	30	24	98400	2021-08-02
104	1	80	39	8	43200	2021-08-02
124	1	114	10	4	14000	2021-08-03
125	1	60	1	12	21600	2021-08-03
126	1	8	10	18	54000	2021-08-03
132	1	118	33	21	81900	2021-08-03
142	1	130	6	17	30600	2021-08-03
159	1	13	37	8	12000	2021-08-03
173	1	106	29	29	362500	2021-08-04
181	1	225	2	2	15000	2021-08-04
187	1	69	33	26	49400	2021-08-04
211	1	87	25	17	42500	2021-08-04
212	1	261	23	8	13600	2021-08-04
228	1	278	39	29	43500	2021-08-05
236	1	106	12	14	175000	2021-08-05
237	1	23	14	18	45000	2021-08-05
251	1	37	29	15	22500	2021-08-05
258	1	278	40	20	30000	2021-08-05
274	1	286	3	17	25500	2021-08-05
291	1	3	17	15	15000	2021-08-06
304	1	47	25	13	24700	2021-08-06
306	1	143	38	8	8000	2021-08-06
318	1	193	35	5	7000	2021-08-06
322	1	163	13	27	54000	2021-08-06
330	1	41	3	3	5100	2021-08-07
355	1	287	13	17	51000	2021-08-07
360	1	132	8	18	18000	2021-08-07
363	1	110	9	23	46000	2021-08-07
364	1	1	36	13	26000	2021-08-07
371	1	64	13	30	105000	2021-08-07
396	1	4	23	5	5000	2021-08-08
401	1	173	7	4	10000	2021-08-08
405	1	267	40	20	30000	2021-08-08
406	1	13	36	28	42000	2021-08-08
411	1	258	37	4	20000	2021-08-08
456	1	266	25	5	7500	2021-08-09
457	1	121	8	18	208800	2021-08-09
459	1	154	8	17	17000	2021-08-09
465	1	176	15	15	15000	2021-08-09
466	1	202	35	7	10500	2021-08-09
477	1	221	5	28	81200	2021-08-09
502	1	18	9	1	4500	2021-08-10
504	1	174	2	18	45000	2021-08-10
507	1	233	36	4	16800	2021-08-10
533	1	160	37	2	3600	2021-08-10
543	1	150	39	23	27600	2021-08-10
546	1	265	15	27	108000	2021-08-10
560	1	262	16	7	11900	2021-08-11
567	1	230	25	28	134400	2021-08-11
572	1	114	24	8	28000	2021-08-11
591	1	92	13	15	121500	2021-08-11
606	1	5	16	2	4000	2021-08-11
609	1	203	34	14	37800	2021-08-12
611	1	287	36	6	18000	2021-08-12
617	1	77	14	27	118800	2021-08-12
632	1	263	9	26	65000	2021-08-12
633	1	45	10	21	18900	2021-08-12
649	1	40	1	4	15600	2021-08-12
669	1	148	36	11	13200	2021-08-13
671	1	234	37	21	100800	2021-08-13
693	1	108	22	21	165900	2021-08-13
697	1	220	9	29	101500	2021-08-13
705	1	74	11	23	197800	2021-08-13
730	1	243	37	30	54000	2021-08-14
739	1	141	14	4	4000	2021-08-14
740	1	164	11	12	12000	2021-08-14
770	1	179	31	27	40500	2021-08-14
772	1	184	4	16	48000	2021-08-14
776	1	7	4	19	95000	2021-08-14
783	1	72	14	11	20900	2021-08-15
795	1	194	27	22	77000	2021-08-15
796	1	285	6	13	19500	2021-08-15
800	1	82	22	17	69700	2021-08-15
825	1	214	24	18	18000	2021-08-15
826	1	243	23	13	23400	2021-08-15
857	1	112	28	26	189800	2021-08-16
866	1	89	11	10	33000	2021-08-16
875	1	219	17	29	188500	2021-08-16
879	1	118	28	28	109200	2021-08-16
881	1	251	17	8	12000	2021-08-16
885	1	91	27	12	97200	2021-08-17
888	1	223	17	17	81600	2021-08-17
890	1	12	15	16	32000	2021-08-17
903	1	237	12	22	105600	2021-08-17
913	1	166	34	14	16800	2021-08-17
940	1	73	39	29	113100	2021-08-17
943	1	182	12	7	24500	2021-08-18
956	1	82	30	28	114800	2021-08-18
958	1	91	5	28	226800	2021-08-18
968	1	185	28	9	18000	2021-08-18
976	1	216	10	9	43200	2021-08-18
1008	1	162	3	21	42000	2021-08-19
1014	1	40	38	27	105300	2021-08-19
1035	1	287	28	7	21000	2021-08-19
1038	1	77	18	30	132000	2021-08-19
1049	1	29	15	23	23000	2021-08-19
1050	1	63	18	30	117000	2021-08-19
1057	1	281	39	16	48000	2021-08-20
1067	1	191	24	11	22000	2021-08-20
1077	1	65	11	20	56000	2021-08-20
1090	1	265	2	19	76000	2021-08-20
1096	1	42	17	20	19000	2021-08-20
1102	1	228	24	23	124200	2021-08-20
1103	1	51	25	3	7500	2021-08-21
1113	1	178	4	1	1800	2021-08-21
1119	1	103	34	28	126000	2021-08-21
1128	1	295	12	12	18000	2021-08-21
1140	1	149	23	25	45000	2021-08-21
1158	1	284	36	17	25500	2021-08-22
1163	1	122	26	6	27000	2021-08-22
1190	1	242	13	1	1800	2021-08-22
1192	1	37	31	6	9000	2021-08-22
1196	1	12	4	29	58000	2021-08-22
1207	1	285	28	7	10500	2021-08-22
1216	1	204	12	26	26000	2021-08-23
1242	1	54	18	15	43500	2021-08-23
1250	1	11	23	21	37800	2021-08-23
1253	1	40	12	18	70200	2021-08-23
1259	1	85	28	30	375000	2021-08-23
1269	1	47	18	19	36100	2021-08-24
1278	1	235	8	13	54600	2021-08-24
1280	1	18	29	15	67500	2021-08-24
1295	1	291	24	24	36000	2021-08-24
1305	1	249	9	18	39600	2021-08-24
1311	1	75	10	17	34000	2021-08-24
1330	1	270	9	18	43200	2021-08-25
1337	1	269	31	18	43200	2021-08-25
1343	1	91	40	15	121500	2021-08-25
1358	1	63	39	21	81900	2021-08-25
1362	1	285	30	5	7500	2021-08-25
1382	1	292	30	16	24000	2021-08-26
1390	1	108	35	14	110600	2021-08-26
1394	1	151	20	2	3600	2021-08-26
1396	1	168	19	17	30600	2021-08-26
1397	1	100	32	23	273700	2021-08-26
1398	1	294	21	21	31500	2021-08-26
1449	1	169	32	20	36000	2021-08-27
1453	1	34	19	15	30000	2021-08-27
1461	1	229	19	6	28800	2021-08-27
1477	1	210	14	3	14400	2021-08-27
1481	1	13	10	29	43500	2021-08-27
1492	1	133	18	18	32400	2021-08-28
1504	1	185	17	29	58000	2021-08-28
1505	1	222	34	29	139200	2021-08-28
1520	1	259	19	16	30400	2021-08-28
1527	1	164	22	28	28000	2021-08-28
1541	1	223	20	15	72000	2021-08-28
1549	1	63	33	3	11700	2021-08-29
1556	1	47	11	12	22800	2021-08-29
1589	1	165	15	24	24000	2021-08-29
1593	1	276	33	20	20000	2021-08-29
1596	1	226	30	29	101500	2021-08-29
1611	1	32	27	10	20000	2021-08-30
1618	1	248	32	10	15000	2021-08-30
1632	1	279	2	22	22000	2021-08-30
1637	1	131	14	18	36000	2021-08-30
1642	1	71	14	24	93600	2021-08-30
1665	1	145	2	17	30600	2021-08-31
1666	1	124	31	8	92800	2021-08-31
1675	1	57	35	10	11000	2021-08-31
1688	1	50	27	16	40000	2021-08-31
1691	1	240	8	25	105000	2021-08-31
1705	1	13	18	27	40500	2021-08-31
1710	1	149	13	22	39600	2021-09-01
1721	1	220	36	4	14000	2021-09-01
1722	1	13	23	26	39000	2021-09-01
1724	1	86	40	5	79500	2021-09-01
1736	1	6	28	29	145000	2021-09-01
1774	1	23	5	8	20000	2021-09-02
1779	1	300	22	6	6000	2021-09-02
1784	1	134	34	30	54000	2021-09-02
