n no	n date	u no	n title	n content	n viewcount	n open
1	2021-05-01	5	많이 무섭나요?	직접 가보고 싶은데 호러는 무섭나요?	0	X
2	2021-05-15	3	에로스의 초대 간단후기	애인이랑 에로스의 초대를 해봤습니다. 생각했던 것보다 할 만 했습니다. 애인이 좋아합니다 강추	786	O
3	2021-06-20	4	그녀를 찾아서 한줄평	별로 안 무섭다길래 도전해봤는데 엄마랑 같이 잤습니다.	0	X
4	2021-07-01	1	폐쇄병동 싫다	폐쇄병동 안 무섭다더니 너무 무섭던데요.. 다른지역은 어떤가요?	425	O
5	2021-07-15	9	초코의 왕 후기	너무 재밌어서 같이 간 친구랑 깔깔 웃다가 나왔습니다. 꼭 해보세요	255	O
6	2021-07-17	10	감성충전 장미맨숀	오랜만에 감성 넘치는 걸 플레이 해봤더니 탈출 후 여운이 오래가네요. 다들 꼭 해보셨으면 합니다.	152	O
7	2021-07-22	8	레드크리스마스 후기	갑툭튀 심해서 공포 못하시는 분들은 비추하고, 저처럼 공포 매니아들은 좋아할 것 같습니다.	389	O
8	2021-08-23	7	스토커 탈출 성공!	어렵고 무섭기로 유명한 스토커를 첫 플레이만에 탈출 성공했습니다. 친구랑 둘이 탈출 했습니다.	825	O
9	2021-09-11	2	여신의 눈물 썸녀랑	썸녀랑 같이 여신의 눈물을 탈출하고 오늘부터 1일입니다. 여신의 눈물 추천해주신분 복 받으세요.	1021	O
10	2021-09-22	6	남친이랑 방탈출 후기	백조의 호수 남친이랑 탈출하면서 한바탕 싸웠습니다. 다른 방탈출 추천 부탁드려요	556	O
11	2021-09-30	10	신세대 놀이방	딸아이가 졸라서 가봤는데, 머리도 쓰고, 협동심도 생기고 자주 애용할듯 합니다.	512	O
12	2021-09-03	3	친구와의 두뇌싸움	친구와 두뇌싸움을 한 기분인데, 풀이도 좋고, 다양한 의견을 나눌수 있어 좋았습니다.	2056	O
13	2021-09-30	7	내겐 너무 쉬운 게임	1단계를 갔는데 20분만에 나왔어요. 고등학생이상은 3단계부터 시작하세요	1533	O
14	2021-09-03	10	자물쇠 고장	자물쇠가 고장나서 문제를 못푼줄 알았어요~~교제해주세요.	1441	O
15	2021-09-18	7	방심금물, 끝없는 의심	끝없이 의심하고, 끝없이 생각하고, 끝없이 도전하라.	1966	O
16	2021-09-08	1	친절한 사장님	처음인데 사장님이 너무 친절히 설명해주셨습니다. 	667	O
17	2021-10-01	2	멋진 직원분	직원분이 너무 친절히 응대하시어, 모르는 부분을 쉽게 힌트를 주셨어요.	108	O
18	2021-07-03	4	누구세요	나를 잊게하는 환상의 시간!!	1624	O
19	2021-08-15	4	감사합니다	좋은 경험이었습니다.	1802	O
20	2021-08-16	2	두뇌싸움	5단계는 두뇌싸움에서 실패하여 40분만에 못풀고 나왔습니다.	1933	O
21	2021-09-04	5	레드 크리스마스 후기	그냥 한 번 쯤 다시 갈 만 할 듯?	775	O
22	2021-10-03	2	마법사의 세계 보고온 썰	해리포터의 마법학교를 다녀온 느낌!!!	1774	O
23	2021-06-05	8	무채색 인간 좀 별로	와 진짜 다른 거 다 재밌는데 이건 ㄹㅇ 노잼임 할 꺼면 다른 거 하세요	1006	O
24	2021-05-01	3	백조의 호수.. 초보자한테 추천	너무 쉬워서 아쉬웠어요	0	X
25	2021-06-08	10	분노의 살인 후기	이름과 걸 맞게 소름끼쳤어요, 이런 거 좋아하시면 한 번 해보세요	755	O
26	2021-09-21	3	빛과 그림자 하고 왔는데..?	생생해서 좋았어요	714	O
27	2021-10-03	7	사라진 다이아몬드 추천	난이도가 높아 집중도가 높고, 열띤 토론과 상의를 할수 있어요.	437	O
28	2021-05-25	8	탈출 후기	50분에 성공~~~, 다음에 높은단계 도전합니다. 	337	O
29	2021-06-03	3	신데렐라	제목이 신데렐라 길래 찐 동화에 나오는 그 신데렐라 줄 알았는데 다른 느낌으로 재밌었어요	586	O
30	2021-05-08	6	가족 no, 친구 yes	가족끼리 갔는데 의견이 분분하여 다툼이 있었습니다. 친구랑 가세요	618	O
