e_no	u_no	c_no	e_score
1	9	V-003	5
2	1	M-003	4
3	4	P-013	2
4	5	V-012	3
5	9	R-022	4
6	8	P-005	3
7	5	R-013	2
8	3	S-011	2
9	10	S-008	5
10	1	M-002	2
11	3	E-022	3
12	3	R-024	2
13	6	N-011	3
14	5	Z-023	5
15	1	N-007	3
16	1	M-005	5
17	6	S-004	4
18	1	Q-021	3
19	8	V-003	3
20	10	B-005	5
21	10	V-020	2
22	7	M-010	5
23	3	M-021	2
24	4	B-023	3
25	3	E-025	4
26	2	B-009	3
27	7	R-014	2
28	5	S-007	4
29	10	D-018	5
30	3	Q-023	4
31	5	V-003	2
32	5	B-015	4
33	4	Z-005	3
34	7	Q-019	5
35	1	M-017	2
36	6	N-002	4
37	10	M-024	5
38	6	D-005	5
39	4	E-006	4
40	3	S-007	4
41	5	M-021	5
42	8	B-021	5
43	7	N-001	5
44	9	V-007	5
45	5	B-024	3
46	8	P-004	3
47	1	S-014	5
48	1	B-002	5
49	3	B-021	3
50	8	D-019	3
51	3	D-017	4
52	4	Z-012	3
53	5	Z-008	5
54	4	S-006	4
55	9	R-023	3
56	7	N-016	3
57	1	Q-016	4
58	8	R-021	5
59	3	M-019	3
60	2	M-015	2
61	2	V-026	4
62	1	N-013	2
63	9	M-016	3
