r_no	u_no	c_no	t_no	r_date	r_time	r_people	r_attend
1	19	C-010	26	2021-08-01	11:00	1	1
2	23	B-014	7	2021-08-01	12:00	3	1
3	10	T-014	40	2021-08-01	12:00	1	1
4	29	L-010	32	2021-08-01	13:00	1	1
5	33	Z-027	21	2021-08-01	13:00	1	1
6	27	S-004	29	2021-08-01	14:00	6	1
7	19	L-012	25	2021-08-01	15:30	2	1
8	12	V-023	34	2021-08-01	15:30	1	1
9	6	A-026	30	2021-08-01	17:00	3	1
10	33	A-025	7	2021-08-01	17:30	3	1
11	33	C-027	35	2021-08-01	18:00	1	1
12	40	Z-009	30	2021-08-01	19:00	3	1
13	4	A-005	35	2021-08-02	10:00	1	1
14	42	C-015	26	2021-08-02	13:00	2	1
15	34	L-026	2	2021-08-02	14:30	3	1
16	36	L-024	27	2021-08-02	15:00	1	1
17	22	M-010	32	2021-08-02	17:00	1	1
18	12	C-012	43	2021-08-02	17:30	2	1
19	1	G-013	25	2021-08-02	17:30	2	1
20	23	M-003	4	2021-08-02	17:30	1	1
21	5	L-003	30	2021-08-03	10:00	2	1
22	32	V-004	33	2021-08-03	13:00	1	0
23	6	L-004	48	2021-08-03	15:30	1	1
24	1	L-003	25	2021-08-03	16:00	2	1
25	7	A-012	5	2021-08-03	16:30	2	1
26	13	T-011	44	2021-08-03	18:00	3	1
27	28	L-004	46	2021-08-03	20:00	1	1
28	12	B-024	13	2021-08-04	12:00	2	1
29	2	N-016	15	2021-08-04	13:00	2	1
30	40	M-024	9	2021-08-04	13:30	3	1
31	21	C-023	37	2021-08-04	16:00	1	1
32	2	A-016	42	2021-08-04	16:30	3	1
33	17	Z-001	38	2021-08-04	18:30	2	1
34	6	L-016	19	2021-08-04	19:00	2	1
35	21	S-013	43	2021-08-04	20:00	2	1
36	15	V-018	15	2021-08-04	20:30	3	1
37	14	V-004	42	2021-08-05	11:00	1	1
38	43	N-025	25	2021-08-05	12:00	2	1
39	6	C-027	5	2021-08-05	14:30	1	1
40	27	M-012	30	2021-08-05	16:00	5	1
41	37	P-021	22	2021-08-05	16:00	1	1
42	32	S-016	27	2021-08-05	16:00	1	1
43	3	B-009	7	2021-08-05	16:30	3	1
44	20	P-018	39	2021-08-05	18:00	1	1
45	13	N-008	37	2021-08-05	18:30	1	1
46	15	V-011	37	2021-08-05	19:00	1	1
47	40	S-005	15	2021-08-06	13:00	1	1
48	11	A-001	5	2021-08-06	13:30	2	1
49	38	L-010	9	2021-08-06	16:00	3	1
50	4	P-025	22	2021-08-06	16:00	2	1
51	16	T-015	28	2021-08-06	17:30	1	1
52	2	C-017	2	2021-08-06	19:30	3	1
53	36	V-023	35	2021-08-06	19:30	1	1
54	29	G-014	14	2021-08-07	12:00	4	1
55	25	B-003	34	2021-08-07	15:30	1	1
56	36	M-002	26	2021-08-07	16:30	4	1
57	2	G-023	40	2021-08-07	18:00	1	1
58	15	N-013	41	2021-08-07	18:00	1	1
59	39	V-023	46	2021-08-07	19:00	1	1
60	19	S-007	13	2021-08-07	19:30	2	1
61	40	L-020	42	2021-08-07	20:00	3	1
62	37	B-023	47	2021-08-08	10:00	1	1
63	30	Z-015	40	2021-08-08	10:30	1	1
64	13	Z-003	38	2021-08-08	12:00	1	1
65	34	A-017	24	2021-08-08	13:00	3	1
66	1	G-015	3	2021-08-08	13:00	2	1
67	34	C-016	43	2021-08-08	13:30	2	0
68	43	N-014	14	2021-08-08	16:00	1	1
69	41	N-023	2	2021-08-08	17:00	2	1
70	9	A-014	43	2021-08-08	18:30	2	1
71	12	P-008	18	2021-08-08	18:30	2	1
72	5	Z-020	10	2021-08-08	18:30	1	1
73	38	T-014	12	2021-08-08	19:00	3	1
74	31	L-014	7	2021-08-08	19:30	2	1
75	25	T-007	31	2021-08-08	19:30	5	1
76	14	N-012	23	2021-08-08	20:00	2	1
77	16	G-007	8	2021-08-09	10:00	3	1
78	23	P-005	36	2021-08-09	11:00	1	1
79	17	S-002	29	2021-08-09	11:00	1	1
80	22	A-019	39	2021-08-09	12:00	2	1
81	20	V-020	19	2021-08-09	12:00	1	1
82	22	P-005	19	2021-08-09	12:30	1	1
83	21	B-011	16	2021-08-09	14:00	3	1
84	43	A-005	7	2021-08-09	15:30	3	1
85	4	M-010	41	2021-08-09	16:00	1	1
86	9	C-007	10	2021-08-09	16:30	1	1
87	31	M-025	44	2021-08-09	16:30	1	1
88	14	S-003	8	2021-08-09	17:30	2	1
89	13	S-008	45	2021-08-09	18:00	2	1
90	27	P-021	13	2021-08-09	20:00	2	1
91	18	N-006	30	2021-08-09	20:30	1	1
92	44	P-025	25	2021-08-09	21:00	2	1
93	44	C-009	33	2021-08-10	10:00	2	1
94	20	S-004	3	2021-08-10	10:30	2	1
95	1	V-024	46	2021-08-10	11:00	1	1
96	2	T-012	20	2021-08-10	13:00	4	1
97	35	V-020	26	2021-08-10	13:00	3	1
98	20	V-026	10	2021-08-10	14:00	1	1
99	19	A-023	38	2021-08-10	16:00	2	1
100	1	A-001	30	2021-08-10	17:00	4	1
101	32	B-022	29	2021-08-10	18:00	2	1
102	12	L-024	44	2021-08-10	18:00	1	1
103	16	B-022	29	2021-08-10	18:30	1	1
104	43	M-004	10	2021-08-10	18:30	2	1
105	2	A-012	40	2021-08-10	19:30	1	1
106	37	G-010	26	2021-08-10	19:30	2	1
107	20	N-023	19	2021-08-10	21:00	2	1
108	24	V-014	20	2021-08-10	21:00	2	1
109	30	L-022	34	2021-08-11	10:00	2	1
110	28	N-010	31	2021-08-11	13:00	4	1
111	11	S-005	33	2021-08-11	15:00	2	1
112	38	E-008	35	2021-08-11	16:00	1	1
113	18	V-022	4	2021-08-11	17:30	1	1
114	25	Z-004	19	2021-08-11	18:00	2	1
115	9	M-005	30	2021-08-11	18:30	1	1
116	39	N-005	21	2021-08-11	20:30	1	0
117	43	P-018	16	2021-08-12	11:30	1	0
118	19	A-020	42	2021-08-12	12:30	1	1
119	39	G-011	5	2021-08-12	14:00	1	1
120	12	L-004	41	2021-08-12	14:30	1	1
121	34	S-022	39	2021-08-12	17:00	3	1
122	1	S-001	17	2021-08-13	10:00	1	1
123	13	N-023	21	2021-08-13	10:30	1	1
124	6	L-009	47	2021-08-13	11:30	2	1
125	2	C-013	43	2021-08-13	15:30	2	1
126	43	M-010	6	2021-08-13	16:30	1	1
127	38	A-027	30	2021-08-13	17:00	2	1
128	11	S-004	20	2021-08-13	18:30	2	1
129	10	G-020	45	2021-08-13	19:00	2	1
130	25	P-011	31	2021-08-14	11:30	1	1
131	3	C-021	43	2021-08-14	12:30	1	1
132	22	Z-017	4	2021-08-14	13:00	1	1
133	19	G-011	24	2021-08-14	15:30	2	1
134	42	B-020	4	2021-08-14	17:00	1	1
135	9	Z-026	46	2021-08-14	17:30	1	1
136	20	A-009	48	2021-08-14	18:30	2	1
137	20	P-007	37	2021-08-14	19:00	1	1
138	9	L-004	18	2021-08-14	20:00	4	1
139	35	V-002	21	2021-08-14	20:00	1	1
140	6	M-020	2	2021-08-14	20:30	1	1
141	12	P-021	47	2021-08-14	21:00	2	1
142	15	P-022	19	2021-08-15	10:00	2	1
143	23	Z-022	32	2021-08-15	10:00	1	1
144	6	A-001	6	2021-08-15	10:30	3	1
145	15	N-001	48	2021-08-15	12:00	2	1
146	21	A-010	46	2021-08-15	13:30	1	1
147	7	C-007	7	2021-08-15	14:30	3	1
148	16	L-016	33	2021-08-15	15:00	2	1
149	16	M-018	21	2021-08-15	15:00	1	1
150	41	Z-014	25	2021-08-15	16:00	1	1
151	25	C-018	33	2021-08-15	18:30	4	1
152	12	N-009	21	2021-08-15	18:30	1	1
153	13	T-012	26	2021-08-15	19:30	1	1
154	30	V-019	42	2021-08-15	20:30	3	1
155	15	M-002	35	2021-08-16	10:00	1	1
156	20	T-002	27	2021-08-16	11:30	1	1
157	43	G-014	19	2021-08-16	12:30	2	1
158	28	M-001	24	2021-08-16	14:00	1	1
159	35	S-013	30	2021-08-16	14:00	1	1
160	10	B-019	22	2021-08-16	17:30	2	1
161	19	M-005	34	2021-08-16	17:30	1	1
162	20	C-018	40	2021-08-16	19:30	1	1
163	31	N-016	20	2021-08-16	21:00	4	1
164	37	Z-009	15	2021-08-17	10:30	3	1
165	19	P-022	38	2021-08-17	11:00	2	1
166	28	T-015	6	2021-08-17	11:00	3	1
167	10	T-011	16	2021-08-17	12:00	1	1
168	1	Z-001	26	2021-08-17	12:00	1	1
169	6	B-012	10	2021-08-17	12:30	1	1
170	21	N-019	47	2021-08-17	12:30	3	1
171	31	L-021	22	2021-08-17	14:30	1	1
172	22	L-012	17	2021-08-17	15:00	1	1
173	15	T-001	28	2021-08-17	15:00	2	1
174	33	S-017	2	2021-08-17	16:30	3	1
