SERIAL	DEPARTURE	ARRIVE	COST
1	1	2	25
2	2	3	16
3	3	4	14
4	4	5	10
5	5	6	56
6	6	7	29
7	7	8	53
8	8	9	16
9	9	10	13
10	10	11	12
11	11	12	16
12	12	13	14
13	13	14	23
14	14	15	12
15	15	16	13
16	16	17	17
17	17	18	10
18	18	19	14
19	19	20	11
20	20	21	11
21	21	22	14
22	22	23	8
23	23	24	8
24	24	25	14
25	25	24	14
26	24	23	8
27	23	22	8
28	22	21	14
29	21	20	11
30	20	19	11
31	19	18	14
32	18	17	10
33	17	16	17
34	16	15	13
35	15	14	12
36	14	13	23
37	13	12	14
38	12	11	16
39	11	10	12
40	10	9	13
41	9	8	16
42	8	7	53
43	7	6	29
44	6	5	56
45	5	4	10
46	4	3	14
47	3	2	16
48	2	1	25
49	25	26	10
50	26	27	9
51	27	28	7
52	28	29	6
53	29	30	8
54	30	31	9
55	31	32	8
56	32	33	10
57	33	34	11
58	34	33	11
59	33	32	10
60	32	31	8
61	31	30	9
62	30	29	8
63	29	28	6
64	28	27	7
65	27	26	9
66	26	25	10
67	34	35	14
68	35	36	10
69	36	37	13
70	37	38	19
71	38	39	13
72	39	40	15
73	40	41	11
74	41	42	17
75	42	63	10
76	63	64	12
77	64	65	15
78	65	67	17
79	67	68	15
80	68	69	12
81	69	70	12
82	70	71	10
83	71	72	10
84	72	73	14
85	73	74	12
86	74	75	19
87	75	76	12
88	76	77	14
89	77	78	10
90	78	79	10
91	79	81	12
92	81	82	12
93	82	83	15
94	83	84	17
95	84	85	15
96	85	86	12
97	86	87	10
98	87	88	17
99	88	89	11
100	89	90	15
101	90	91	13
102	91	90	13
103	90	89	15
104	89	88	11
105	88	87	17
106	87	86	10
107	86	85	12
108	85	84	15
109	84	83	17
110	83	82	15
111	82	81	12
112	81	79	12
113	79	78	10
114	78	77	10
115	77	76	14
116	76	75	12
117	75	74	19
118	74	73	12
119	73	72	14
120	72	71	10
121	71	70	10
122	70	69	12
123	69	68	12
124	68	67	15
125	67	65	17
126	65	64	15
127	64	63	12
128	63	42	10
129	42	41	17
130	41	40	11
131	40	39	15
132	39	38	13
133	38	37	19
134	37	36	13
135	36	35	10
136	35	34	14
137	79	80	38
138	80	79	38
139	66	65	37
140	65	66	37
141	91	92	94
142	92	91	94
143	92	93	38
144	93	94	30
145	94	95	13
146	95	96	16
147	96	97	16
148	97	98	49
149	98	97	49
150	97	96	16
151	96	95	16
152	95	94	13
153	94	93	30
154	93	92	38
155	42	43	16
156	43	44	13
157	44	45	30
158	45	46	38
159	46	47	54
160	47	48	94
161	48	49	37
162	49	50	48
163	50	51	22
164	51	52	38
165	52	53	40
166	53	54	27
167	54	55	27
168	55	56	24
169	56	57	43
170	57	58	29
171	58	59	21
172	59	60	26
173	60	61	29
174	61	62	26
175	62	61	26
176	61	60	29
177	60	59	26
178	59	58	21
179	58	57	29
180	57	56	43
181	56	55	24
182	55	54	27
183	54	53	27
184	53	52	40
185	52	51	38
186	51	50	22
187	50	49	48
188	49	48	37
189	48	47	94
190	47	46	54
191	46	45	38
192	45	44	30
193	44	43	13
194	43	42	16
195	99	100	19
196	100	101	17
197	101	102	10
198	102	41	18
199	41	102	18
200	102	101	10
201	101	100	17
202	100	99	19
203	27	146	10
204	146	145	10
205	145	144	17
206	144	125	16
207	125	144	16
208	144	145	17
209	145	146	10
210	146	27	10
211	33	134	12
212	134	133	13
213	133	132	10
214	132	131	8
215	131	130	12
216	130	129	10
217	129	128	18
218	128	127	9
219	127	126	16
220	126	125	12
221	125	124	8
222	124	123	23
223	123	122	10
224	122	121	9
225	121	120	12
226	120	119	11
227	119	118	10
228	118	117	8
229	117	116	9
230	116	115	9
231	115	114	10
232	114	113	6
233	113	112	8
234	112	111	7
235	111	110	11
236	110	109	8
237	109	108	9
238	108	107	8
239	107	106	13
240	106	105	11
241	105	104	20
242	104	103	11
243	103	41	9
244	41	143	12
245	143	142	10
246	142	141	17
247	141	140	19
248	140	139	14
249	139	138	12
250	138	137	9
251	137	136	10
252	136	135	23
253	135	136	23
254	136	137	10
255	137	138	9
256	138	139	12
257	139	140	14
258	140	141	19
259	141	142	17
260	142	143	10
261	143	41	12
262	41	103	9
263	103	104	11
264	104	105	20
265	105	106	11
266	106	107	13
267	107	108	8
268	108	109	9
269	109	110	8
