SERIAL	Station	METRO
1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	6	1
7	7	1
8	8	1
9	9	1
10	10	1
11	11	1
12	12	1
13	13	1
14	14	1
15	15	1
16	16	1
17	17	1
18	18	1
19	19	1
20	20	1
21	21	1
22	22	1
23	23	1
24	24	1
25	25	1
26	25	2
27	24	2
28	23	2
29	22	2
30	21	2
31	20	2
32	19	2
33	18	2
34	17	2
35	16	2
36	15	2
37	14	2
38	13	2
39	12	2
40	11	2
41	10	2
42	9	2
43	8	2
44	7	2
45	6	2
46	5	2
47	4	2
48	3	2
49	2	2
50	1	2
51	25	3
52	26	3
53	27	3
54	28	3
55	29	3
56	30	3
57	31	3
58	32	3
59	33	3
60	34	3
61	34	4
62	33	4
63	32	4
64	31	4
65	30	4
66	29	4
67	28	4
68	27	4
69	26	4
70	25	4
71	42	5
72	43	5
73	44	5
74	45	5
75	46	5
76	47	5
77	48	5
78	49	5
79	50	5
80	51	5
81	52	5
82	53	5
83	54	5
84	55	5
85	56	5
86	57	5
87	58	5
88	59	5
89	60	5
90	61	5
91	62	5
92	62	6
93	61	6
94	60	6
95	59	6
96	58	6
97	57	6
98	56	6
99	55	6
100	54	6
101	53	6
102	52	6
103	51	6
104	50	6
105	49	6
106	48	6
107	47	6
108	46	6
109	45	6
110	44	6
111	43	6
112	42	6
113	34	7
114	35	7
115	36	7
116	37	7
117	38	7
118	39	7
119	40	7
120	41	7
121	42	7
122	63	7
123	64	7
124	65	7
125	67	7
126	68	7
127	69	7
128	70	7
129	71	7
130	72	7
131	73	7
132	74	7
133	75	7
134	76	7
135	77	7
136	78	7
137	79	7
138	81	7
139	82	7
140	83	7
141	84	7
142	85	7
143	86	7
144	87	7
145	88	7
146	89	7
147	90	7
148	91	7
149	92	7
150	92	8
151	91	8
152	90	8
153	89	8
154	88	8
155	87	8
156	86	8
157	85	8
158	84	8
159	83	8
160	82	8
161	81	8
162	79	8
163	78	8
164	77	8
165	76	8
166	75	8
167	74	8
168	73	8
169	72	8
170	71	8
171	70	8
172	69	8
173	68	8
174	67	8
175	65	8
176	64	8
177	63	8
178	42	8
179	41	8
180	40	8
181	39	8
182	38	8
183	37	8
184	36	8
185	35	8
186	34	8
191	92	9
192	93	9
193	94	9
194	95	9
195	96	9
196	97	9
197	98	9
198	98	10
199	97	10
200	96	10
201	95	10
202	94	10
203	93	10
204	92	10
205	79	11
206	80	11
207	80	12
208	79	12
209	65	13
210	66	13
211	66	14
212	65	14
213	33	15
214	134	15
215	133	15
216	132	15
217	131	15
218	130	15
219	129	15
220	128	15
221	127	15
222	126	15
223	125	15
224	124	15
225	123	15
226	122	15
227	121	15
228	120	15
229	119	15
230	118	15
231	117	15
232	116	15
233	115	15
234	114	15
235	113	15
236	112	15
237	111	15
238	110	15
239	109	15
240	108	15
241	107	15
242	106	15
243	105	15
244	104	15
245	103	15
246	41	15
247	143	15
248	142	15
249	141	15
250	140	15
251	139	15
252	138	15
253	137	15
254	136	15
255	135	15
256	135	16
257	136	16
258	137	16
259	138	16
260	139	16
261	140	16
262	141	16
263	142	16
264	143	16
265	41	16
266	103	16
267	104	16
268	105	16
269	106	16
270	107	16
271	108	16
272	109	16
273	110	16
274	111	16
275	112	16
276	113	16
277	114	16
278	115	16
279	116	16
280	117	16
281	118	16
282	119	16
283	120	16
284	121	16
285	122	16
286	123	16
287	124	16
288	125	16
289	126	16
290	127	16
291	128	16
292	129	16
293	130	16
294	131	16
295	132	16
296	133	16
297	134	16
298	33	16
299	125	17
300	144	17
301	145	17
302	146	17
303	27	17
304	27	18
305	146	18
306	145	18
307	144	18
308	125	18
309	41	19
310	102	19
311	101	19
312	100	19
313	99	19
314	99	20
315	100	20
316	101	20
317	102	20
318	41	20
319	147	21
320	148	21
321	149	21
322	150	21
323	151	21
324	152	21
325	153	21
326	154	21
327	155	21
328	156	21
329	157	21
330	158	21
331	159	21
332	160	21
333	161	21
334	162	21
335	163	21
336	164	21
337	165	21
338	166	21
339	31	21
340	133	21
341	167	21
342	168	21
343	169	21
344	170	21
345	171	21
346	172	21
347	173	21
348	174	21
349	175	21
350	113	21
351	176	21
352	177	21
353	178	21
354	179	21
355	180	21
356	181	21
357	182	21
358	183	21
359	184	21
360	185	21
361	186	21
362	187	21
363	187	22
364	186	22
365	185	22
366	184	22
367	183	22
368	182	22
369	181	22
370	180	22
371	179	22
372	178	22
373	177	22
374	176	22
375	113	22
376	175	22
377	174	22
378	173	22
379	172	22
380	171	22
381	170	22
382	169	22
383	168	22
384	167	22
385	133	22
386	31	22
387	166	22
388	165	22
389	164	22
390	163	22
391	162	22
392	161	22
393	160	22
394	159	22
395	158	22
396	157	22
397	156	22
398	155	22
399	154	22
400	153	22
401	152	22
402	151	22
403	150	22
404	149	22
405	148	22
406	147	22
407	228	23
