SERIAL	USER	DEPARTURE	ARRIVE	PRICE	TIME	DATE	DISTANCE
880529	3	235	133	1200	16:05:40	2021-07-01	190
004982	2	129	110	1200	15:10:05	2021-07-01	162
765251	1	252	24	1080	7:41:05	2021-07-01	125
327892	2	20	124	1200	15:21:10	2021-07-01	135
756113	3	236	128	1200	6:16:40	2021-07-02	226
602902	2	148	1	3890	15:25:20	2021-07-02	778
257758	1	177	206	1080	14:56:25	2021-07-02	115
510823	3	188	269	2795	16:00:00	2021-07-02	559
981340	3	228	119	1520	10:15:00	2021-07-02	304
083230	5	155	1	2849	6:25:25	2021-07-02	633
535202	5	139	38	1080	6:44:30	2021-07-03	83
759166	6	42	122	1200	7:47:15	2021-07-03	216
411056	2	148	1	3890	15:25:20	2021-07-03	778
363748	1	227	262	1602	7:32:25	2021-07-03	356
826158	2	231	139	1200	8:02:00	2021-07-04	162
798312	3	221	174	1200	11:13:50	2021-07-04	193
957469	1	42	263	1494	11:37:15	2021-07-05	332
058640	6	99	130	1200	17:17:20	2021-07-05	192
513106	7	229	141	1080	18:10:00	2021-07-05	153
806353	5	99	275	1530	16:00:00	2021-07-06	340
589226	1	227	262	1602	7:32:25	2021-07-06	356
002722	4	229	137	1200	16:10:00	2021-07-07	207
967908	3	25	33	1200	16:10:00	2021-07-07	67
707782	3	152	127	1475	16:31:05	2021-07-07	295
685129	5	22	210	1080	10:23:15	2021-07-07	184
203675	7	99	124	1143	8:17:20	2021-07-08	254
479653	3	187	245	1220	10:32:30	2021-07-08	244
778409	5	41	259	1256	20:48:40	2021-07-08	279
168710	1	229	136	1080	18:00:00	2021-07-08	217
583654	6	17	27	1200	18:48:15	2021-07-08	109
279540	3	25	33	1200	16:10:00	2021-07-08	67
491213	6	229	46	1330	18:00:00	2021-07-08	266
824414	1	125	36	1080	19:48:00	2021-07-09	136
632364	4	99	204	1200	18:00:00	2021-07-09	218
166324	2	18	109	1300	15:49:05	2021-07-09	260
582443	2	34	228	1200	15:30:00	2021-07-09	237
001811	2	231	139	1200	8:02:00	2021-07-09	162
504694	2	62	124	4555	20:00:00	2021-07-10	911
239218	6	142	187	1340	17:33:40	2021-07-10	268
573210	2	156	230	1885	18:38:50	2021-07-10	377
691083	5	159	125	1080	7:06:50	2021-07-10	173
887755	6	147	98	5285	19:00:00	2021-07-11	1057
274365	1	152	159	1080	7:19:05	2021-07-11	141
781005	6	46	171	1450	15:48:45	2021-07-11	290
894889	4	229	187	1990	17:40:00	2021-07-12	398
928814	1	99	63	1080	18:15:00	2021-07-12	91
476490	2	46	203	1200	10:38:45	2021-07-12	227
922103	6	147	231	2715	13:00:00	2021-07-12	543
043611	1	62	34	3573	15:50:00	2021-07-13	794
050664	6	46	106	1200	15:48:45	2021-07-13	165
295151	7	99	124	1143	8:17:20	2021-07-13	254
481553	6	226	133	1200	18:49:15	2021-07-14	164
905305	2	229	167	1335	10:20:00	2021-07-14	267
